condition	condition_class	n	accuracy	mean_confidence	error_rate	n_uncertain	growth_rate	al_score
hydantoin	other	62	0.6774193548387096	0.26447162870843577	0.32258064516129037	28	0.0967741935483871	0.2372672165456659
uracil	other	62	0.6774193548387096	0.26447162870843577	0.32258064516129037	28	0.06451612903225806	0.2372672165456659
ectoine	other	62	0.6774193548387096	0.26447162870843577	0.32258064516129037	28	0.16129032258064516	0.2372672165456659
betadglucuronamide	other	62	0.6774193548387096	0.26447162870843577	0.32258064516129037	28	0.0967741935483871	0.2372672165456659
indole3aceticacid	other	62	0.6774193548387096	0.26447162870843577	0.32258064516129037	28	0.12903225806451613	0.2372672165456659
galacturonic-acid	other	486	0.6399176954732511	0.34182853318429596	0.36008230452674894	137	0.3662551440329218	0.23699589854474937
lmethionine	other	107	0.6822429906542056	0.2548313243393125	0.31775700934579443	52	0.12149532710280374	0.23678256983610632
glycyl-l-proline	amino_acid	278	0.6151079136690647	0.3898046644926506	0.3848920863309353	86	0.5287769784172662	0.23485935575282876
amino-butyric-acid	other	292	0.6472602739726028	0.3343414811514488	0.3527397260273972	94	0.6335616438356164	0.234804203566441
4-hydroxy-benzoic-acid	other	36	0.6944444444444444	0.23569545016461213	0.3055555555555556	13	0.6111111111111112	0.23353750133859075
lyxose	other	36	0.6944444444444444	0.23569545016461213	0.3055555555555556	13	0.16666666666666666	0.23353750133859075
caproic-acid	other	36	0.6944444444444444	0.23569545016461213	0.3055555555555556	13	0.5555555555555556	0.23353750133859075
malonic-acid	other	36	0.6944444444444444	0.23569545016461213	0.3055555555555556	13	0.5555555555555556	0.23353750133859075
arabitol	other	297	0.6498316498316499	0.33369025345526654	0.35016835016835013	95	0.4882154882154882	0.23332058464866082
quinic-acid	other	298	0.6543624161073825	0.33299393160486607	0.34563758389261745	95	0.5939597315436241	0.23054236592180805
trehalosedi	carbon	106	0.6886792452830188	0.26659846911851043	0.3113207547169812	42	0.4811320754716981	0.22832311810461473
dglucono15lactone	other	61	0.6885245901639344	0.26745879547821577	0.3114754098360656	27	0.5901639344262295	0.2281685719002279
3methylglutaricacid	other	61	0.6885245901639344	0.26745879547821577	0.3114754098360656	27	0.19672131147540983	0.2281685719002279
ethylmalonicacid	other	61	0.6885245901639344	0.26745879547821577	0.3114754098360656	27	0.13114754098360656	0.2281685719002279
2hydroxybutyricacid	other	61	0.6885245901639344	0.26745879547821577	0.3114754098360656	27	0.13114754098360656	0.2281685719002279
dribofuranose	other	61	0.6885245901639344	0.26745879547821577	0.3114754098360656	27	0.5573770491803278	0.2281685719002279
thymidine	nucleoside	98	0.6326530612244898	0.37940840425247924	0.36734693877551017	26	0.14285714285714285	0.22797242292766068
keto-glutaric-acid	other	331	0.6646525679758308	0.32412214598310257	0.33534743202416917	107	0.6586102719033232	0.22665390270657287
dglutamicacid	other	62	0.6935483870967742	0.26447162870843577	0.30645161290322576	28	0.24193548387096775	0.22540385571838256
3aminobutanoicacid	other	62	0.6935483870967742	0.26447162870843577	0.30645161290322576	28	0.08064516129032258	0.22540385571838256
saccharic-acid	other	320	0.6625	0.3395659119923266	0.3375	99	0.56875	0.22289650470258976
lasparagineresidue	amino_acid	62	0.6774193548387096	0.31409996845873006	0.32258064516129037	29	0.6774193548387096	0.22125807469073228
nndimethylglycine	amino_acid	62	0.6774193548387096	0.31409996845873006	0.32258064516129037	29	0.2903225806451613	0.22125807469073228
glycinebetaine	amino_acid	62	0.6774193548387096	0.31409996845873006	0.32258064516129037	29	0.3225806451612903	0.22125807469073228
lcitrulline	amino_acid	107	0.6728971962616822	0.33023547837474276	0.3271028037383178	42	0.3364485981308411	0.21908185286807483
pyroglutamic-acid	other	295	0.6711864406779661	0.33386828565147453	0.32881355932203393	95	0.6745762711864407	0.21903313997222704
dglucuronicacid	other	61	0.7049180327868853	0.26745879547821577	0.29508196721311475	27	0.47540983606557374	0.21615969969495274
cytosine	other	62	0.7096774193548387	0.26447162870843577	0.29032258064516125	28	0.12903225806451613	0.21354049489109928
lcysteicacid	other	62	0.7096774193548387	0.26447162870843577	0.29032258064516125	28	0.0967741935483871	0.21354049489109928
lserine	amino_acid	107	0.6822429906542056	0.33023547837474276	0.31775700934579443	42	0.45794392523364486	0.2128223713575584
2-hydroxy-benzoic-acid	other	36	0.7222222222222222	0.23569545016461213	0.2777777777777778	13	0.08333333333333333	0.21230681939871887
hydroxy-butyric-acid	other	293	0.6825938566552902	0.33264121970237964	0.31740614334470985	96	0.5802047781569966	0.21182377668149724
maltose	carbon	546	0.6703296703296703	0.3692133691989749	0.3296703296703297	147	0.5842490842490843	0.20795163652781049
nitrite	nitrogen	62	0.7096774193548387	0.28807559748914824	0.29032258064516125	21	0.04838709677419355	0.206687729761215
adeninehydrochloride	other	68	0.7352941176470589	0.22893857893921957	0.2647058823529411	38	0.2647058823529412	0.20410449381020654
methyl-d-glucoside	other	293	0.6962457337883959	0.33513709154578386	0.30375426621160406	94	0.47440273037542663	0.20195494488882332
5aminopentanoicacid	other	62	0.7258064516129032	0.26447162870843577	0.27419354838709675	28	0.3387096774193548	0.201677134063816
succinicacid	carbon	106	0.7264150943396226	0.26659846911851043	0.2735849056603774	42	0.839622641509434	0.2006475886373887
lvalineresidue	amino_acid	107	0.7009345794392523	0.33023547837474276	0.2990654205607477	42	0.34579439252336447	0.20030340833652555
glycerol	carbon	539	0.6808905380333952	0.37347613152949904	0.31910946196660483	138	0.5157699443413729	0.19992969457685747
sorbitol	carbon	316	0.6424050632911392	0.44134989760111826	0.3575949367088608	53	0.5126582278481012	0.19977044800972668
gluconic-acid	other	316	0.7025316455696202	0.3295365717137468	0.2974683544303798	101	0.7373417721518988	0.19944165271806266
dalanine	amino_acid	62	0.7096774193548387	0.31409996845873006	0.29032258064516125	29	0.6451612903225806	0.199132267221659
5oxolproline	amino_acid	62	0.7096774193548387	0.31409996845873006	0.29032258064516125	29	0.45161290322580644	0.199132267221659
2-aminoethanol	carbon	36	0.6666666666666666	0.4090330800443334	0.33333333333333337	4	0.6944444444444444	0.19698897331855555
mono-methyl-succinate	carbon	36	0.6666666666666666	0.4090330800443334	0.33333333333333337	4	0.6388888888888888	0.19698897331855555
mucic-acid	other	269	0.7026022304832714	0.34365194001995253	0.2973977695167286	84	0.6319702602230484	0.19519644906469813
larginine	amino_acid	107	0.7102803738317757	0.33023547837474276	0.28971962616822433	42	0.3925233644859813	0.19404392682600913
lglutamine	amino_acid	107	0.7102803738317757	0.33023547837474276	0.28971962616822433	42	0.7850467289719626	0.19404392682600913
ltryptophan	amino_acid	107	0.7102803738317757	0.33023547837474276	0.28971962616822433	42	0.42990654205607476	0.19404392682600913
llysine	amino_acid	107	0.7102803738317757	0.33023547837474276	0.28971962616822433	42	0.2803738317757009	0.19404392682600913
4hydroxybenzoate	other	61	0.7377049180327869	0.26745879547821577	0.2622950819672131	27	0.3770491803278688	0.1921419552844024
dgalacturonicacid	other	61	0.7377049180327869	0.26745879547821577	0.2622950819672131	27	0.4098360655737705	0.1921419552844024
benzoate	other	61	0.7377049180327869	0.26745879547821577	0.2622950819672131	27	0.21311475409836064	0.1921419552844024
proline	amino_acid	195	0.6615384615384615	0.43235453328550894	0.3384615384615385	43	0.5487179487179488	0.19212615796490465
3-hydroxy-2-butanone	other	36	0.75	0.23569545016461213	0.25	13	0.1111111111111111	0.19107613745884697
tartaric-acid	other	36	0.75	0.23569545016461213	0.25	13	0.3888888888888889	0.19107613745884697
glucuronic-acid	other	323	0.718266253869969	0.32594652905232135	0.281733746130031	106	0.541795665634675	0.18990360946203952
alanine	amino_acid	476	0.680672268907563	0.4064840480619499	0.31932773109243695	124	0.6617647058823529	0.18952610229954542
lalanine	amino_acid	107	0.719626168224299	0.33023547837474276	0.28037383177570097	42	0.7383177570093458	0.1877844453154927
sucrose	carbon	583	0.7066895368782161	0.3638738322040486	0.2933104631217839	158	0.5883361921097771	0.1865824608801161
serine	amino_acid	481	0.6902286902286903	0.40608654442840675	0.30977130977130973	125	0.47193347193347196	0.18397734902321702
uridine	nucleoside	98	0.7040816326530612	0.37940840425247924	0.29591836734693877	26	0.47959183673469385	0.18364445180283778
asparagine	amino_acid	193	0.6787564766839378	0.4314292262172217	0.3212435233160622	44	0.5440414507772021	0.18264967862451947
methyl-pyruvate	carbon	36	0.6944444444444444	0.4090330800443334	0.3055555555555556	4	0.7222222222222222	0.18057322554200927
myoinositol	carbon	106	0.7547169811320755	0.26659846911851043	0.24528301886792447	42	0.5094339622641509	0.1798909415369691
dmannitol	carbon	106	0.7547169811320755	0.26659846911851043	0.24528301886792447	42	0.5849056603773585	0.1798909415369691
lleucine	amino_acid	100	0.73	0.3366350124726272	0.27	38	0.53	0.17910854663239067
p-hydroxy-phenylacetic-acid	other	285	0.7368421052631579	0.33818837228871457	0.26315789473684215	88	0.5684210526315789	0.17416095466086462
glucose	carbon	608	0.7286184210526315	0.36006651636217074	0.2713815789473685	169	0.75	0.17366615921092407
erythromycina	antibiotic	82	0.7439024390243902	0.32232791977459985	0.25609756097560976	27	0.6707317073170732	0.17355016688699273
uridine5'monophosphate2	nucleoside	62	0.6774193548387096	0.4672792318726445	0.32258064516129037	12	0.1935483870967742	0.17184540907334053
m-inositol	carbon	486	0.7242798353909465	0.3831019244463693	0.27572016460905346	121	0.49588477366255146	0.17009123893865533
formate	other	224	0.7410714285714286	0.3437798598124181	0.2589285714285714	58	0.13392857142857142	0.16991414344142744
glycine	amino_acid	308	0.7207792207792207	0.3993206315488782	0.27922077922077926	86	0.1525974025974026	0.1677221613207678
4hydroxylproline	amino_acid	62	0.7580645161290323	0.31409996845873006	0.24193548387096775	29	0.4032258064516129	0.1659435560180492
pectin	other	268	0.75	0.34356034764872684	0.25	84	0.5485074626865671	0.1641099130878183
histidine	amino_acid	585	0.7333333333333333	0.39180315902487156	0.2666666666666667	170	0.5367521367521367	0.16218582426003428
aspartate	amino_acid	153	0.7058823529411765	0.45863228780079496	0.2941176470588235	25	0.43790849673202614	0.15922579770564854
trehalose	carbon	486	0.742798353909465	0.38223919265242506	0.257201646090535	122	0.6213991769547325	0.15888909654001412
alanyl-glycine	amino_acid	36	0.7777777777777778	0.2874606217088591	0.2222222222222222	19	0.6111111111111112	0.15834208406469796
lasparagine	amino_acid	68	0.7647058823529411	0.3289573441745647	0.23529411764705888	24	0.8382352941176471	0.1578923896059848
larabinose	carbon	61	0.7868852459016393	0.26335835473858865	0.21311475409836067	26	0.6557377049180327	0.1569892030884975
dfructose	carbon	61	0.7868852459016393	0.26335835473858865	0.21311475409836067	26	0.6557377049180327	0.1569892030884975
lisoleucine	amino_acid	107	0.7663551401869159	0.33023547837474276	0.23364485981308414	42	0.4485981308411215	0.1564870377629106
inosine	nucleoside	385	0.7428571428571429	0.3966187307341929	0.2571428571428571	89	0.5116883116883116	0.15515518352549326
betaalanine	amino_acid	62	0.7741935483870968	0.31409996845873006	0.22580645161290325	29	0.3870967741935484	0.15488065228351258
xylose	carbon	198	0.7777777777777778	0.3032211598960663	0.2222222222222222	65	0.696969696969697	0.15483974224531857
carnitinamidechloride	other	62	0.7903225806451613	0.26447162870843577	0.20967741935483875	28	0.3064516129032258	0.15422369075468284
oxalate	other	221	0.7692307692307693	0.3422100474328017	0.23076923076923073	58	0.10407239819004525	0.1517976813616611
arginine	amino_acid	457	0.7461706783369803	0.4121389945901788	0.25382932166301975	123	0.5010940919037199	0.1492163602353157
alaninamide	other	36	0.8055555555555556	0.23569545016461213	0.19444444444444442	13	0.3888888888888889	0.1486147735791032
mannitol	carbon	479	0.7599164926931107	0.38637968089859054	0.24008350730688932	114	0.6179540709812108	0.14732011836463899
2'deoxycytidine	nucleoside	62	0.7258064516129032	0.4672792318726445	0.27419354838709675	12	0.1774193548387097	0.14606859771233943
lphenylalanine	amino_acid	107	0.7850467289719626	0.33023547837474276	0.2149532710280374	42	0.48598130841121495	0.14396807474187773
fructose	carbon	485	0.7690721649484537	0.38350059990586577	0.23092783505154635	120	0.7505154639175258	0.1423668717743155
cholinechloride	other	62	0.8064516129032258	0.26447162870843577	0.19354838709677424	28	0.2903225806451613	0.14236032992739955
cytidine	nucleoside	62	0.7419354838709677	0.4672792318726445	0.25806451612903225	12	0.41935483870967744	0.1374763272586724
octanoate	other	61	0.819672131147541	0.26745879547821577	0.180327868852459	27	0.29508196721311475	0.13209759425802667
14butanediammonium	other	62	0.8225806451612904	0.26447162870843577	0.17741935483870963	28	0.3387096774193548	0.1304969691001162
sarcosine	other	62	0.8225806451612904	0.26447162870843577	0.17741935483870963	28	0.27419354838709675	0.1304969691001162
lysine	amino_acid	199	0.7688442211055276	0.43553485099589745	0.23115577889447236	44	0.1306532663316583	0.13047938117682775
isoleucine	amino_acid	198	0.7878787878787878	0.4401891063855667	0.21212121212121215	41	0.32323232323232326	0.11874776531215253
spermidine3+	other	62	0.8387096774193549	0.26447162870843577	0.16129032258064513	28	0.2903225806451613	0.11863360827283291
cysteine	other	232	0.8232758620689655	0.33106325270025844	0.17672413793103448	69	0.04310344827586207	0.11821726999693709
ltyrosine	amino_acid	27	0.8148148148148148	0.366722286334751	0.18518518518518523	7	0.6296296296296297	0.11727365067874984
galactose	carbon	488	0.8114754098360656	0.3822443814068782	0.1885245901639344	122	0.7663934426229508	0.11646212481673607
threonine	amino_acid	193	0.7979274611398963	0.4408983468186658	0.20207253886010368	40	0.18652849740932642	0.11297909053923337
methionine	other	193	0.8290155440414507	0.3444290820474376	0.17098445595854928	44	0.03626943005181347	0.11209243674836562
tyrosine	amino_acid	161	0.7888198757763976	0.47097428875460245	0.21118012422360244	25	0.3167701863354037	0.11171971541828268
ribothymidine	nucleoside	62	0.7903225806451613	0.4672792318726445	0.20967741935483875	12	0.3064516129032258	0.11169951589767135
mannose	carbon	485	0.8247422680412371	0.38292077047486783	0.17525773195876293	122	0.7484536082474227	0.10814790620543556
shikimicacid	other	61	0.8524590163934426	0.26745879547821577	0.14754098360655743	27	0.29508196721311475	0.10807984984747641
butyric-acid	other	36	0.8611111111111112	0.23569545016461213	0.13888888888888884	13	0.4444444444444444	0.1061534096993594
keto-valeric-acid	other	36	0.8611111111111112	0.23569545016461213	0.13888888888888884	13	0.2777777777777778	0.1061534096993594
d-amino-valeric-acid	other	36	0.8611111111111112	0.23569545016461213	0.13888888888888884	13	0.3888888888888889	0.1061534096993594
ornithine	amino_acid	198	0.8181818181818182	0.4386215846258364	0.18181818181818177	43	0.2828282828282828	0.10206880279530246
bromo-succinic-acid	carbon	36	0.8333333333333334	0.4090330800443334	0.16666666666666663	4	0.8611111111111112	0.09849448665927775
leucine	amino_acid	198	0.8333333333333334	0.43797822604590886	0.16666666666666663	42	0.2777777777777778	0.09367029565901518
sorbic-acid	other	36	0.8888888888888888	0.23569545016461213	0.11111111111111116	13	0.3611111111111111	0.08492272775948757
valine	amino_acid	200	0.85	0.4352616438378859	0.15000000000000002	44	0.165	0.08471075342431712
beoate	other	165	0.8666666666666667	0.37255876065659344	0.1333333333333333	31	0.09090909090909091	0.08365883191245418
ribose	carbon	36	0.8611111111111112	0.4090330800443334	0.13888888888888884	4	0.8333333333333334	0.08207873888273144
coniferyl_alcohol	other	165	0.8727272727272727	0.37255876065659344	0.12727272727272732	31	0.10909090909090909	0.07985615773461541
phenylalanine	amino_acid	200	0.87	0.43781260910173375	0.13	43	0.18	0.07308436081677461
succinic-acid	carbon	36	0.8888888888888888	0.4090330800443334	0.11111111111111116	4	0.9166666666666666	0.06566299110618522
tryptophan	amino_acid	164	0.926829268292683	0.46809090692993305	0.07317073170731703	25	0.0975609756097561	0.03892017754171219
cobaltchloridehexa	metal	50	0.98	0.9291856332557752	0.020000000000000018	0	0.98	0.0014162873348844975
manganeseiichloridetetra	metal	50	0.98	0.9291856332557752	0.020000000000000018	0	0.98	0.0014162873348844975
zincdichloride	metal	50	0.98	0.9291856332557752	0.020000000000000018	0	0.98	0.0014162873348844975
nickelchloridehexa	metal	82	0.9878048780487805	0.9264056728738107	0.012195121951219523	0	0.9878048780487805	0.0008974917942218215
