held_genus	n_test	n_pos	pct_pos	AUC	accuracy	F1	F1_balanced
Pseudomonas_E	5747	3022	0.5258395684705064	0.650468065987043	0.5428919436227597	0.6864032469857945	0.4218028426138469
Rhizobium	3282	1388	0.42291285801340645	0.5684624432075811	0.6230956733698964	0.4101096804959466	0.5665950238163637
Acinetobacter	2651	543	0.2048283666540928	0.7047872526305121	0.7936627687665032	0.23066104078762306	0.5557574426329751
Luteibacter	1920	1040	0.5416666666666666	0.5201589816433566	0.5473958333333333	0.6813348001466814	0.45028105685680875
Paraburkholderia	1482	1126	0.7597840755735492	0.6817173748178897	0.7483130904183536	0.8545808966861599	0.45987190197716515
Sphingomonas	1373	512	0.3729060451565914	0.6952297020180024	0.6824471959213402	0.4784688995215311	0.6250983241063153
Microbacterium	1172	643	0.5486348122866894	0.7073882762452705	0.6467576791808873	0.7386363636363636	0.5969497607655503
Methylobacterium	1163	303	0.26053310404127256	0.5735263642643332	0.7446259673258814	0.038834951456310676	0.4457932813801137
Acidovorax	1041	456	0.43804034582132567	0.646116359274254	0.6215177713736791	0.48157894736842105	0.5917728322318656
Janthinobacterium	929	334	0.3595263724434876	0.5680546470085039	0.5974165769644779	0.2835249042145594	0.5017923922270402
Arthrobacter	920	730	0.7934782608695652	0.5204289834174477	0.7934782608695652	0.8848484848484849	0.44242424242424244
Herbaspirillum	796	348	0.4371859296482412	0.6020596007799672	0.592964824120603	0.5573770491803278	0.590316431566908
Pararhizobium	742	307	0.4137466307277628	0.7097944513085476	0.6900269541778976	0.5708955223880597	0.6641397443163928
Yersinia	708	376	0.5310734463276836	0.5273287298128685	0.4844632768361582	0.39065108514190316	0.47194732959665536
Paenarthrobacter	696	599	0.860632183908046	0.5884894067431975	0.860632183908046	0.9250965250965251	0.46254826254826253
Cupriavidus	640	364	0.56875	0.7029831581462017	0.653125	0.6890756302521008	0.6484247409211035
Variovorax	622	401	0.6446945337620579	0.5445774703512711	0.6093247588424437	0.7557788944723618	0.3899376400072652
Rhodanobacter	590	26	0.04406779661016949	0.6902618657937807	0.9661016949152542	0.375	0.6787891986062717
Caballeronia	580	454	0.7827586206896552	0.5254702468358856	0.7827586206896552	0.8781431334622823	0.43907156673114117
Pantoea	528	213	0.4034090909090909	0.6534317013190253	0.4564393939393939	0.5773195876288659	0.40802318903989715
Flavobacterium	487	177	0.36344969199178645	0.481893566611992	0.6447638603696099	0.04419889502762431	0.4130200023687932
Pedobacter	479	157	0.3277661795407098	0.6833386082209123	0.6847599164926931	0.2094240837696335	0.5062765790425743
Stenotrophomonas	473	347	0.733615221987315	0.5587804766479119	0.3572938689217759	0.2727272727272727	0.3484848484848485
Serratia	433	241	0.5565819861431871	0.6709673236514524	0.5612009237875288	0.7164179104477612	0.3735150776728602
Comamonas	420	169	0.4023809523809524	0.661649260944388	0.6547619047619048	0.4528301886792453	0.6003281378178835
Brevundimonas	412	98	0.23786407766990292	0.6690660340569349	0.7839805825242718	0.16822429906542055	0.5220479933262946
Deinococcus	352	67	0.1903409090909091	0.530662477088243	0.7869318181818182	0.17582417582417584	0.5267375365254647
Frigoribacterium	348	101	0.29022988505747127	0.8476369904196898	0.8132183908045977	0.7058823529411765	0.7845201238390094
Shewanella	329	68	0.2066869300911854	0.47388438133874244	0.601823708206687	0.16560509554140126	0.4520640248166088
Escherichia	326	204	0.6257668711656442	0.538171006107361	0.6257668711656442	0.769811320754717	0.3849056603773585
Xanthomonas	301	105	0.3488372093023256	0.670821185617104	0.6511627906976745	0.0	0.39436619718309857
Streptomyces	290	196	0.6758620689655173	0.3069908814589666	0.6344827586206897	0.7763713080168776	0.3881856540084388
Pectobacterium	288	160	0.5555555555555556	0.603125	0.5451388888888888	0.5467128027681661	0.5451334048684036
Bacillus	274	147	0.5364963503649635	0.47613691145749637	0.48175182481751827	0.06578947368421052	0.353601807549176
Agrobacterium	263	186	0.7072243346007605	0.48830470604664156	0.4144486692015209	0.35833333333333334	0.4099358974358974
Neorhizobium	263	53	0.20152091254752852	0.750943396226415	0.7870722433460076	0.4909090909090909	0.6781468531468532
Arthrobacter_I	262	203	0.7748091603053435	0.4575436252817901	0.7748091603053435	0.8731182795698925	0.43655913978494626
Mesorhizobium	249	93	0.37349397590361444	0.5439068100358423	0.6626506024096386	0.38235294117647056	0.5751543711407214
Rhodoferax_C	242	60	0.24793388429752067	0.5444597069597069	0.6859504132231405	0.36666666666666664	0.5789377289377289
Caulobacter	237	61	0.25738396624472576	0.6235096870342772	0.7679324894514767	0.3037974683544304	0.5822784810126582
Sphingobium	233	46	0.19742489270386265	0.745349918623576	0.8197424892703863	0.16	0.5295192307692308
Pelomonas	226	73	0.3230088495575221	0.730504073775629	0.6991150442477876	0.6179775280898876	0.6849011728040679
Aeromicrobium	218	75	0.3440366972477064	0.5835897435897436	0.6697247706422018	0.5135135135135135	0.6317567567567568
Leifsonia	216	134	0.6203703703703703	0.5708955223880596	0.5185185185185185	0.44680851063829785	0.5102895012207882
Helicobacter	210	112	0.5333333333333333	0.5666909620991254	0.5476190476190477	0.6984126984126984	0.3968253968253968
Rathayibacter	207	62	0.2995169082125604	0.8464961067853171	0.8019323671497585	0.6962962962962963	0.7746714456391876
Xylophilus	194	57	0.29381443298969073	0.5802279421180689	0.6134020618556701	0.3902439024390244	0.553612517257248
Ensifer	191	131	0.6858638743455497	0.6201017811704834	0.5497382198952879	0.5567010309278351	0.5496271112085984
Hydrogenophaga	191	70	0.36649214659685864	0.6461038961038961	0.6544502617801047	0.10810810810810811	0.4469111969111969
Collimonas	191	64	0.33507853403141363	0.5999015748031495	0.675392670157068	0.3404255319148936	0.5625738770685579
Pseudoduganella	191	55	0.2879581151832461	0.6428475935828878	0.7068062827225131	0.3488372093023256	0.5798240100565683
Bacillus_A	184	14	0.07608695652173914	0.6861344537815126	0.7934782608695652	0.2692307692307692	0.5744888023369036
Arcicella	181	30	0.16574585635359115	0.7058498896247241	0.7734806629834254	0.2545454545454545	0.560497482973053
Salmonella	177	115	0.6497175141242938	0.6594670406732117	0.6497175141242938	0.7876712328767124	0.3938356164383562
Lelliottia	176	86	0.48863636363636365	0.6590439276485788	0.6306818181818182	0.4444444444444444	0.5839243498817968
Priestia	176	69	0.39204545454545453	0.6196668021129622	0.6306818181818182	0.5038167938931297	0.6048495734171531
Clavibacter	176	41	0.23295454545454544	0.551219512195122	0.7102272727272727	0.2153846153846154	0.5188421334762798
Herminiimonas	176	20	0.11363636363636363	0.6038461538461538	0.8863636363636364	0.0	0.46987951807228917
Brucella	176	59	0.3352272727272727	0.5890192669853688	0.6875	0.3373493975903614	0.5664442155238052
Dokdonella_A	176	3	0.017045454545454544	0.5346820809248555	0.9829545454545454	0.0	0.49570200573065903
Prescottella	176	168	0.9545454545454546	0.4985119047619048	0.1590909090909091	0.22916666666666666	0.15208333333333332
Lysinibacillus	176	17	0.09659090909090909	0.3662597114317425	0.8636363636363636	0.0	0.4634146341463415
Massilia	160	82	0.5125	0.5659005628517824	0.50625	0.16842105263157894	0.4086549707602339
Pseudarthrobacter	160	117	0.73125	0.5866626913138542	0.75625	0.8539325842696629	0.5590417638329447
Bosea	156	46	0.2948717948717949	0.6460474308300396	0.7243589743589743	0.1568627450980392	0.49605589362181657
Cellulomonas	142	65	0.45774647887323944	0.8220779220779222	0.6549295774647887	0.5420560747663551	0.6326099582871323
Curtobacterium	132	34	0.25757575757575757	0.8718487394957983	0.8257575757575758	0.7088607594936709	0.7922682175846734
Nocardioides	132	65	0.49242424242424243	0.5925373134328358	0.5757575757575758	0.4909090909090909	0.5636363636363636
Methylophilus	132	6	0.045454545454545456	0.8452380952380952	0.9545454545454546	0.0	0.4883720930232558
Aureimonas_A	130	58	0.4461538461538462	0.846743295019157	0.823076923076923	0.7766990291262136	0.8151011069197946
Acidovorax_A	129	44	0.34108527131782945	0.6616310160427807	0.7209302325581395	0.55	0.673876404494382
Agreia	129	36	0.27906976744186046	0.79778972520908	0.7906976744186046	0.6666666666666666	0.7570621468926553
Actinobacillus	128	96	0.75	0.6640624999999999	0.53125	0.5714285714285714	0.5270935960591133
Pseudorhodoferax	125	68	0.544	0.6110681114551083	0.592	0.6330935251798561	0.5868170328601983
Rhodococcus_C	124	51	0.4112903225806452	0.6428955143701317	0.6370967741935484	0.5263157894736842	0.6160990712074303
Klebsiella	118	91	0.7711864406779662	0.746031746031746	0.7711864406779662	0.8708133971291866	0.4354066985645933
Vibrio	118	49	0.4152542372881356	0.7326234841762792	0.6016949152542372	0.0784313725490196	0.4121886592474828
Listeria	118	42	0.3559322033898305	0.5798872180451128	0.3728813559322034	0.5066666666666667	0.3231007751937985
Rhodococcus	117	68	0.5811965811965812	0.602641056422569	0.5811965811965812	0.7351351351351352	0.3675675675675676
Burkholderia	109	65	0.5963302752293578	0.5477272727272726	0.5871559633027523	0.7398843930635838	0.3699421965317919
