feature	mean_abs_shap	ko_desc	level
K03332	0.009216528640946142	fruA; fructan beta-fructosidase [EC:3.2.1.80]	KO
K17242	0.009205872164945715	aguF; alpha-1,4-digalacturonate transport system permease protein	KO
K02623	0.009203213523697434	pcaQ; LysR family transcriptional regulator, pca operon transcriptional activator	KO
K05499	0.008855081483201447	cytR; LacI family transcriptional regulator, repressor for deo operon, udp, cdd, tsx, nupC, and nupG	KO
K04517	0.00882518324437336	tyrA2; prephenate dehydrogenase [EC:1.3.1.12]	KO
K07460	0.008670030450699114	yraN; putative endonuclease	KO
K00278	0.00866436398970011	nadB; L-aspartate oxidase [EC:1.4.3.16]	KO
K13444	0.00847940940087147	SUMF1, FGE; formylglycine-generating enzyme [EC:1.8.3.7]	KO
K22303	0.008382467854264223	atsK; alpha-ketoglutarate-dependent sulfate ester dioxygenase [EC:1.14.11.-]	KO
K14657	0.008288831514845952	nodD; LysR family transcriptional regulator, nod-box dependent transcriptional activator	KO
K03154	0.008221626024302075	thiS; sulfur carrier protein	KO
K01805	0.008182783161979183	xylA; xylose isomerase [EC:5.3.1.5]	KO
K13628	0.007966137897321689	iscA; iron-sulfur cluster assembly protein	KO
K07642	0.00789780919949312	baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]	KO
K13877	0.007806929187891418	aldH; 2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]	KO
K01790	0.007782085194271338	rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	KO
K18697	0.007755106060822936	pgpC; phosphatidylglycerophosphatase C [EC:3.1.3.27]	KO
K03761	0.00774059089622	kgtP; MFS transporter, MHS family, alpha-ketoglutarate permease	KO
K07343	0.00756149245010192	tfoX; DNA transformation protein and related proteins	KO
K03433	0.007466386527697688	psmB, prcB; proteasome beta subunit [EC:3.4.25.1]	KO
K18997	0.007416135428742442	cbpM; chaperone modulatory protein CbpM	KO
K09456	0.007404835119614991	aidB; putative acyl-CoA dehydrogenase	KO
K00432	0.0073584088049405754	gpx; glutathione peroxidase [EC:1.11.1.9]	KO
K07483	0.0071969714843342705	K07483; transposase	KO
K00303	0.007176450663637037	soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]	KO
K07020	0.007162101393104262	K07020; uncharacterized protein	KO
K02526	0.007155388269200803	kdgT; 2-keto-3-deoxygluconate permease	KO
K01468	0.007034595642111895	hutI, AMDHD1; imidazolonepropionase [EC:3.5.2.7]	KO
K01760	0.006995171816494688	metC; cystathionine beta-lyase [EC:4.4.1.8]	KO
K03412	0.006942965383512087	cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]	KO
K06188	0.006877063979746299	aqpZ; aquaporin Z	KO
K12506	0.006805225964428809	ispDF; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]	KO
K07075	0.006760086380002955	K07075; uncharacterized protein	KO
K09981	0.006754363735820209	K09981; uncharacterized protein	KO
