	Brevundimonas	Caulobacter	Comamonas	Cupriavidus	Dyella	Janthinobacterium	Pantoea	Pedobacter	Pseudomonas	Ralstonia	Rhodanobacter	Serratia	Sphingobium	Sphingomonas	Variovorax
Brevundimonas	1.0	0.5642088375289863	-0.13929518045958042	0.398919093814634	-0.012494008886913382	0.22979802122411203	0.08424345975619778	0.38668514795479747	0.28378254563337796	-0.24879505236926466	-0.34076811529603807	-0.18266995604512862	0.40808617264897484	0.5457426153536304	0.5386633701698197
Caulobacter	0.5642088375289863	1.0	-0.07112387915671456	0.4711021112912282	0.07663916914326172	0.18737208542825076	0.028431823771204713	0.41853496434422804	0.1419889556204649	0.03842953554669279	-0.07387991989766673	-0.07314725787711218	0.46443003568586105	0.2589207072640147	0.42786447520719434
Comamonas	-0.13929518045958042	-0.07112387915671456	0.9999999999999999	0.18641698263875753	0.11228771603629838	0.03974956154950981	0.299654240946392	0.17809442826499097	0.3854080640414608	0.23091755193966249	0.24669983566905124	0.3235526795963229	0.05946260471125455	-0.09338074867068565	-0.1367966822475189
Cupriavidus	0.398919093814634	0.4711021112912282	0.1864169826387575	0.9999999999999998	0.07262536824642327	0.26472205185069786	0.1160652826854744	0.2992674489269257	0.3654780221612511	0.002336769047503829	0.07258347299761317	0.06438909780752046	0.21818943934318707	0.15354149871965997	0.2161727363384673
Dyella	-0.01249400888691338	0.07663916914326172	0.11228771603629836	0.07262536824642325	1.0	0.3668316675689813	0.2095184587430174	0.18063192213625068	0.019826649039212198	0.0028613159185869263	0.3352593715160412	0.33679497899276845	0.05927958961423821	0.19023247558102577	0.037874045096751734
Janthinobacterium	0.22979802122411203	0.18737208542825076	0.039749561549509815	0.2647220518506978	0.36683166756898133	0.9999999999999998	0.18233911288755614	0.3182330706725256	0.2077381512452126	-0.09232008036110163	0.10666280452899118	0.2088314098749885	0.1213916194816995	0.23884043739773847	0.32787599279093105
Pantoea	0.08424345975619779	0.02843182377120471	0.29965424094639204	0.1160652826854744	0.2095184587430174	0.18233911288755617	1.0	0.19536434691765553	0.25925679985034106	0.016238816145658964	0.07591791480948953	0.1810598516880954	0.11786249526625019	0.22538752861844877	0.08572493578750169
Pedobacter	0.3866851479547974	0.4185349643442281	0.17809442826499094	0.29926744892692564	0.1806319221362507	0.31823307067252554	0.19536434691765553	1.0	0.2623863330759053	0.016071987654939213	0.07173938910975701	0.08329822146498096	0.4428577725430467	0.10607125906522323	0.4086201540811885
Pseudomonas	0.28378254563337796	0.14198895562046487	0.3854080640414608	0.3654780221612511	0.019826649039212198	0.2077381512452126	0.25925679985034106	0.2623863330759053	0.9999999999999998	0.13404913315037126	0.06611024703970095	0.07262779498348078	0.08267584192071067	0.2914594888336286	0.12199162071713841
Ralstonia	-0.24879505236926466	0.038429535546692796	0.23091755193966246	0.002336769047503829	0.002861315918586926	-0.09232008036110163	0.016238816145658964	0.016071987654939213	0.13404913315037129	1.0	0.40373533881267254	0.195704586935548	0.03595306185688959	-0.16440732807583455	-0.2339859286914376
Rhodanobacter	-0.3407681152960381	-0.07387991989766672	0.24669983566905127	0.07258347299761315	0.3352593715160411	0.10666280452899118	0.07591791480948953	0.07173938910975701	0.06611024703970095	0.40373533881267254	0.9999999999999998	0.2765390977220991	-0.0006613453765137898	-0.1659676971295466	-0.312083506501265
Serratia	-0.18266995604512865	-0.07314725787711217	0.3235526795963229	0.06438909780752046	0.3367949789927685	0.2088314098749885	0.1810598516880954	0.08329822146498096	0.07262779498348078	0.19570458693554796	0.2765390977220991	1.0	-0.15014052812860657	-0.08707179274704026	-0.1289104872983209
Sphingobium	0.4080861726489748	0.46443003568586105	0.05946260471125455	0.2181894393431871	0.0592795896142382	0.1213916194816995	0.11786249526625019	0.4428577725430467	0.08267584192071069	0.03595306185688959	-0.0006613453765137898	-0.15014052812860657	1.0	0.22679457461557848	0.3248100546494084
Sphingomonas	0.5457426153536303	0.2589207072640147	-0.09338074867068565	0.15354149871965994	0.19023247558102577	0.23884043739773847	0.2253875286184488	0.10607125906522322	0.2914594888336286	-0.16440732807583455	-0.1659676971295466	-0.08707179274704026	0.22679457461557853	1.0	0.35648991619525633
Variovorax	0.5386633701698197	0.4278644752071944	-0.1367966822475189	0.21617273633846731	0.03787404509675174	0.32787599279093105	0.08572493578750169	0.4086201540811885	0.12199162071713841	-0.2339859286914376	-0.312083506501265	-0.1289104872983209	0.3248100546494084	0.3564899161952563	1.0
