normalized	enigma_name	enigma_chebi	fb_condition	fb_n_experiments	fb_n_orgIds	csp_name	wom_compound	in_enigma	in_fb	in_csp	in_wom	n_datasets
c13h21n3o3268.1669p0n20.3rbbiocrustexp				0	0		C13H21N3O3_268.1669p_0n_20.3_RB_BiocrustExp	False	False	False	True	1
c14:0fattyacid				0	0		C14:0 fatty acid	False	False	False	True	1
c14h23n3o3s314.1542p0n16.1rbbiocrustexp				0	0		C14H23N3O3S_314.1542p_0n_16.1_RB_BiocrustExp	False	False	False	True	1
c15h22o30p249.149n6rbbiocrustexp				0	0		C15H22O3_0p_249.149n_6_RB_BiocrustExp	False	False	False	True	1
c15h29o16p497.1291p0n19.9rbbiocrustexp				0	0		C15H29O16P_497.1291p_0n_19.9_RB_BiocrustExp	False	False	False	True	1
c16:0fattyacid				0	0		C16:0 fatty acid	False	False	False	True	1
c18:0fattyacid				0	0		C18:0 fatty acid	False	False	False	True	1
c19h30n2o12479.1877p477.1774n18.5rbbiocrustexp				0	0		C19H30N2O12_479.1877p_477.1774n_18.5_RB_BiocrustExp	False	False	False	True	1
c21h42o4376.34p0n4.2rbbiocrustexp				0	0		C21H42O4_376.34p_0n_4.2_RB_BiocrustExp	False	False	False	True	1
c27h50o12584.3612p0n14.5rbbiocrustexp				0	0		C27H50O12_584.3612p_0n_14.5_RB_BiocrustExp	False	False	False	True	1
c34h62o17760.4323p0n14.7rbbiocrustexp				0	0		C34H62O17_760.4323p_0n_14.7_RB_BiocrustExp	False	False	False	True	1
c4h11no3122.0807p0n29.7rbbiocrustexp				0	0		C4H11NO3_122.0807p_0n_29.7_RB_BiocrustExp	False	False	False	True	1
c4h4n2o2113.0341p0n13.4rbbiocrustexp				0	0		C4H4N2O2_113.0341p_0n_13.4_RB_BiocrustExp	False	False	False	True	1
c5h6o6s0p192.9804n18.5rbbiocrustexp				0	0		C5H6O6S_0p_192.9804n_18.5_RB_BiocrustExp	False	False	False	True	1
c5h7n3o126.0666p0n11.3rbbiocrustexp				0	0		C5H7N3O_126.0666p_0n_11.3_RB_BiocrustExp	False	False	False	True	1
c5h8n2o2129.0666p0n11.3rbbiocrustexp				0	0		C5H8N2O2_129.0666p_0n_11.3_RB_BiocrustExp	False	False	False	True	1
c5h8n2o2129.0669p0n21.7rbbiocrustexp				0	0		C5H8N2O2_129.0669p_0n_21.7_RB_BiocrustExp	False	False	False	True	1
c5h9no3132.0651p0n20.4rbbiocrustexp				0	0		C5H9NO3_132.0651p_0n_20.4_RB_BiocrustExp	False	False	False	True	1
c6h10n2o3159.0721p0n19.7rbbiocrustexp				0	0		C6H10N2O3_159.0721p_0n_19.7_RB_BiocrustExp	False	False	False	True	1
c6h12n2o3161.0906p0n20.1rbbiocrustexp				0	0		C6H12N2O3_161.0906p_0n_20.1_RB_BiocrustExp	False	False	False	True	1
c6h12n2o3161.0928p0n16.9rbbiocrustexp				0	0		C6H12N2O3_161.0928p_0n_16.9_RB_BiocrustExp	False	False	False	True	1
c6h13n3o2160.1076p0n10rbbiocrustexp				0	0		C6H13N3O2_160.1076p_0n_10_RB_BiocrustExp	False	False	False	True	1
c6h13n3o2160.1095p0n20.9rbbiocrustexp				0	0		C6H13N3O2_160.1095p_0n_20.9_RB_BiocrustExp	False	False	False	True	1
c6h13n3o4192.0976p0n22rbbiocrustexp				0	0		C6H13N3O4_192.0976p_0n_22_RB_BiocrustExp	False	False	False	True	1
c6h14n2o3s195.0817p0n23.1rbbiocrustexp				0	0		C6H14N2O3S_195.0817p_0n_23.1_RB_BiocrustExp	False	False	False	True	1
c6h15no2134.1175p0n20.1rbbiocrustexp				0	0		C6H15NO2_134.1175p_0n_20.1_RB_BiocrustExp	False	False	False	True	1
c6h6n4o151.0613p0n11.2rbbiocrustexp				0	0		C6H6N4O_151.0613p_0n_11.2_RB_BiocrustExp	False	False	False	True	1
c6h7no2126.0558p0n8.9rbbiocrustexp				0	0		C6H7NO2_126.0558p_0n_8.9_RB_BiocrustExp	False	False	False	True	1
c6h8n2o2141.0657p0n18.9rbbiocrustexp				0	0		C6H8N2O2_141.0657p_0n_18.9_RB_BiocrustExp	False	False	False	True	1
c7h12n2o2157.0971p0n7rbbiocrustexp				0	0		C7H12N2O2_157.0971p_0n_7_RB_BiocrustExp	False	False	False	True	1
c7h14n2o2159.1121p0n6.5rbbiocrustexp				0	0		C7H14N2O2_159.1121p_0n_6.5_RB_BiocrustExp	False	False	False	True	1
c7h14n2o3175.107p0n23.4rbbiocrustexp				0	0		C7H14N2O3_175.107p_0n_23.4_RB_BiocrustExp	False	False	False	True	1
c7h14n2o3175.108p0n20.3rbbiocrustexp				0	0		C7H14N2O3_175.108p_0n_20.3_RB_BiocrustExp	False	False	False	True	1
c7h15n3o3190.1185p0n20.5rbbiocrustexp				0	0		C7H15N3O3_190.1185p_0n_20.5_RB_BiocrustExp	False	False	False	True	1
c7h15no2146.1187p0n25.5rbbiocrustexp				0	0		C7H15NO2_146.1187p_0n_25.5_RB_BiocrustExp	False	False	False	True	1
c7h16o7213.0931p211.073n22.6rbbiocrustexp				0	0		C7H16O7_213.0931p_211.073n_22.6_RB_BiocrustExp	False	False	False	True	1
c7h8o3s				0	0		C7H8O3S	False	False	False	True	1
c8h15no3174.1125p0n21.4rbbiocrustexp				0	0		C8H15NO3_174.1125p_0n_21.4_RB_BiocrustExp	False	False	False	True	1
c8h15o8195.1223p0n7.8rbbiocrustexp				0	0		C8H15O8_195.1223p_0n_7.8_RB_BiocrustExp	False	False	False	True	1
c8h16n2o3189.1239p0n22.2rbbiocrustexp				0	0		C8H16N2O3_189.1239p_0n_22.2_RB_BiocrustExp	False	False	False	True	1
c9h10o40p181.0496n19.4rbbiocrustexp				0	0		C9H10O4_0p_181.0496n_19.4_RB_BiocrustExp	False	False	False	True	1
c9h15n3o2198.1231p0n20.3rbbiocrustexp				0	0		C9H15N3O2_198.1231p_0n_20.3_RB_BiocrustExp	False	False	False	True	1
c9h17no156.1381p0n7.8rbbiocrustexp				0	0		C9H17NO_156.1381p_0n_7.8_RB_BiocrustExp	False	False	False	True	1
c9h17no3188.128p0n21.3rbbiocrustexp				0	0		C9H17NO3_188.128p_0n_21.3_RB_BiocrustExp	False	False	False	True	1
c9h18n2o171.1499p0n15.5rbbiocrustexp				0	0		C9H18N2O_171.1499p_0n_15.5_RB_BiocrustExp	False	False	False	True	1
c9h18n2o2187.1452p0n10.3rbbiocrustexp				0	0		C9H18N2O2_187.1452p_0n_10.3_RB_BiocrustExp	False	False	False	True	1
c9h18n2o3203.14p0n21.7rbbiocrustexp				0	0		C9H18N2O3_203.14p_0n_21.7_RB_BiocrustExp	False	False	False	True	1
c9h18n2o4219.134p0n24.2rbbiocrustexp				0	0		C9H18N2O4_219.134p_0n_24.2_RB_BiocrustExp	False	False	False	True	1
c9h18n2o5235.1288p0n20.1rbbiocrustexp				0	0		C9H18N2O5_235.1288p_0n_20.1_RB_BiocrustExp	False	False	False	True	1
c9h18no10s336.0972p317.0548n19.7rbbiocrustexp				0	0		C9H18NO10S_336.0972p_317.0548n_19.7_RB_BiocrustExp	False	False	False	True	1
c9h18o10s0p317.0547n19.5rbbiocrustexp				0	0		C9H18O10S_0p_317.0547n_19.5_RB_BiocrustExp	False	False	False	True	1
c9h18o11s0p333.0505n18.5rbbiocrustexp				0	0		C9H18O11S_0p_333.0505n_18.5_RB_BiocrustExp	False	False	False	True	1
c9h20n2o2189.1596p0n33.5rbbiocrustexp				0	0		C9H20N2O2_189.1596p_0n_33.5_RB_BiocrustExp	False	False	False	True	1
cadaverine			Cadaverine	2	1			False	True	False	False	1
cadmiumchloridehemipenta			Cadmium chloride hemipentahydrate	3	1			False	True	False	False	1
calciumpantothenate			calcium pantothenate	6	1			False	True	False	False	1
capricacid				0	0	Capric-Acid		False	False	True	False	1
caproicacid				0	0	Caproic-Acid		False	False	True	False	1
caprolactam			Caprolactam	2	1			False	True	False	False	1
capsaicin			capsaicin	4	2			False	True	False	False	1
carbenicillindi			Carbenicillin disodium salt	39	17			False	True	False	False	1
carnitinehydrochloride			Carnitine Hydrochloride	11	6			False	True	False	False	1
carnosine				0	0		carnosine	False	False	False	True	1
casaminoacids			casamino acids	103	30			False	True	False	False	1
cefoxitin			Cefoxitin sodium salt	9	2			False	True	False	False	1
ceftazidime			Ceftazidime hydrate	26	12			False	True	False	False	1
ceftriaxonedihemihepta			Ceftriaxone disodium salt hemi(heptahydrate)	6	1			False	True	False	False	1
cephalothin			Cephalothin sodium salt	40	20			False	True	False	False	1
chenodeoxycholicacid			Chenodeoxycholic acid	7	1			False	True	False	False	1
chir090			CHIR-090	3	1			False	True	False	False	1
chlorate			Sodium Chlorate	25	8			False	True	False	False	1
chlorhexidinediacetate			Chlorhexidine diacetate salt hydrate	12	1			False	True	False	False	1
chloride			Sodium Chloride	68	28			False	True	False	False	1
chlorite			Sodium Chlorite	72	30			False	True	False	False	1
chlorpromazinehydrochloride			Chlorpromazine hydrochloride	12	1			False	True	False	False	1
cholinacetate			Cholin acetate	32	14			False	True	False	False	1
cholinelysine			Choline Lysine	17	11			False	True	False	False	1
chondroitin				0	0	Chondroitin		False	False	True	False	1
chondroitinsulfateafrombovinetrachea			Chondroitin sulfate A sodium salt from bovine trachea	2	1			False	True	False	False	1
chondroitinsulfatec				0	0	Chondroitin-Sulfate-C		False	False	True	False	1
chromate			Sodium Chromate	2	1			False	True	False	False	1
ciprofloxacinhydrochloride			Ciprofloxacin Hydrochloride	3	1			False	True	False	False	1
cis4hydroxyproline				0	0		cis-4-hydroxyproline	False	False	False	True	1
cisplatin			Cisplatin	74	28			False	True	False	False	1
citraconicacid				0	0	Citraconic-Acid		False	False	True	False	1
citrate				0	0	Citrate		False	False	True	False	1
citrate/isocitrate				0	0		Citrate/Isocitrate	False	False	False	True	1
citrulline				0	0		citrulline	False	False	False	True	1
coelutingisomersarabitolribitolxilitol				0	0		coeluting isomers (arabitol, ribitol, xilitol)	False	False	False	True	1
coniferylalcohol				0	0	Coniferyl_alcohol		False	False	True	False	1
copperiichloridedi			copper (II) chloride dihydrate	55	26			False	True	False	False	1
copperiisulfatepenta			Copper (II) sulfate pentahydrate	3	1			False	True	False	False	1
cv.atlantic			cv.Atlantic	25	3			False	True	False	False	1
cv.norland			cv.Norland	26	3			False	True	False	False	1
cv.upstate			cv.Upstate	24	3			False	True	False	False	1
cyclodextrin				0	0	Cyclodextrin		False	False	True	False	1
cystathionine				0	0		cystathionine	False	False	False	True	1
cysteineorothercysorshcontainingmetabolite				0	0		cysteine or other cys or SH containing metabolite	False	False	False	True	1
cystine				0	0		cystine	False	False	False	True	1
cytidine2'3'cyclicmonophosphate				0	0		cytidine 2',3'-cyclic monophosphate	False	False	False	True	1
cytidine5?monophosphate				0	0		cytidine 5?-monophosphate	False	False	False	True	1
daminovalericacid				0	0	d-Amino-Valeric-Acid		False	False	True	False	1
dcellobiose			D-Cellobiose	25	9			False	True	False	False	1
dcycloserine			D-Cycloserine	44	24			False	True	False	False	1
decanoicacid			Decanoic acid	2	1			False	True	False	False	1
deoxycarnitine				0	0		deoxycarnitine	False	False	False	True	1
deoxycholicacid			Deoxycholic acid	7	1			False	True	False	False	1
deoxyribonucleicacidfromherringsperm			Deoxyribonucleic acid from herring sperm	8	3			False	True	False	False	1
deoxyuridine				0	0	Deoxyuridine		False	False	True	False	1
deta/no			DETA/NO	6	1			False	True	False	False	1
dextran				0	0	Dextran		False	False	True	False	1
dextranmw~200000			dextran, Mw ~200,000	2	1			False	True	False	False	1
dextrin				0	0	Dextrin		False	False	True	False	1
dgalactose			D-Galactose	27	14			False	True	False	False	1
dgalacturonicacidmono			D-Galacturonic Acid monohydrate	18	8			False	True	False	False	1
dgluconicacid			D-Gluconic Acid sodium salt	26	14			False	True	False	False	1
dglucosamine			D-glucosamine	3	1			False	True	False	False	1
dglucosaminehydrochloride			D-Glucosamine Hydrochloride	40	19			False	True	False	False	1
dglucose			D-Glucose	119	24			False	True	False	False	1
dibucaine			Dibucaine	4	1			False	True	False	False	1
dichromate			Potassium dichromate	3	1			False	True	False	False	1
dihexose				0	0		Dihexose	False	False	False	True	1
dihydroxyacetone				0	0	Dihydroxy-Acetone		False	False	True	False	1
dimethyladenosine				0	0		Dimethyladenosine	False	False	False	True	1
dimethylcytidine				0	0		Dimethylcytidine	False	False	False	True	1
dimethylsulfoxide			Dimethyl Sulfoxide	112	31			False	True	False	False	1
dimetridazole			Dimetridazole	19	1			False	True	False	False	1
dl2aminobutyricacid			DL-2-Aminobutyric acid	2	1			False	True	False	False	1
dl3aminoisobutyricacid			DL-3-Aminoisobutyric acid	2	1			False	True	False	False	1
dlactate			Sodium D-Lactate	40	20			False	True	False	False	1
dlcysteine			D,L-cysteine	2	1			False	True	False	False	1
dleucrose			D-Leucrose	2	1			False	True	False	False	1
dlhistidine			D,L-histidine	1	1			False	True	False	False	1
dlisocitricacidtri			DL-Isocitric acid trisodium salt hydrate	3	1			False	True	False	False	1
dllactate			Sodium D,L-Lactate	95	25			False	True	False	False	1
dlmalicacid			D,L-Malic Acid	2	1			False	True	False	False	1
dlysine			D-Lysine	4	1			False	True	False	False	1
dmaltosemono			D-Maltose monohydrate	30	14			False	True	False	False	1
dmannose			D-Mannose	30	17			False	True	False	False	1
dnahmw				0	0	Dna-hmw		False	False	True	False	1
doxycyclinehyclate			Doxycycline hyclate	46	23			False	True	False	False	1
draffinosepenta			D-Raffinose pentahydrate	13	6			False	True	False	False	1
dribose			D-Ribose	19	11			False	True	False	False	1
dsalicin			D-Salicin	11	5			False	True	False	False	1
dsorbitol			D-Sorbitol	16	10			False	True	False	False	1
dtagatose			D-Tagatose	1	1			False	True	False	False	1
dtrehalosedi			D-Trehalose dihydrate	33	14			False	True	False	False	1
dulcitol				0	0	Dulcitol		False	False	True	False	1
dxylose			D-Xylose	25	13			False	True	False	False	1
eaminoncaproicacid			e-Amino-N-Caproic Acid	2	1			False	True	False	False	1
econazolenitrate			Econazole nitrate salt	9	1			False	True	False	False	1
epiphytic			epiphytic	2	1			False	True	False	False	1
erythromycin			Erythromycin	2	2			False	True	False	False	1
ethanolamine			Ethanolamine	10	2			False	True	False	False	1
fccp			FCCP	6	1			False	True	False	False	1
ferulicacid			Ferulic Acid	3	1			False	True	False	False	1
flavone			Flavone	2	2			False	True	False	False	1
fluoride			sodium fluoride	48	25			False	True	False	False	1
fluorophosphate			Sodium Fluorophosphate	3	1			False	True	False	False	1
formamide			Formamide	6	1			False	True	False	False	1
formicacid				0	0	Formic-Acid		False	False	True	False	1
formylmethionylpeptide				0	0		formyl-methionyl peptide	False	False	False	True	1
fructooligosaccharidesfos			Fructooligosaccharides (FOS)	2	1			False	True	False	False	1
fructose				0	0	Fructose		False	False	True	False	1
fructose6phosphate				0	0	Fructose-6-Phosphate		False	False	True	False	1
fucose				0	0	Fucose		False	False	True	False	1
furaltadonehydrochloride			Furaltadone hydrochloride	4	1			False	True	False	False	1
furfurylalcohol			Furfuryl Alcohol	16	7			False	True	False	False	1
fusaricacid			Fusaric acid	22	2			False	True	False	False	1
fusidicacid			Fusidic acid sodium salt	71	28			False	True	False	False	1
g418disulfatesolution			G418 disulfate salt solution	4	1			False	True	False	False	1
galactan				0	0	Galactan		False	False	True	False	1
galactonicacidglactone				0	0	Galactonic-Acid-g-Lactone		False	False	True	False	1
galactosamine				0	0	Galactosamine		False	False	True	False	1
galactose				0	0	Galactose		False	False	True	False	1
galacturonate				0	0	Galacturonate		False	False	True	False	1
galacturonicacid				0	0	Galacturonic-Acid		False	False	True	False	1
galnac				0	0	Galnac		False	False	True	False	1
gammagluphe				0	0		gamma-Glu-Phe	False	False	False	True	1
geneticing418			Geneticin G418	3	1			False	True	False	False	1
gentamicinsulfate			Gentamicin sulfate salt	20	11			False	True	False	False	1
gentiobiose				0	0	Gentiobiose		False	False	True	False	1
glcnac				0	0	Glcnac		False	False	True	False	1
glnglngln				0	0		Gln-Gln-Gln	False	False	False	True	1
gluala				0	0		(Glu-Ala)	False	False	False	True	1
glucomannan				0	0	Glucomannan		False	False	True	False	1
gluconatelactone				0	0	Gluconate-lactone		False	False	True	False	1
gluconicacid				0	0	Gluconic-Acid		False	False	True	False	1
glucosamine				0	0	Glucosamine		False	False	True	False	1
glucosaminicacid				0	0	Glucosaminic-Acid		False	False	True	False	1
glucose1phosphate				0	0	Glucose-1-Phosphate		False	False	True	False	1
glucose6phosphate				0	0	Glucose-6-Phosphate		False	False	True	False	1
glucosylglycerate				0	0		glucosylglycerate	False	False	False	True	1
glucosylglycerol				0	0		glucosylglycerol	False	False	False	True	1
glucosylglycerolphosphate				0	0		Glucosylglycerolphosphate	False	False	False	True	1
glucote				0	0	Glucote		False	False	True	False	1
glucuronate				0	0	Glucuronate		False	False	True	False	1
glucuronatelactone				0	0	Glucuronate-lactone		False	False	True	False	1
glucuronicacid				0	0	Glucuronic-Acid		False	False	True	False	1
gluleu/ile				0	0		(Glu-Leu/Ile)	False	False	False	True	1
glumet				0	0		(Glu-Met)	False	False	False	True	1
glumethioninesulfoxide				0	0		Glu-methionine sulfoxide	False	False	False	True	1
glutamylcysteine				0	0		glutamylcysteine	False	False	False	True	1
glutathione				0	0		glutathione	False	False	False	True	1
glutathionedisulfide				0	0		glutathione disulfide	False	False	False	True	1
glutathionylcysteine				0	0		glutathionyl-cysteine	False	False	False	True	1
gluval				0	0		(Glu-Val)	False	False	False	True	1
glycerate				0	0		glycerate	False	False	False	True	1
glycerolphosphate				0	0	Glycerol-Phosphate		False	False	True	False	1
glycerophosphocholine				0	0		Glycerophosphocholine	False	False	False	True	1
glycogen				0	0	Glycogen		False	False	True	False	1
glycolate				0	0	Glycolate		False	False	True	False	1
glycyllasparticacid				0	0	Glycyl-L-Aspartic-Acid		False	False	True	False	1
glycyllglutamicacid				0	0	Glycyl-L-Glutamic-Acid		False	False	True	False	1
glycyllproline				0	0	Glycyl-L-Proline		False	False	True	False	1
glydlasp			Gly-DL-Asp	16	9			False	True	False	False	1
glyoxylicacid				0	0	Glyoxylic-Acid		False	False	True	False	1
glyphe				0	0		Gly-Phe	False	False	False	True	1
guanidinobutanoate				0	0		Guanidinobutanoate	False	False	False	True	1
guanine				0	0		Guanine	False	False	False	True	1
guanosine				0	0		guanosine	False	False	False	True	1
guanosine3'5'cyclicmonophosphate				0	0		guanosine 3',5'-cyclic monophosphate	False	False	False	True	1
h2			H2	9	1			False	True	False	False	1
heparinfromporcineintestinalmucosa			Heparin sodium salt from porcine intestinal mucosa	2	1			False	True	False	False	1
heptanoicacid			Heptanoic acid	2	1			False	True	False	False	1
hexahexose6hex				0	0		Hexahexose (6Hex)	False	False	False	True	1
hexanoicacid			Hexanoic acid	2	1			False	True	False	False	1
hexosylglycerate				0	0		Hexosylglycerate	False	False	False	True	1
hexosylglycerol				0	0		Hexosylglycerol	False	False	False	True	1
histidinebetaine				0	0		Histidine betaine	False	False	False	True	1
hisval				0	0		His-Val	False	False	False	True	1
homocysteine				0	0		homocysteine	False	False	False	True	1
homocystine				0	0		homocystine	False	False	False	True	1
homogentisate				0	0		homogentisate	False	False	False	True	1
homoserine				0	0	Homoserine		False	False	True	False	1
hyaluronicacidfromstreptococcusequi			Hyaluronic acid sodium salt from Streptococcus equi	4	1			False	True	False	False	1
hydrogenperoxide			Hydrogen peroxide	1	1			False	True	False	False	1
hydroxybenzoicacid				0	0		Hydroxybenzoic acid	False	False	False	True	1
hydroxybutyricacid				0	0	Hydroxy-Butyric-Acid		False	False	True	False	1
hydroxybutyricacidscoelutingisomers:2hydroxybutyricacidalphahydroxyisobutyricacid				0	0		hydroxybutyric acids (coeluting isomers: 2-hydroxybutyric acid, alpha-hydroxyisobutyric acid)	False	False	False	True	1
hydroxyglutaricacidglactone				0	0	Hydroxy-Glutaric-Acid-g-Lactone		False	False	True	False	1
hydroxylproline				0	0	Hydroxy-L-Proline		False	False	True	False	1
hydroxyproline				0	0	Hydroxyproline		False	False	True	False	1
hypoxanthine				0	0		Hypoxanthine	False	False	False	True	1
icarrageenan				0	0	I-carrageenan		False	False	True	False	1
ierythritol				0	0	i-Erythritol		False	False	True	False	1
indolicidin			Indolicidin	2	1			False	True	False	False	1
inulin				0	0	Inulin		False	False	True	False	1
irgasan			Irgasan	11	1			False	True	False	False	1
iron			Iron	34	1			False	True	False	False	1
ironiichloridetetra			Iron (II) chloride tetrahydrate	36	2			False	True	False	False	1
isocitrate				0	0	Isocitrate		False	False	True	False	1
isomaltose			Isomaltose	1	1			False	True	False	False	1
kanamycin			kanamycin	33	3			False	True	False	False	1
kcarrageenan				0	0	K-carrageenan		False	False	True	False	1
ketobutyricacid				0	0	Keto-Butyric-Acid		False	False	True	False	1
ketoglutaricacid				0	0	Keto-Glutaric-Acid		False	False	True	False	1
ketovalericacid				0	0	Keto-Valeric-Acid		False	False	True	False	1
kynurenicacid				0	0		Kynurenic acid	False	False	False	True	1
lacticacid				0	0	Lactic-Acid		False	False	True	False	1
lacticacidmethylester				0	0	Lactic-Acid-Methyl-Ester		False	False	True	False	1
lactose				0	0	Lactose		False	False	True	False	1
lambdacarrageenan				0	0	Lambda-carrageenan		False	False	True	False	1
laminaribiose			Laminaribiose	2	1			False	True	False	False	1
laminarin				0	0	Laminarin		False	False	True	False	1
laspartate			L-Aspartate	2	1			False	True	False	False	1
lauricacid			Lauric acid	2	1			False	True	False	False	1
lcarnitinehydrochloride			L-Carnitine hydrochloride	3	1			False	True	False	False	1
lcysteine			L-Cysteine	15	3			False	True	False	False	1
lcysteinehydrochloridemono			L-Cysteine hydrochloride monohydrate	2	1			False	True	False	False	1
leucine/isoleucine				0	0		Leucine/Isoleucine	False	False	False	True	1
leucine/norleucine				0	0		leucine/norleucine	False	False	False	True	1
levanfromerwiniaherbicola			Levan - from Erwinia herbicola	3	1			False	True	False	False	1
levofloxacin			Levofloxacin	5	1			False	True	False	False	1
levulinicacid			Levulinic Acid	4	1			False	True	False	False	1
lfucose			L-Fucose	10	6			False	True	False	False	1
lglutamicacidmonomono			L-Glutamic acid monopotassium salt monohydrate	72	22			False	True	False	False	1
lhistidine			L-Histidine	58	24			False	True	False	False	1
lhomoserine			L-Homoserine	3	1			False	True	False	False	1
lincomycinhydrochloride			Lincomycin hydrochloride	3	1			False	True	False	False	1
lithocholicacid			Lithocholic acid	4	1			False	True	False	False	1
lmalicaciddimono			L-Malic acid disodium salt monohydrate	41	21			False	True	False	False	1
lomefloxacinhydrochloride			Lomefloxacin hydrochloride	34	20			False	True	False	False	1
lpipecolicacid			L-Pipecolic Acid	2	1			False	True	False	False	1
lpyroglutamicacid			L-pyroglutamic acid	2	1			False	True	False	False	1
lrhamnosemono			L-Rhamnose monohydrate	13	7			False	True	False	False	1
ltyrosinedi			L-tyrosine disodium salt	13	7			False	True	False	False	1
lumichrome				0	0		lumichrome	False	False	False	True	1
lvaline			L-Valine	28	13			False	True	False	False	1
lvalinehplcpurified			L-Valine (HPLC purified)	15	1			False	True	False	False	1
lyxose				0	0	Lyxose		False	False	True	False	1
malonate				0	0	Malonate		False	False	True	False	1
malonicacid				0	0	Malonic-Acid		False	False	True	False	1
maltohexaose			Maltohexaose	2	1			False	True	False	False	1
maltotetraose			Maltotetraose	2	1			False	True	False	False	1
maltotriose				0	0	Maltotriose		False	False	True	False	1
mannan				0	0	Mannan		False	False	True	False	1
mannanfromsaccharomycescerevisiae			Mannan from Saccharomyces cerevisiae	2	1			False	True	False	False	1
mannitol				0	0	Mannitol		False	False	True	False	1
mannosamine				0	0	Mannosamine		False	False	True	False	1
mannose				0	0	Mannose		False	False	True	False	1
mcvitamins			Mc_vitamins	18	1			False	True	False	False	1
melezitose				0	0	Melezitose		False	False	True	False	1
melibionicacid				0	0	Melibionic-Acid		False	False	True	False	1
mercaptohistidinebetaine				0	0		Mercaptohistidine betaine	False	False	False	True	1
mercaptopyruvate				0	0		mercaptopyruvate	False	False	False	True	1
mercuryiichloride			mercury (II) chloride	5	1			False	True	False	False	1
methanolla3				0	0	Methanol_La3		False	False	True	False	1
methioninesulfoxide				0	0		Methionine sulfoxide	False	False	False	True	1
methylacetoacetate				0	0		methyl acetoacetate	False	False	False	True	1
methyladenine				0	0		Methyladenine	False	False	False	True	1
methyladenosine				0	0		methyladenosine	False	False	False	True	1
methylbdgalactopyranoside			Methyl-B-D-galactopyranoside	4	2			False	True	False	False	1
methylcytosine				0	0		Methylcytosine	False	False	False	True	1
methyldglucoside				0	0	Methyl-D-Glucoside		False	False	True	False	1
methyldmannoside				0	0	Methyl-D-Mannoside		False	False	True	False	1
methylglyoxal			methylglyoxal	24	14			False	True	False	False	1
methylguanine				0	0		Methylguanine	False	False	False	True	1
methylguanosine				0	0		Methylguanosine	False	False	False	True	1
methylpyruvate				0	0	Methyl-Pyruvate		False	False	True	False	1
methylthioadenosine				0	0		methylthioadenosine	False	False	False	True	1
methyluridine				0	0		methyluridine	False	False	False	True	1
metronidazole			Metronidazole	2	1			False	True	False	False	1
mhydroxyphenylaceticacid				0	0	m-Hydroxy-Phenylacetic-Acid		False	False	True	False	1
mitomycinc			Mitomycin C	2	2			False	True	False	False	1
molybdate			Sodium molybdate	8	1			False	True	False	False	1
monomethylsuccinate				0	0	Mono-Methyl-Succinate		False	False	True	False	1
mrebperturbingcompounda22			MreB Perturbing Compound A22	63	28			False	True	False	False	1
mtartaricacid				0	0	m-Tartaric-Acid		False	False	True	False	1
mucicacid				0	0	Mucic-Acid		False	False	True	False	1
n2			N2	9	1			False	True	False	False	1
nacetylalanine				0	0		N-acetyl-alanine	False	False	False	True	1
nacetylasparticacid				0	0		N-acetyl-aspartic acid	False	False	False	True	1
nacetyldgalactosamine				0	0	N-Acetyl-D-Galactosamine		False	False	True	False	1
nacetyldglucosaminitol				0	0	N-Acetyl-D-Glucosaminitol		False	False	True	False	1
nacetylglutamicacid				0	0		N-acetyl-glutamic acid	False	False	False	True	1
nacetylleucine				0	0		N-acetyl-leucine	False	False	False	True	1
nacetyllglutamicacid				0	0	N-Acetyl-L-Glutamic-Acid		False	False	True	False	1
nacetylneuraminicacid				0	0	N-Acetyl-Neuraminic-Acid		False	False	True	False	1
nacetylphenylalanine				0	0		N-acetyl-phenylalanine	False	False	False	True	1
nacetylputrescine				0	0		N-acetylputrescine	False	False	False	True	1
nacetylserine				0	0		N-acetyl-serine	False	False	False	True	1
nacetyltryptophan				0	0		N-acetyl-tryptophan	False	False	False	True	1
nalidixicacid			Nalidixic acid sodium salt	50	20			False	True	False	False	1
nalphaacetylasparagine				0	0		N-alpha-acetyl-asparagine	False	False	False	True	1
nalphaacetyllysine				0	0		N-alpha-acetyl-lysine	False	False	False	True	1
negativecontrol				0	0	Negative-Control		False	False	True	False	1
neomycintrisulfate			Neomycin trisulfate salt hydrate	10	4			False	True	False	False	1
neuraminicacid				0	0	Neuraminic-Acid		False	False	True	False	1
nickeliichloridehexa			Nickel (II) chloride hexahydrate	86	30			False	True	False	False	1
nicotinate				0	0		nicotinate	False	False	False	True	1
nitrofurantoin			Nitrofurantoin	8	3			False	True	False	False	1
nnn′n′tetramethylethylenediamine			N,N,N′,N′-Tetramethylethylenediamine	6	1			False	True	False	False	1
nonanoicacid			Nonanoic acid	2	1			False	True	False	False	1
octopamine				0	0	Octopamine		False	False	True	False	1
oleicacid			Oleic acid	2	1			False	True	False	False	1
oligosaccharide				0	0		Oligosaccharide	False	False	False	True	1
orotate				0	0		orotate	False	False	False	True	1
oxalacetate				0	0	Oxalacetate		False	False	True	False	1
oxaloaceticacid			Oxaloacetic acid	3	1			False	True	False	False	1
oxalomalicacid				0	0	Oxalomalic-Acid		False	False	True	False	1
oxoglutarate				0	0	Oxoglutarate		False	False	True	False	1
