normalized	enigma_name	enigma_chebi	fb_condition	fb_n_experiments	fb_n_orgIds	csp_name	wom_compound	in_enigma	in_fb	in_csp	in_wom	n_datasets
succinate				0	0	Succinate	Succinate	False	False	True	True	2
threonine				0	0	Threonine	threonine	False	False	True	True	2
trehalose				0	0	Trehalose	trehalose	False	False	True	True	2
tryptophan				0	0	Tryptophan	tryptophan	False	False	True	True	2
tween20			Tween 20	24	13	Tween-20		False	True	True	False	2
tyramine				0	0	Tyramine	tyramine	False	False	True	True	2
tyrosine				0	0	Tyrosine	tyrosine	False	False	True	True	2
valine				0	0	Valine	valine	False	False	True	True	2
14butanediammonium	1,4-butanediammonium	CHEBI:326268		0	0			True	False	False	False	1
26diaminopimelicacid	2,6-diaminopimelic acid	CHEBI:23673		0	0			True	False	False	False	1
2ammonio2deoxydglucopyranose	2-ammonio-2-deoxy-D-glucopyranose	CHEBI:58723		0	0			True	False	False	False	1
2hydroxybutyricacid	2-hydroxybutyric acid	CHEBI:1148		0	0			True	False	False	False	1
2hydroxypropanoicacid	2-hydroxypropanoic acid	CHEBI:78320		0	0			True	False	False	False	1
2oxoglutaricacid	2-oxoglutaric acid	CHEBI:30915		0	0			True	False	False	False	1
31hindol3ylpropanoicacid	3-(1H-indol-3-yl)propanoic acid	CHEBI:43580		0	0			True	False	False	False	1
34dimethoxybenzoicacid	3,4-dimethoxybenzoic acid	CHEBI:296881		0	0			True	False	False	False	1
3aminobutanoicacid	3-aminobutanoic acid	CHEBI:37081		0	0			True	False	False	False	1
3methylglutaricacid	3-methylglutaric acid	CHEBI:68566		0	0			True	False	False	False	1
3omethyldglucopyranose	3-O-Methyl-D-glucopyranose	ME:0000488		0	0			True	False	False	False	1
4hydroxybenzoate	sodium 4-hydroxybenzoate	CHEBI:113449		0	0			True	False	False	False	1
4hydroxyphenylaceticacid	4-hydroxyphenylacetic acid	CHEBI:18101		0	0			True	False	False	False	1
5aminopentanoicacid	5-aminopentanoic acid	CHEBI:15887		0	0			True	False	False	False	1
5ketodgluconate	5-Keto-D-gluconate	CHEBI:180368		0	0			True	False	False	False	1
5oxolproline	5-oxo-L-proline	CHEBI:18183		0	0			True	False	False	False	1
6oalphadglucopyranosyldfructofuranose	6-O-alpha-D-glucopyranosyl-D-fructofuranose	CHEBI:18394		0	0			True	False	False	False	1
adipicacid	adipic acid	CHEBI:30832		0	0			True	False	False	False	1
aldehydodlyxose	aldehydo-D-lyxose	CHEBI:16789		0	0			True	False	False	False	1
aldehydonacetylmuramicacid	aldehydo-N-acetylmuramic acid	CHEBI:47966		0	0			True	False	False	False	1
allantoin	allantoin	CHEBI:15676		0	0			True	False	False	False	1
alphaaminobutyricacid	alpha-aminobutyric acid	CHEBI:35621		0	0			True	False	False	False	1
anthranilicacid	anthranilic acid	CHEBI:30754		0	0			True	False	False	False	1
ascorbate	sodium ascorbate	CHEBI:113451		0	0			True	False	False	False	1
betadglucuronamide	beta-D-glucuronamide	CHEBI:32323		0	0			True	False	False	False	1
butane1234tetrol	butane-1,2,3,4-tetrol	CHEBI:48299		0	0			True	False	False	False	1
carnitinamidechloride	carnitinamide chloride	CHEBI:48601		0	0			True	False	False	False	1
cholate	sodium cholate	CHEBI:26711		0	0			True	False	False	False	1
citramalate2	citramalate(2-)	CHEBI:13997		0	0			True	False	False	False	1
citratedi	sodium citrate dihydrate	CHEBI:32142		0	0			True	False	False	False	1
d+galactosaminehydrochloride	D-(+)-Galactosamine hydrochloride	CHEBI:181432		0	0			True	False	False	False	1
d+melezitose	D(+)-Melezitose	CHEBI:183824		0	0			True	False	False	False	1
dalphaaminobutyricacid	D-alpha-aminobutyric acid	CHEBI:28797		0	0			True	False	False	False	1
dasparticacid	D-aspartic acid	CHEBI:17364		0	0			True	False	False	False	1
dfructose6phosphate2	D-fructose 6-phosphate(2-)	CHEBI:57579		0	0			True	False	False	False	1
dgalactopyranose	D-galactopyranose	CHEBI:4139		0	0			True	False	False	False	1
dgalacturonicacid	D-galacturonic acid	CHEBI:18024		0	0			True	False	False	False	1
dglucitol	D-glucitol	CHEBI:17924		0	0			True	False	False	False	1
dglucono15lactone	D-glucono-1,5-lactone	CHEBI:16217		0	0			True	False	False	False	1
dglutamicacid	D-glutamic acid	CHEBI:15966		0	0			True	False	False	False	1
difumarate	disodium fumarate	CHEBI:115156		0	0			True	False	False	False	1
diltyrosinate	disodium L-tyrosinate	CHEBI:53696		0	0			True	False	False	False	1
dleucine	D-leucine	CHEBI:28225		0	0			True	False	False	False	1
dmannopyranose	D-mannopyranose	CHEBI:4208		0	0			True	False	False	False	1
dmethionine	D-methionine	CHEBI:16867		0	0			True	False	False	False	1
dopaminehydrochloride	Dopamine hydrochloride	CHEBI:4698		0	0			True	False	False	False	1
dproline	D-proline	CHEBI:16313		0	0			True	False	False	False	1
dribofuranose	D-ribofuranose	CHEBI:47013		0	0			True	False	False	False	1
dtryptophan	D-tryptophan	CHEBI:16296		0	0			True	False	False	False	1
dxylopyranose	D-xylopyranose	CHEBI:53455		0	0			True	False	False	False	1
ectoine	ectoine	CHEBI:27592		0	0			True	False	False	False	1
erythromycina	erythromycin A	CHEBI:42355		0	0			True	False	False	False	1
ethylmalonicacid	ethylmalonic acid	CHEBI:741548		0	0			True	False	False	False	1
gammaaminobutyricacid	gamma-aminobutyric acid	CHEBI:16865		0	0			True	False	False	False	1
glyasp	Gly-Asp	CHEBI:73804		0	0			True	False	False	False	1
glycerol2phosphate	glycerol 2-phosphate	CHEBI:17270		0	0			True	False	False	False	1
glygln	Gly-Gln	CHEBI:73898		0	0			True	False	False	False	1
hexanoate	sodium hexanoate	CHEBI:114126		0	0			True	False	False	False	1
indole3aceticacid	indole-3-acetic acid	CHEBI:16411		0	0			True	False	False	False	1
kanamycinasulfate	kanamycin A sulfate	CHEBI:6109		0	0			True	False	False	False	1
ketodtagatose	keto-D-tagatose	CHEBI:47693		0	0			True	False	False	False	1
lascorbicacid	L-ascorbic acid	CHEBI:29073		0	0			True	False	False	False	1
lasparagineresidue	L-asparagine residue	CHEBI:50347		0	0			True	False	False	False	1
lcysteicacid	L-cysteic acid	CHEBI:17285		0	0			True	False	False	False	1
lcysteinehydrochloride	L-cysteine hydrochloride hydrate	CHEBI:91248		0	0			True	False	False	False	1
leucrose	leucrose	CHEBI:79285		0	0			True	False	False	False	1
lfucopyranose	L-fucopyranose	CHEBI:2181		0	0			True	False	False	False	1
lglutamicacid	L-glutamic acid	CHEBI:16015		0	0			True	False	False	False	1
lhistidineresidue	L-histidine residue	CHEBI:29979		0	0			True	False	False	False	1
lvalineresidue	L-valine residue	CHEBI:30015		0	0			True	False	False	False	1
methylalphadglucopyranoside	methyl alpha-D-glucopyranoside	CHEBI:320061		0	0			True	False	False	False	1
n2acetylglutamine	N(2)-acetylglutamine	CHEBI:73685		0	0			True	False	False	False	1
n2acetylllysine	N(2)-acetyl-L-lysine	CHEBI:35704		0	0			True	False	False	False	1
nacetyllasparticacid	N-acetyl-L-aspartic acid	CHEBI:21547		0	0			True	False	False	False	1
nacetyllglutamate2	N-acetyl-L-glutamate(2-)	CHEBI:44337		0	0			True	False	False	False	1
nickelchloridehexa	nickel chloride hexahydrate	CHEBI:53542		0	0			True	False	False	False	1
nndimethylglycine	N,N-dimethylglycine	CHEBI:17724		0	0			True	False	False	False	1
pimelicacid	pimelic acid	CHEBI:30531		0	0			True	False	False	False	1
polysorbate20	polysorbate 20	CHEBI:53424		0	0			True	False	False	False	1
pyridin2ol	pyridin-2-ol	CHEBI:16540		0	0			True	False	False	False	1
pyrrole2carboxylicacid	pyrrole-2-carboxylic acid	CHEBI:36751		0	0			True	False	False	False	1
raffinosepenta	Raffinose Pentahydrate	CHEBI:189430		0	0			True	False	False	False	1
ribothymidine	ribothymidine	CHEBI:45996		0	0			True	False	False	False	1
rpantolactone	(R)-pantolactone	CHEBI:16719		0	0			True	False	False	False	1
shikimicacid	shikimic acid	CHEBI:16119		0	0			True	False	False	False	1
smalicacid	(S)-malic acid	CHEBI:30797		0	0			True	False	False	False	1
snglycerol3phosphate2	sn-glycerol 3-phosphate(2-)	CHEBI:57597		0	0			True	False	False	False	1
spermidine3+	spermidine(3+)	CHEBI:57834		0	0			True	False	False	False	1
subericacid	suberic acid	CHEBI:9300		0	0			True	False	False	False	1
trehalosedi	trehalose dihydrate	CHEBI:232797		0	0			True	False	False	False	1
trigonellinehcl	Trigonelline HCl	CHEBI:229203		0	0			True	False	False	False	1
uridine5'monophosphate2	uridine 5'-monophosphate(2-)	CHEBI:57865		0	0			True	False	False	False	1
zincdichloride	zinc dichloride	CHEBI:49976		0	0			True	False	False	False	1
+arabinogalactan			(+)-Arabinogalactan	2	1			False	True	False	False	1
13butandiol			1,3-Butandiol	2	1			False	True	False	False	1
13propanediol			1,3-Propanediol	9	1			False	True	False	False	1
14bdgalactobiose			1,4-B-D-Galactobiose	2	1			False	True	False	False	1
14butanediol			1,4-Butanediol	2	1			False	True	False	False	1
15pentanediol			1,5-Pentanediol	2	1			False	True	False	False	1
16hexanediamine			1,6-Hexanediamine	2	1			False	True	False	False	1
1ethyl3methylimidazoliumacetate			1-ethyl-3-methylimidazolium acetate	28	14			False	True	False	False	1
1ethyl3methylimidazoliumchloride			1-ethyl-3-methylimidazolium chloride	19	12			False	True	False	False	1
1ethyl3methylimidazoliumlysine			1-ethyl-3-methylimidazolium lysine	12	8			False	True	False	False	1
1pentanol			1-Pentanol	2	1			False	True	False	False	1
2'deoxyadenosine				0	0		2'-deoxyadenosine	False	False	False	True	1
2'deoxyinosine			2'-Deoxyinosine	10	3			False	True	False	False	1
22'dipyridyl			2,2'-Dipyridyl	2	1			False	True	False	False	1
22dibromo2cyanoacetamide			2,2-dibromo-2-cyanoacetamide	2	1			False	True	False	False	1
