strain	mol_norm	n_curves	n_fit_ok	any_growth	median_mu	median_A	median_lag	median_auc	normalized	enigma_name	enigma_chebi	in_fb	in_csp	in_wom	n_datasets	is_fb_anchor
EB106-03-03-XG65	14butanediammonium	1	0	False				13.103549027777778	14butanediammonium	1,4-butanediammonium	CHEBI:326268	False	False	False	1	False
EB106-03-03-XG65	2'deoxycytidine	1	0	False				12.35405861111111	2'deoxycytidine	2'-deoxycytidine	CHEBI:15698	True	False	False	2	False
EB106-03-03-XG65	26diaminopimelicacid	1	0	False				11.542733333333334	26diaminopimelicacid	2,6-diaminopimelic acid	CHEBI:23673	False	False	False	1	False
EB106-03-03-XG65	2ammonio2deoxydglucopyranose	1	0	False				14.042995416666667	2ammonio2deoxydglucopyranose	2-ammonio-2-deoxy-D-glucopyranose	CHEBI:58723	False	False	False	1	False
EB106-03-03-XG65	2deoxydribose	1	0	False				12.928526249999997	2deoxydribose	2-deoxy-D-ribose	CHEBI:28816	True	True	False	3	False
EB106-03-03-XG65	2hydroxybutyricacid	1	0	False				13.405126249999999	2hydroxybutyricacid	2-hydroxybutyric acid	CHEBI:1148	False	False	False	1	False
EB106-03-03-XG65	2hydroxypropanoicacid	3	0	False				12.838763888888888	2hydroxypropanoicacid	2-hydroxypropanoic acid	CHEBI:78320	False	False	False	1	False
EB106-03-03-XG65	2oxoglutaricacid	1	0	False				14.016312500000002	2oxoglutaricacid	2-oxoglutaric acid	CHEBI:30915	False	False	False	1	False
EB106-03-03-XG65	31hindol3ylpropanoicacid	1	0	False				12.44593125	31hindol3ylpropanoicacid	3-(1H-indol-3-yl)propanoic acid	CHEBI:43580	False	False	False	1	False
EB106-03-03-XG65	34dimethoxybenzoicacid	1	0	False				12.860914444444443	34dimethoxybenzoicacid	3,4-dimethoxybenzoic acid	CHEBI:296881	False	False	False	1	False
EB106-03-03-XG65	3aminobutanoicacid	1	0	False				11.864892916666667	3aminobutanoicacid	3-aminobutanoic acid	CHEBI:37081	False	False	False	1	False
EB106-03-03-XG65	3methylglutaricacid	1	0	False				12.012321944444444	3methylglutaricacid	3-methylglutaric acid	CHEBI:68566	False	False	False	1	False
EB106-03-03-XG65	3omethyldglucopyranose	1	0	False				13.044104027777777	3omethyldglucopyranose	3-O-Methyl-D-glucopyranose	ME:0000488	False	False	False	1	False
EB106-03-03-XG65	4hydroxybenzoate	1	0	False				12.237737222222224	4hydroxybenzoate	sodium 4-hydroxybenzoate	CHEBI:113449	False	False	False	1	False
EB106-03-03-XG65	4hydroxylproline	1	0	False				12.953369027777779	4hydroxylproline	4-hydroxy-L-proline	CHEBI:18240	False	False	True	2	False
EB106-03-03-XG65	4hydroxyphenylaceticacid	1	0	False				13.727111249999998	4hydroxyphenylaceticacid	4-hydroxyphenylacetic acid	CHEBI:18101	False	False	False	1	False
EB106-03-03-XG65	5aminopentanoicacid	1	0	False				12.808926666666666	5aminopentanoicacid	5-aminopentanoic acid	CHEBI:15887	False	False	False	1	False
EB106-03-03-XG65	5ketodgluconate	1	1	True	0.0033434533176579916	0.037924913785429455	11.332027563197645	16.043519444444442	5ketodgluconate	5-Keto-D-gluconate	CHEBI:180368	False	False	False	1	False
EB106-03-03-XG65	5oxolproline	1	0	False				11.69673763888889	5oxolproline	5-oxo-L-proline	CHEBI:18183	False	False	False	1	False
EB106-03-03-XG65	6oalphadglucopyranosyldfructofuranose	1	0	True	0.0039005574047540313	0.026612989492587825	12.693697908630954	14.868603611111109	6oalphadglucopyranosyldfructofuranose	6-O-alpha-D-glucopyranosyl-D-fructofuranose	CHEBI:18394	False	False	False	1	False
EB106-03-03-XG65	acetate	2	0	False				13.463170624999998	acetate	sodium acetate	CHEBI:32954	True	True	False	3	False
EB106-03-03-XG65	adipicacid	1	0	False				13.11401236111111	adipicacid	adipic acid	CHEBI:30832	False	False	False	1	False
EB106-03-03-XG65	aldehydodlyxose	1	0	False				13.809776388888888	aldehydodlyxose	aldehydo-D-lyxose	CHEBI:16789	False	False	False	1	False
EB106-03-03-XG65	aldehydonacetylmuramicacid	1	0	False				11.879296666666667	aldehydonacetylmuramicacid	aldehydo-N-acetylmuramic acid	CHEBI:47966	False	False	False	1	False
EB106-03-03-XG65	allantoin	1	0	False				12.834809583333334	allantoin	allantoin	CHEBI:15676	False	False	False	1	False
EB106-03-03-XG65	alphaaminobutyricacid	1	0	False				12.748626944444444	alphaaminobutyricacid	alpha-aminobutyric acid	CHEBI:35621	False	False	False	1	False
EB106-03-03-XG65	alphacyclodextrin	1	0	False				13.358818194444444	alphacyclodextrin	alpha-cyclodextrin	CHEBI:40585	False	True	False	2	False
EB106-03-03-XG65	ammoniumchloride	2	0	False				12.118527083333335	ammoniumchloride	ammonium chloride	CHEBI:31206	True	False	False	2	False
EB106-03-03-XG65	anthranilicacid	1	0	False				11.720830555555558	anthranilicacid	anthranilic acid	CHEBI:30754	False	False	False	1	False
EB106-03-03-XG65	ascorbate	1	0	False				13.316721527777776	ascorbate	sodium ascorbate	CHEBI:113451	False	False	False	1	False
EB106-03-03-XG65	benzoate	1	0	False				12.934522083333333	benzoate	sodium benzoate	CHEBI:113455	False	True	False	2	False
EB106-03-03-XG65	betaalanine	1	0	False				11.761369861111113	betaalanine	beta-alanine	CHEBI:16958	True	True	False	3	False
EB106-03-03-XG65	betadglucuronamide	1	0	False				12.09118138888889	betadglucuronamide	beta-D-glucuronamide	CHEBI:32323	False	False	False	1	False
EB106-03-03-XG65	betalactose	1	0	False				13.820747777777777	betalactose	beta-lactose	CHEBI:36218	True	False	False	2	False
EB106-03-03-XG65	butane1234tetrol	1	0	False				11.403815833333333	butane1234tetrol	butane-1,2,3,4-tetrol	CHEBI:48299	False	False	False	1	False
EB106-03-03-XG65	butyrate	1	0	False				13.213006527777777	butyrate	sodium butyrate	CHEBI:64103	True	True	False	3	False
EB106-03-03-XG65	carnitinamidechloride	1	0	False				12.523359722222223	carnitinamidechloride	carnitinamide chloride	CHEBI:48601	False	False	False	1	False
EB106-03-03-XG65	cellobiose	1	0	False				14.202690555555556	cellobiose	cellobiose	CHEBI:17057	False	True	False	2	False
EB106-03-03-XG65	cholate	1	0	False				13.696109722222221	cholate	sodium cholate	CHEBI:26711	False	False	False	1	False
EB106-03-03-XG65	cholinechloride	1	0	False				12.010351944444444	cholinechloride	choline chloride	CHEBI:133341	True	False	False	2	False
EB106-03-03-XG65	citramalate2	1	0	False				13.058901805555553	citramalate2	citramalate(2-)	CHEBI:13997	False	False	False	1	False
EB106-03-03-XG65	citratedi	1	0	False				13.025734583333334	citratedi	sodium citrate dihydrate	CHEBI:32142	False	False	False	1	False
EB106-03-03-XG65	citricacid	1	0	False				13.827381805555554	citricacid	citric acid	CHEBI:30769	True	True	False	3	False
EB106-03-03-XG65	creatinine	1	0	False				11.660530416666667	creatinine	creatinine	CHEBI:16737	False	False	True	2	False
EB106-03-03-XG65	cytidine	1	0	False				12.942407361111112	cytidine	cytidine	CHEBI:17562	True	True	True	4	False
EB106-03-03-XG65	cytosine	1	0	False				12.297197916666669	cytosine	cytosine	CHEBI:16040	True	False	True	3	False
EB106-03-03-XG65	d+galactosaminehydrochloride	1	0	False				13.025224027777776	d+galactosaminehydrochloride	D-(+)-Galactosamine hydrochloride	CHEBI:181432	False	False	False	1	False
EB106-03-03-XG65	d+melezitose	1	0	False				14.142094999999998	d+melezitose	D(+)-Melezitose	CHEBI:183824	False	False	False	1	False
EB106-03-03-XG65	dalanine	1	0	False				12.649698055555556	dalanine	D-alanine	CHEBI:15570	True	False	False	2	False
EB106-03-03-XG65	dalphaaminobutyricacid	1	0	False				12.764180694444445	dalphaaminobutyricacid	D-alpha-aminobutyric acid	CHEBI:28797	False	False	False	1	False
EB106-03-03-XG65	darabinose	1	0	False				12.5408425	darabinose	D-arabinose	CHEBI:17108	True	False	False	2	False
EB106-03-03-XG65	dasparticacid	2	0	False				12.671656041666669	dasparticacid	D-aspartic acid	CHEBI:17364	False	False	False	1	False
EB106-03-03-XG65	dfructose	1	1	True	0.00190697980108303	0.029004323538211998	9.575014127990428	14.723685555555555	dfructose	D-fructose	CHEBI:15824	True	False	False	2	False
EB106-03-03-XG65	dfructose6phosphate2	1	0	False				12.961694444444444	dfructose6phosphate2	D-fructose 6-phosphate(2-)	CHEBI:57579	False	False	False	1	False
EB106-03-03-XG65	dgalactopyranose	1	0	False				14.289949305555556	dgalactopyranose	D-galactopyranose	CHEBI:4139	False	False	False	1	False
EB106-03-03-XG65	dgalacturonicacid	1	0	False				12.903395694444443	dgalacturonicacid	D-galacturonic acid	CHEBI:18024	False	False	False	1	False
EB106-03-03-XG65	dglucitol	1	0	False				14.329877638888888	dglucitol	D-glucitol	CHEBI:17924	False	False	False	1	False
EB106-03-03-XG65	dglucono15lactone	1	1	True	0.0031150088903339665	0.029918692964263034	7.761284494673329	14.969002083333333	dglucono15lactone	D-glucono-1,5-lactone	CHEBI:16217	False	False	False	1	False
EB106-03-03-XG65	dglucose6phosphate	1	0	False				11.939480277777777	dglucose6phosphate	D-glucose 6-phosphate	CHEBI:14314	True	False	False	2	False
EB106-03-03-XG65	dglucuronicacid	1	0	False				13.883257083333334	dglucuronicacid	D-glucuronic acid	CHEBI:4178	True	False	False	2	False
EB106-03-03-XG65	dglutamicacid	1	0	False				11.770041805555557	dglutamicacid	D-glutamic acid	CHEBI:15966	False	False	False	1	False
EB106-03-03-XG65	difumarate	1	0	False				13.461130416666665	difumarate	disodium fumarate	CHEBI:115156	False	False	False	1	False
EB106-03-03-XG65	diltyrosinate	1	0	True	0.028061475656371834	2.376150651969951	90.51527777777777	15.375778888888894	diltyrosinate	disodium L-tyrosinate	CHEBI:53696	False	False	False	1	False
EB106-03-03-XG65	dleucine	1	0	False				12.069760416666668	dleucine	D-leucine	CHEBI:28225	False	False	False	1	False
EB106-03-03-XG65	dmannitol	1	0	False				14.21570361111111	dmannitol	D-mannitol	CHEBI:16899	True	False	False	2	False
