target	R2	RMSE	MAE	model	n_genera	pct_R2_positive
mu_max	-0.10520222731186135	0.013561702758976574	0.010706134082521322	bulk_features	5	0.0
lag	0.0020863390776968416	7.847007944159474	5.516811634383966	bulk_features	5	0.0
max_A	-0.2870367372218168	0.1306278229008545	0.10530495477117449	bulk_features	5	0.0
