orgId	n_mapped_loci	n_matched_conditions	n_sig_matched	concordance_matched	random_baseline	enrichment_fold
Cup4G11	64	30	10	0.15625	0.09085213032581453	1.7198275862068966
Pedo557	6	31	1	0.16666666666666666	0.13814153289622427	1.2064920894708129
acidovorax_3H11	47	33	12	0.2553191489361702	0.16518424396442186	1.5456628477905072
pseudo13_GW456_L13	39	27	7	0.1794871794871795	0.187816091954023	0.9556538932303926
pseudo1_N1B4	59	40	7	0.11864406779661017	0.14321955719557194	0.8284068888343024
pseudo3_N2E3	61	62	14	0.22950819672131148	0.2311058074781225	0.9930871025083943
pseudo6_N2E2	59	49	12	0.2033898305084746	0.1878044028833041	1.08298755186722
