condition	n	n_pos	growth_rate	AUC	accuracy	condition_class
homoserine	36	1	0.027777777777777776	1.0	0.5	amino_acid
butanone	36	1	0.027777777777777776	1.0	0.6111111111111112	other
sorbic-acid	36	13	0.3611111111111111	0.9765886287625418	0.9444444444444444	other
keto-valeric-acid	36	10	0.2777777777777778	0.9692307692307693	0.8611111111111112	other
tryptophan	171	16	0.0935672514619883	0.9334677419354838	0.8888888888888888	amino_acid
phenylalanine	207	36	0.17391304347826086	0.9317738791423003	0.8647342995169082	amino_acid
valine	207	33	0.15942028985507245	0.9269418321142459	0.8454106280193237	amino_acid
d-amino-valeric-acid	36	14	0.3888888888888889	0.9188311688311688	0.9166666666666666	other
butyric-acid	36	16	0.4444444444444444	0.915625	0.9166666666666666	other
lasparagine	68	57	0.8382352941176471	0.9154704944178628	0.7205882352941176	amino_acid
lglutamine	107	84	0.7850467289719626	0.9109730848861284	0.616822429906542	amino_acid
mannose	492	363	0.7378048780487805	0.9038375296303415	0.8556910569105691	carbon
llysine	107	30	0.2803738317757009	0.8982683982683983	0.7663551401869159	amino_acid
galactose	495	374	0.7555555555555555	0.8948711716091395	0.8505050505050505	carbon
lalanine	107	79	0.7383177570093458	0.8905967450271247	0.6448598130841121	amino_acid
m-inositol	493	241	0.48884381338742394	0.8868800632286109	0.7991886409736308	carbon
mannitol	486	296	0.6090534979423868	0.8808677098150783	0.823045267489712	carbon
3-hydroxy-2-butanone	36	4	0.1111111111111111	0.875	0.6944444444444444	other
larginine	107	42	0.3925233644859813	0.8743589743589744	0.7663551401869159	amino_acid
betaalanine	62	24	0.3870967741935484	0.8739035087719298	0.7903225806451613	amino_acid
succinicacid	106	89	0.839622641509434	0.8730998017184403	0.8867924528301887	carbon
pyruvicacid	68	58	0.8529411764705882	0.8724137931034484	0.4411764705882353	other
cytidine	62	26	0.41935483870967744	0.8653846153846154	0.7741935483870968	nucleoside
4hydroxylproline	62	25	0.4032258064516129	0.8572972972972973	0.7419354838709677	amino_acid
proline	202	107	0.5297029702970297	0.8553861288735858	0.6336633663366337	amino_acid
myoinositol	106	54	0.5094339622641509	0.8547008547008548	0.8018867924528302	carbon
arginine	464	229	0.49353448275862066	0.851008083248165	0.771551724137931	amino_acid
nndimethylglycine	62	18	0.2903225806451613	0.8497474747474747	0.7580645161290323	amino_acid
arabinose	206	29	0.1407766990291262	0.8468731735827002	0.5388349514563107	carbon
glycerol	546	278	0.5091575091575091	0.846263287877161	0.7948717948717948	carbon
glutamate	165	128	0.7757575757575758	0.8458614864864864	0.37575757575757573	amino_acid
5oxolproline	62	28	0.45161290322580644	0.8445378151260504	0.7580645161290323	amino_acid
lglutamicacid	107	87	0.8130841121495327	0.843103448275862	0.411214953271028	other
leucine	205	55	0.2682926829268293	0.843030303030303	0.8	amino_acid
lasparagineresidue	62	42	0.6774193548387096	0.8392857142857143	0.5967741935483871	amino_acid
dalanine	62	40	0.6451612903225806	0.8284090909090909	0.6290322580645161	amino_acid
2hydroxypropanoicacid	114	93	0.8157894736842105	0.8269329237071172	0.38596491228070173	other
threonine	200	36	0.18	0.8268970189701896	0.775	amino_acid
histidine	592	314	0.5304054054054054	0.82675388351739	0.7246621621621622	amino_acid
lasparticacid	107	83	0.7757009345794392	0.825301204819277	0.4485981308411215	other
larabinose	61	40	0.6557377049180327	0.8226190476190477	0.7213114754098361	carbon
glycinebetaine	62	20	0.3225806451612903	0.8214285714285714	0.7580645161290323	amino_acid
lphenylalanine	107	52	0.48598130841121495	0.8213286713286713	0.7476635514018691	amino_acid
sarcosine	62	17	0.27419354838709675	0.8209150326797385	0.7741935483870968	other
shikimicacid	61	18	0.29508196721311475	0.8178294573643412	0.7704918032786885	other
ribothymidine	62	19	0.3064516129032258	0.8139534883720929	0.8225806451612904	nucleoside
lisoleucine	107	48	0.4485981308411215	0.813912429378531	0.7289719626168224	amino_acid
lvalineresidue	107	37	0.34579439252336447	0.8123552123552125	0.719626168224299	amino_acid
alaninamide	36	14	0.3888888888888889	0.8116883116883118	0.8055555555555556	other
uridine	98	47	0.47959183673469385	0.8097622027534419	0.6938775510204082	nucleoside
erythromycina	82	55	0.6707317073170732	0.8090909090909091	0.7439024390243902	antibiotic
tyrosine	168	51	0.30357142857142855	0.8079436902966315	0.7678571428571429	amino_acid
isoleucine	205	64	0.3121951219512195	0.8059618794326241	0.7463414634146341	amino_acid
dglucono15lactone	61	36	0.5901639344262295	0.8055555555555555	0.6065573770491803	other
trehalose	493	302	0.6125760649087221	0.8045404112201382	0.7606490872210954	carbon
ornithine	205	56	0.2731707317073171	0.8023130393096836	0.7853658536585366	amino_acid
