strain	mol_norm	n_curves	n_fit_ok	any_growth	median_mu	median_A	median_lag	median_auc	normalized	enigma_name	enigma_chebi	in_fb	in_csp	in_wom	n_datasets	is_fb_anchor
FW300-N1B4	lasparagine	2	2	True	0.04789078744116212	0.29128177294252194	6.877806049734227	25.071188680555558	lasparagine	L-asparagine	CHEBI:17196	True	False	False	2	True
FW300-N1B4	lasparticacid	3	2	True	0.06262076940324966	0.31519812454921975	7.251582297261414	26.7742475	lasparticacid	L-aspartic acid	CHEBI:17053	True	False	False	2	True
FW300-N1B4	lcitrulline	3	2	True	0.06513092184854928	0.3417554167639592	12.217820138619016	27.29837722222222	lcitrulline	L-citrulline	CHEBI:16349	True	False	False	2	True
FW300-N1B4	lglutamine	3	2	True	0.06064931760583145	0.44635392222720294	7.198434474096714	34.98112736111111	lglutamine	L-glutamine	CHEBI:18050	True	False	False	2	True
FW300-N1B4	lisoleucine	3	3	True	0.03607991734748398	0.5856274172635112	15.355880449890988	34.87237875	lisoleucine	L-isoleucine	CHEBI:17191	True	False	False	2	True
FW300-N1B4	llactate	1	1	True	0.08895390257518762	0.3042360974375592	9.021958640271501	25.18071638888889	llactate	sodium L-lactate	CHEBI:232798	True	False	False	2	True
FW300-N1B4	lleucine	3	3	True	0.03367848512284507	0.5608413679485004	13.076851897947753	34.487753194444444	lleucine	L-leucine	CHEBI:15603	True	False	False	2	True
FW300-N1B4	llysine	3	3	True	0.00802124372275844	0.6406732269092321	2.325107530053439e-12	23.60062638888889	llysine	L-lysine	CHEBI:18019	True	False	False	2	True
FW300-N1B4	lmethionine	3	0	True	0.004200021731977501	0.061772230637356595	7.180429628072428	10.449125555555556	lmethionine	L-methionine	CHEBI:16643	True	False	False	2	True
FW300-N1B4	lornithine	1	1	True	0.024988380915623054	0.37685134390922714	21.712098076547615	22.641630833333334	lornithine	L-ornithine	CHEBI:15729	True	False	False	2	True
FW300-N1B4	lphenylalanine	3	3	True	0.014207069304529443	0.3870782312294902	12.960715981954744	24.301876666666665	lphenylalanine	L-phenylalanine	CHEBI:17295	True	False	False	2	True
FW300-N1B4	lproline	3	3	True	0.013760499966260591	0.5642686660501858	15.434235933129685	23.94724986111111	lproline	L-proline	CHEBI:17203	True	False	False	2	True
FW300-N1B4	lserine	3	1	True	0.02344455952102592	0.35819047641749835	20.0378150392484	20.43587597222222	lserine	L-serine	CHEBI:17115	True	False	False	2	True
FW300-N1B4	lsorbose	1	0	False				8.279175833333333	lsorbose	L-sorbose	CHEBI:17266	True	False	False	2	True
FW300-N1B4	lthreonine	3	2	True	0.004763053770436923	0.40832430232480027	0.7957029255521441	14.842250694444445	lthreonine	L-threonine	CHEBI:16857	True	False	False	2	True
FW300-N1B4	ltryptophan	3	2	True	0.0033828538788004386	0.1107770366613103	2.5811367174492e-16	11.53512513888889	ltryptophan	L-tryptophan	CHEBI:16828	True	False	False	2	True
FW300-N1B4	ltyrosine	2	2	True	0.017487518021225546	0.641913779440979	6.783659118614994	34.34650138888889	ltyrosine	L-tyrosine	CHEBI:17895	True	False	False	2	True
FW300-N1B4	maltitol	1	0	False				8.072878333333334	maltitol	maltitol	CHEBI:68428	True	True	False	3	True
FW300-N1B4	manganeseiichloridetetra	2	2	True	0.04679655572160471	0.46386549813298145	21.34921770373151	18.782187500000003	manganeseiichloridetetra	manganese(II) chloride tetrahydrate	CHEBI:86368	True	False	False	2	True
FW300-N1B4	melibiose	1	0	False				7.913833333333334	melibiose	melibiose	CHEBI:28053	True	True	False	3	True
