	Pseudomonas	Acidovorax	Rhodanobacter	Pedobacter	Cupriavidus	Sphingobium	Brevundimonas	Serratia	Pantoea	Dyella	Caulobacter	Janthinobacterium	Comamonas	Variovorax	Burkholderia	Ralstonia	Sphingomonas	Methylobacterium
Pseudomonas	1.0	0.2956979738677687	0.5107020667018998	0.4498137280759594	0.28440542169185984	0.46615083967525145	0.46432734543264964	0.16726024497759126	0.10478516225822176	0.10616399486068927	0.5473156093215173	0.11395747375871992	0.15573303695266788	0.314390217272628	0.5391677149245662	0.11466816862511753	0.5447734151484509	0.3778867706437782
Acidovorax	0.2956979738677687	1.0	0.2978062738875308	0.2990900512998492	0.21954015627001408	0.3002596692633593	0.31747699227650694	0.16374557722373076	0.12266562916851934	0.09174220457132412	0.29946832709766347	0.12634735319949256	0.2758999423377907	0.3869084628670121	0.26112738225781823	0.14721415709621002	0.29297734939759035	0.24254927984548566
Rhodanobacter	0.5107020667018998	0.2978062738875308	1.0	0.4909568249737662	0.34211843133687053	0.4839196933469961	0.5354052906084621	0.12632590079502953	0.08074450027302858	0.1636369214048435	0.6972367708145205	0.10843030784188025	0.14128765751481265	0.35739590764641027	0.6214733326352108	0.11064201121961355	0.6281076282324709	0.39434486710549327
Pedobacter	0.4498137280759594	0.2990900512998492	0.4909568249737662	1.0	0.2966149854177389	0.43850137638221437	0.4733645983645984	0.16295729041672447	0.10782401108914957	0.1351540964064867	0.467467460701044	0.13450006041373871	0.13755960896518837	0.3684835987736387	0.3995450281036472	0.10347136289999581	0.4930635436529687	0.36054973212205915
Cupriavidus	0.28440542169185984	0.21954015627001408	0.34211843133687053	0.2966149854177389	1.0	0.3204181759823926	0.31333447074020815	0.10185603998804038	0.08993901093566581	0.18928631790565484	0.30999979586698695	0.11025407569016166	0.1264577983766466	0.25558070221001994	0.2674985772385936	0.14673337904994116	0.3253978222811879	0.2901325713314496
Sphingobium	0.46615083967525145	0.3002596692633593	0.4839196933469961	0.43850137638221437	0.3204181759823926	1.0	0.48430332758849265	0.1511191679765158	0.09552729474868069	0.12720197332852767	0.49843353821237507	0.11590236559875476	0.15327080020610445	0.32028119335717437	0.438601750974368	0.11456424297290733	0.5260003851629201	0.39329385006868284
Brevundimonas	0.46432734543264964	0.31747699227650694	0.5354052906084621	0.4733645983645984	0.31333447074020815	0.48430332758849265	1.0	0.14118645910448688	0.09548615861099104	0.1264609042481998	0.5994991097593926	0.12173842006372028	0.1647947265687498	0.3570898436552557	0.473114002375625	0.1204581942625375	0.5592805132740033	0.41375756396192365
Serratia	0.16726024497759126	0.16374557722373076	0.12632590079502953	0.16295729041672447	0.10185603998804038	0.1511191679765158	0.14118645910448688	1.0	0.16782142521240243	0.07775204845030281	0.13309730932632005	0.10731135329010898	0.14766213991260105	0.16093712322160597	0.1257706160509104	0.08642440691596301	0.13959969997236588	0.14132347661285102
Pantoea	0.10478516225822176	0.12266562916851934	0.08074450027302858	0.10782401108914957	0.08993901093566581	0.09552729474868069	0.09548615861099104	0.16782142521240243	1.0	0.0812020996494994	0.0779176010020854	0.08208511328610826	0.10898407014644447	0.12295673480347732	0.07149041640041714	0.09112776999752863	0.09012199282012963	0.1090633920190042
Dyella	0.10616399486068927	0.09174220457132412	0.1636369214048435	0.1351540964064867	0.18928631790565484	0.12720197332852767	0.1264609042481998	0.07775204845030281	0.0812020996494994	1.0	0.12306234929383396	0.06921589819311037	0.0632185386178339	0.12320541514274796	0.10318283985903377	0.10926796702658771	0.1270962940191407	0.1447113678666808
Caulobacter	0.5473156093215173	0.29946832709766347	0.6972367708145205	0.467467460701044	0.30999979586698695	0.49843353821237507	0.5994991097593926	0.13309730932632005	0.0779176010020854	0.12306234929383396	1.0	0.10417274684374431	0.14138048863830513	0.3460214680379521	0.7640945198701602	0.1116914477968309	0.6997918517496962	0.42527327862302944
Janthinobacterium	0.11395747375871992	0.12634735319949256	0.10843030784188025	0.13450006041373871	0.11025407569016166	0.11590236559875476	0.12173842006372028	0.10731135329010898	0.08208511328610826	0.06921589819311037	0.10417274684374431	1.0	0.09981866486737233	0.1538219929908087	0.09133711811001763	0.08165564903846154	0.11121242330666796	0.10784931100903837
Comamonas	0.15573303695266788	0.2758999423377907	0.14128765751481265	0.13755960896518837	0.1264577983766466	0.15327080020610445	0.1647947265687498	0.14766213991260105	0.10898407014644447	0.0632185386178339	0.14138048863830513	0.09981866486737233	1.0	0.20359418913034874	0.12586649639798453	0.1229883222940441	0.13421809649299826	0.126841042023913
Variovorax	0.314390217272628	0.3869084628670121	0.35739590764641027	0.3684835987736387	0.25558070221001994	0.32028119335717437	0.3570898436552557	0.16093712322160597	0.12295673480347732	0.12320541514274796	0.3460214680379521	0.1538219929908087	0.20359418913034874	1.0	0.2961925516705301	0.14153831698130936	0.34736332662227043	0.285010402395088
Burkholderia	0.5391677149245662	0.26112738225781823	0.6214733326352108	0.3995450281036472	0.2674985772385936	0.438601750974368	0.473114002375625	0.1257706160509104	0.07149041640041714	0.10318283985903377	0.7640945198701602	0.09133711811001763	0.12586649639798453	0.2961925516705301	1.0	0.10852962813875047	0.6394228541681998	0.390197600700093
Ralstonia	0.11466816862511753	0.14721415709621002	0.11064201121961355	0.10347136289999581	0.14673337904994116	0.11456424297290733	0.1204581942625375	0.08642440691596301	0.09112776999752863	0.10926796702658771	0.1116914477968309	0.08165564903846154	0.1229883222940441	0.14153831698130936	0.10852962813875047	1.0	0.11702559934985778	0.13314125962911869
Sphingomonas	0.5447734151484509	0.29297734939759035	0.6281076282324709	0.4930635436529687	0.3253978222811879	0.5260003851629201	0.5592805132740033	0.13959969997236588	0.09012199282012963	0.1270962940191407	0.6997918517496962	0.11121242330666796	0.13421809649299826	0.34736332662227043	0.6394228541681998	0.11702559934985778	1.0	0.4599302873576198
Methylobacterium	0.3778867706437782	0.24254927984548566	0.39434486710549327	0.36054973212205915	0.2901325713314496	0.39329385006868284	0.41375756396192365	0.14132347661285102	0.1090633920190042	0.1447113678666808	0.42527327862302944	0.10784931100903837	0.126841042023913	0.285010402395088	0.390197600700093	0.13314125962911869	0.4599302873576198	1.0
