strain	sample	location	lat	lon	biome	feature
GW821-FHT05F01	GW822E-2019-04-01-F02-R12	GW-822E	35.94115627	-84.33610891	temperate woodland biome	water well
GW822-FHT05B01	GW822E-2019-04-01-UF-R10	GW-822E	35.94115627	-84.33610891	temperate woodland biome	water well
GW822-FHT03E04	GW822E-2019-03-18-UF-R10	GW-822E	35.94115627	-84.33610891	temperate woodland biome	water well
MLSD5-FHT05A06	MLSD5-2019-03-19-UF-R10	MLSD5-16.0	35.97565233	-84.2746866	temperate woodland biome	water well
GW822-FHT02F02	GW822E-2019-04-01-UF-R10	GW-822E	35.94115627	-84.33610891	temperate woodland biome	water well
GW822-FHT02A07	GW822E-2019-04-01-UF-R10	GW-822E	35.94115627	-84.33610891	temperate woodland biome	water well
GW821-FHT01D01	GW821E-2019-04-01-F02-R12	GW-821E	35.94120175	-84.33623086	temperate woodland biome	water well
GW821-FHT05F04	GW822E-2019-04-01-F02-R12	GW-822E	35.94115627	-84.33610891	temperate woodland biome	water well
FW305-C-10-2	FW305-033116	FW-305	35.94091048	-84.33614125	temperate woodland biome	water well
FW305-C-30-S16	FW305-033116	FW-305	35.94091048	-84.33614125	temperate woodland biome	water well
FW305-C-49	FW305-033116	FW-305	35.94091048	-84.33614125	temperate woodland biome	water well
FW305-C-101	FW305-033116	FW-305	35.94091048	-84.33614125	temperate woodland biome	water well
FW305-C-134A	FW305-033116	FW-305	35.94091048	-84.33614125	temperate woodland biome	water well
GW823-FHT02F05	GW823D-2019-04-01-UF-R10	GW-823D	35.94107943	-84.33627461	temperate woodland biome	water well
GW821-FHT09A04	GW821E-2019-05-13-UF-R10	GW-821E	35.94120175	-84.33623086	temperate woodland biome	water well
GW821-FHT09A07	GW821E-2019-05-13-UF-R10	GW-821E	35.94120175	-84.33623086	temperate woodland biome	water well
GW821-FHT09A12	GW821E-2019-05-13-UF-R10	GW-821E	35.94120175	-84.33623086	temperate woodland biome	water well
GW821-FHT11D02	GW821E-2019-05-13-UF-R10	GW-821E	35.94120175	-84.33623086	temperate woodland biome	water well
GW821-FHT09G11	GW821E-2019-05-13-UF-R10	GW-821E	35.94120175	-84.33623086	temperate woodland biome	water well
GW821-FHT10B07	GW821E-2019-05-13-UF-R10	GW-821E	35.94120175	-84.33623086	temperate woodland biome	water well
SSO-M6-C2-NECRO-RL66	SSO-M6-C2-00	SSO-M6	35.9771555556	-84.2732722222	temperate woodland biome	borehole
