genus	AUC_new	model_new	AUC_old	model_old	delta	n_test
Cellulomonas	0.8495504495504497	with_interaction	0.8220779220779222	without_interaction	0.027472527472527486	142
Curtobacterium	0.9546818727490997	with_interaction	0.8718487394957983	without_interaction	0.08283313325330133	132
Nocardioides	0.6771526980482203	with_interaction	0.5925373134328358	without_interaction	0.08461538461538454	132
Methylophilus	0.8525132275132276	with_interaction	0.8452380952380952	without_interaction	0.007275132275132323	132
Aureimonas_A	0.8387212643678161	with_interaction	0.846743295019157	without_interaction	-0.008022030651340883	130
Acidovorax_A	0.5966577540106952	with_interaction	0.6616310160427807	without_interaction	-0.06497326203208553	129
Agreia	0.8772401433691756	with_interaction	0.79778972520908	without_interaction	0.07945041816009557	129
Actinobacillus	0.6621093749999999	with_interaction	0.6640624999999999	without_interaction	-0.001953125	128
Pseudorhodoferax	0.6885964912280702	with_interaction	0.6110681114551083	without_interaction	0.0775283797729619	125
Rhodococcus_C	0.7382487241471931	with_interaction	0.6428955143701317	without_interaction	0.09535320977706141	124
Klebsiella	0.7598697598697599	with_interaction	0.746031746031746	without_interaction	0.013838013838013863	118
Vibrio	0.5776397515527951	with_interaction	0.7326234841762792	without_interaction	-0.15498373262348408	118
Listeria	0.5792606516290727	with_interaction	0.5798872180451128	without_interaction	-0.0006265664160400863	118
Rhodococcus	0.6144957983193277	with_interaction	0.602641056422569	without_interaction	0.011854741896758614	117
Burkholderia	0.6215034965034966	with_interaction	0.5477272727272726	without_interaction	0.07377622377622395	109
Novosphingobium	0.6749999999999999	with_interaction	0.5900793650793651	without_interaction	0.08492063492063484	102
Castellaniella	0.4993827160493828	with_interaction	0.574485596707819	without_interaction	-0.07510288065843618	99
Erwinia	0.734065460809647	with_interaction	0.7138242894056848	without_interaction	0.0202411714039622	97
Duganella	0.6695348837209303	with_interaction	0.5504651162790698	without_interaction	0.11906976744186049	93
Staphylococcus	0.38507326007326	with_interaction	0.5663919413919414	without_interaction	-0.1813186813186814	92
Dyella	0.5579710144927535	with_interaction	0.38514492753623186	without_interaction	0.17282608695652169	89
Klenkia	0.6639854696419304	with_interaction	0.5674623767514271	without_interaction	0.09652309289050331	88
Devosia	0.9043209876543211	with_interaction	0.7799382716049383	without_interaction	0.12438271604938278	87
Rhodococcus_B	0.7873263888888888	with_interaction	0.6145833333333333	without_interaction	0.17274305555555558	86
Leifsonia_A	0.9380000000000001	with_interaction	0.8526666666666667	without_interaction	0.08533333333333337	85
Campylobacter_D	0.4495798319327731	with_interaction	0.48786181139122314	without_interaction	-0.03828197945845002	80
Plantibacter	0.7784090909090909	with_interaction	0.6972853535353536	without_interaction	0.08112373737373735	80
Bradyrhizobium	0.5703846153846154	with_interaction	0.4461538461538461	without_interaction	0.12423076923076926	76
Pseudomonas_A	0.4907084785133566	with_interaction	0.4204413472706155	without_interaction	0.07026713124274109	62
Zoogloea	0.6088709677419355	with_interaction	0.4861751152073732	without_interaction	0.12269585253456228	59
Sinorhizobium	0.6672619047619047	with_interaction	0.6803571428571428	without_interaction	-0.013095238095238049	59
Ralstonia	0.6198717948717949	with_interaction	0.576923076923077	without_interaction	0.04294871794871791	59
Pseudomonas	0.6579861111111112	with_interaction	0.5920138888888888	without_interaction	0.06597222222222232	59
Bacteroides	0.7212885154061623	with_interaction	0.6624649859943977	without_interaction	0.05882352941176461	59
MA-N2	0.5657467532467532	with_interaction	0.5892857142857143	without_interaction	-0.023538961038961137	58
Corynebacterium	0.5870098039215687	with_interaction	0.5625	without_interaction	0.02450980392156865	58
Simplicispira	0.5977941176470588	with_interaction	0.5470588235294118	without_interaction	0.05073529411764699	54
Enterobacter	0.7915384615384615	with_interaction	0.73	without_interaction	0.06153846153846154	51
Sediminibacterium	0.8036585365853658	with_interaction	0.7634146341463415	without_interaction	0.040243902439024315	51
Azospira	0.7560728744939271	with_interaction	0.7530364372469636	without_interaction	0.0030364372469635637	51
Phreatobacter	0.7671517671517671	with_interaction	0.6476091476091477	without_interaction	0.11954261954261947	50
