orgId	locusId	sysName	geneName	desc	set11TCH513 Stem-Norland	set11TCH514 Stem-Norland	set11TCH515 Stem-Norland	set11TCH516 Stem-Norland	set11TCH518 Stem-Norland	set11TCH527 Stem-Atlantic	set11TCH529 Stem-Atlantic	set11TCH530 Stem-Atlantic	set11TCH531 Stem-Atlantic	set11TCH534 Stem-Atlantic	set15TCH690 M9+sucrose	set15TCH691 M9+sucrose	set15TCH692 M9+sucrose	set15TCH693 M9+starch	set15TCH694 M9+starch	set15TCH695 M9+starch	set15TCH696 M9+polygalacturonate	set15TCH697 M9+polygalacturonate	set15TCH698 M9+polygalacturonate	set9TCH417 LB	set9TCH418 LB	set9TCH419 LB	set9TCH420 LB	setATCH110 LB	setATCH111 LB	setATCH112 LB	setATCH128 M9+glycerol	setATCH129 M9+glycerol	setATCH130 M9+glycerol	setATCH145 PDB	setATCH146 PDB	setATCH147 PDB	setATCH148 Atlantic	setATCH149 Atlantic	setATCH150 Atlantic	setATCH151 Atlantic	setATCH152 Atlantic	setATCH153 Atlantic	setATCH154 Norland	setATCH155 Norland	setATCH156 Norland	setATCH157 Norland	setATCH158 Norland	setATCH159 Norland	setATCH160 Upstate	setATCH161 Upstate	setATCH162 Upstate	setATCH163 Upstate	setATCH164 Upstate	setATCH165 Upstate	setATCH191 LB	setATCH192 LB	setATCH194 PDB	setATCH195 PDB	setATCH196 PDB	setATCH197 M9+glycerol	setATCH198 M9+glycerol	setATCH199 M9+glycerol
Dda3937	DDA3937_RS00005	DDA3937_RS00005		FMN-binding protein MioC	-0.863	0.438	-0.919	-1.498	-2.388	-0.572	-1.890	0.107	-0.325	-2.115	0.450	-0.035	1.304	-0.609	0.088	-0.528	-0.499	-0.019	1.564	-0.310	0.679	0.476	-1.328	-0.074	0.926	-1.191	-0.347	-1.003	-0.051	1.123	-2.104	0.697	-3.492	-1.429	0.935	-0.171	-1.819	-2.367	-1.909	-2.953	-2.906	-1.963	-2.535	-1.222	-1.380	-1.544	0.411	-1.434	0.109	-1.962	-1.794	-1.114	1.755	0.218	1.248	1.397	0.118	-1.389
Dda3937	DDA3937_RS00010	DDA3937_RS00010		transcriptional regulator AsnC	-0.580	-1.838	-0.890	0.820	-4.148	0.299	-0.916	-1.782	-1.230	-1.365	-12.591	-10.495	-11.980	-6.927	-6.147	-6.325	-4.041	-3.193	-3.760	-1.726	-1.365	-1.775	-1.798	-1.954	-1.287	-0.649	-7.734	-5.647	-9.490	-4.353	-3.206	-3.894	-3.573	-1.421	-0.972	-1.551	-2.440	-0.644	-0.530	-1.360	-0.643	-1.697	-1.468	0.521	-1.351	-0.988	0.424	-1.094	-1.001	-0.669	-0.095	-0.110	-3.268	-4.113	-2.700	-7.758	-2.479	-2.793
Dda3937	DDA3937_RS00015	DDA3937_RS00015		ATPase RavA stimulator ViaA	0.500	0.208	0.155	0.357	0.710	0.105	-1.304	0.953	-0.229	-1.276	-1.098	-1.583	-0.616	0.355	-1.180	-0.280	0.115	0.042	-0.811	-0.330	-1.114	-0.218	-1.005	-0.879	-0.156	-0.369	0.762	-0.249	0.940	15.935	15.496	16.330	0.464	-1.616	-0.773	0.992	0.905	1.632	0.534	0.360	-2.163	0.245	0.298	0.771	-0.932	0.371	1.039	2.153	0.857	-0.959	0.646	0.036	16.009	16.425	15.569	0.764	-0.904	-0.388
Dda3937	DDA3937_RS00020	DDA3937_RS00020		ATPase RavA	1.198	-0.085	1.052	0.133	-0.269	-0.866	-0.681	1.033	0.179	-0.231	-0.942	-1.453	-1.267	-0.720	-0.810	-0.904	-0.806	-0.884	-1.879	0.187	-0.281	0.285	-0.130	-0.590	-1.033	-0.976	0.386	0.326	0.906	17.758	15.981	17.967	2.163	-0.276	-0.699	-1.158	-1.275	0.366	0.510	0.309	0.639	0.389	1.635	-0.247	-0.249	0.594	0.062	0.184	0.285	1.198	0.025	0.495	15.848	19.006	17.263	-0.032	0.904	1.420
Dda3937	DDA3937_RS00025	DDA3937_RS00025		low affinity potassium transporter Kup	-0.288	0.205	-0.607	-0.003	-0.459	-0.591	0.131	0.601	-1.373	0.417	-1.392	-0.538	-1.275	-1.172	-1.606	-0.419	0.165	-0.171	-0.299	-1.259	-1.270	-1.999	-1.485	-2.722	-2.084	-1.965	-1.029	-1.744	-0.622	-19.545	-18.851	-18.277	-0.514	0.603	-1.015	0.519	0.499	-0.489	0.283	-1.004	-0.534	1.060	0.922	-0.971	0.462	0.065	0.279	0.091	0.062	0.974	-1.173	-0.274	-16.024	-18.613	-17.905	-1.570	0.417	-0.061
Dda3937	DDA3937_RS00030	DDA3937_RS00030		D-ribose pyranase	0.598	1.521	0.163	0.571	0.659	0.084	0.967	1.143	2.697	0.634	0.090	-1.267	-0.905	-1.303	0.005	-1.556	0.302	-0.404	-0.265	-0.422	-0.900	-0.348	0.215	-0.885	0.087	0.037	-0.388	0.044	-1.238	-2.424	-1.919	-0.857	-1.763	1.412	-0.724	0.589	0.591	-0.207	-1.819	0.182	0.957	0.764	-1.058	0.238	3.245	-0.013	-0.568	-0.125	0.877	1.066	-0.317	-0.702	0.106	-0.734	0.160	-0.758	0.300	-1.183
Dda3937	DDA3937_RS00035	DDA3937_RS00035		ribose ABC transporter ATP-binding protein RbsA	-2.442	-0.743	-1.179	-2.141	-2.139	-1.601	-3.000	-2.303	-1.451	0.066	0.456	-0.576	-1.579	-0.305	-0.500	0.669	-0.754	-0.514	-1.031	-0.514	-0.975	-0.490	-0.768	-1.158	-1.387	0.045	-1.596	-1.742	-1.236	0.215	-0.744	-0.733	1.440	-0.047	0.907	-0.265	-2.718	-0.572	-1.529	-1.161	-0.770	-0.632	-1.630	-0.215	-3.454	-1.253	-1.254	-1.041	-1.169	-1.927	-1.488	-0.769	-1.073	0.289	-1.551	-0.901	-0.510	-0.892
Dda3937	DDA3937_RS00040	DDA3937_RS00040		ribose ABC transporter permease	-2.898	-3.717	-2.064	-0.494	-2.180	1.668	-1.895	-1.664	-1.795	-1.042	-1.708	-1.245	-0.939	-0.354	0.201	0.271	-0.016	-0.604	-1.295	0.169	0.277	0.588	0.147	-1.243	-1.646	-1.344	-1.544	-1.626	-0.305	-0.185	-1.926	-1.549	-0.181	-1.150	0.867	-2.169	-1.913	-0.036	-0.704	-2.969	-2.811	-2.652	0.313	-3.250	-3.527	-1.488	-2.453	-2.924	-1.886	-1.909	-0.658	0.330	-0.123	-1.773	-2.314	-1.393	-2.869	-3.264
Dda3937	DDA3937_RS00045	DDA3937_RS00045		ribose ABC transporter substrate-binding protein RbsB	-0.309	-0.993	-1.515	-0.119	-0.820	-0.140	-1.258	-0.436	1.315	-1.611	0.942	1.276	0.812	0.503	0.350	0.376	0.322	0.645	1.235	-0.378	-0.771	-0.059	-0.214	1.240	1.366	1.058	0.609	0.930	0.774	0.065	-1.360	-0.995	-0.965	1.168	-0.714	0.149	-0.949	-1.249	0.284	0.178	0.441	0.111	0.375	0.243	0.462	0.343	-1.474	-1.325	-1.402	-0.121	-1.202	-0.434	0.105	0.908	-0.335	2.075	2.210	1.221
Dda3937	DDA3937_RS00050	DDA3937_RS00050		ribokinase	2.269	4.023	2.706	2.433	4.668	8.127	5.367	5.988	5.741	3.892	1.220	0.317	0.419	-3.431	-1.393	-2.396	0.349	0.482	-0.132	-0.934	0.685	-1.111	-0.519	6.786	6.959	5.839	8.988	9.466	9.111	-4.479	-3.147	-2.833	2.177	2.781	0.709	1.152	1.658	-3.240	3.075	2.989	5.448	3.237	3.492	3.155	8.920	0.818	-2.779	1.054	2.311	0.070	-3.899	-2.798	-1.661	-0.210	-2.257	10.206	7.498	8.320
