Stressor,LOGO_AUC,n_genera
Ampicillin,0.7538102166651335,3
UV,0.7355848608386238,29
Ethanol,0.7246263533010061,14
Acid,0.6887249778683425,33
Nitrogen limitation,0.6717954024186281,2
Nitric oxide,0.6658117694581562,55
Sucrose,0.6559195117075942,8
Bacitracin,0.6437976614208677,21
Erythromycin,0.6365856448574955,4
Chloramphenicol,0.6301323668965232,25
Spectinomycin,0.6288480187134516,23
Cold,0.6245293890581811,8
Rifampicin,0.6219798865413909,13
Trimethoprim,0.6198891413841574,4
Carbenicillin,0.6175564153718315,17
Co,0.6175410063184823,30
Al,0.6140921012823835,23
Polymyxin,0.6077244184159364,18
Cu,0.6076742648227346,28
Vancomycin,0.6063997662591224,18
NaCl,0.6062060467521586,8
Tetracycline,0.6047228403907924,23
Ceftazidime,0.6046934578261871,13
Gentamicin,0.5991475066390101,12
Ni,0.5984043994479926,30
Paraquat,0.5958115448255584,26
Zn,0.5842966928462342,21
Iron limitation,0.5810712945143522,3
Heat,0.5724005370441885,14
Mn,0.5653492260582644,2
Fe,0.5627389787373502,5
Phosphomycin,0.5508258414493087,14
Anaerobic,0.5470953610893284,3
Hg,0.5428272672233883,2
Linezolid,0.5357736098852319,2
Se,0.5331018453519888,2
Cd,0.5308935319491028,2
Bile salts,0.530630378561413,2
Cr,0.5277987215483693,3
Ramoplanin,0.5233426197599089,2
H2O2,0.5173700367849823,2
Ciprofloxacin,0.4826610969604091,3
Kanamycin,0.478438772978475,2
Streptomycin,0.469984386012534,2
