,Spearman_rho,Spearman_pval,RMSE,AUC_from_ranking,n_tested,n_binary_pos,pos_rate,n_orgs
Zn,0.17736133300333787,8.33412484134425e-195,0.9220439868512542,0.6941490779364867,142269.0,7300.0,0.05131124840970275,40.0
Cu,0.17313249568020872,7.451162003183768e-214,0.720528616305015,0.646482397898795,148953.0,8101.0,0.054386282921458445,41.0
Cd,0.2092544876193869,7.689320806609432e-30,0.6666583832696397,0.6069831010070054,6184.0,162.0,0.026196636481241913,2.0
Co,0.21503082958868758,0.0,0.7943912153956132,0.6679706767288154,150081.0,9229.0,0.06149346019815966,41.0
Ni,0.15314664673551578,1.5468390618431988e-169,0.7716996057047079,0.6608224964199964,152937.0,8811.0,0.057611957865003234,42.0
Cr,0.1416879466139248,1.6356593139649806e-53,0.49440353027788214,0.6953053499751382,35693.0,1054.0,0.029529599641386267,11.0
Hg,0.15352288480747522,1.4818698522397658e-40,0.6212623012908005,0.7794521408632467,29263.0,1031.0,0.035232204490311995,9.0
Mn,0.0030577534993309623,0.8734462094146818,0.42989490527010504,0.6021701969528057,14370.0,388.0,0.02700069589422408,4.0
Fe,0.14180107969883746,2.8731418675067998e-123,0.6229049341284112,0.6236670084206506,115488.0,4637.0,0.04015135771681906,32.0
Se,0.1607699977818923,2.4853876175930188e-40,0.6952582910041685,0.6773945741879317,19702.0,848.0,0.043041315602476905,7.0
Al,0.0986789318134428,1.0605046705195542e-69,0.8309528375015809,0.632566162273057,142561.0,6954.0,0.048779119113923165,39.0
