orgId	locusId	sysName	geneName	desc	set1IT006 KB	set1IT008 KB with Dimethyl Sulfoxide 0.42 vol%	set1IT012 KB with Acriflavine 1.25 ug/ml	set1IT014 KB with Ampicillin 0.775 ug/ml	set1IT016 KB with Berberine 15.6 ug/ml	set1IT018 KB with Carbenicillin 3.1 ug/ml	set1IT020 KB with Chloramphenicol 1.55 ug/ml	set1IT022 KB with Erythromycin 6.25 ug/ml	set1IT030 KB with Nalidixic 0.775 ug/ml	set1IT034 KB with Nitrofurantoin 31.25 ug/ml	set1IT038 KB with Phloretin 125 ug/ml	set1IT046 KB with Trimethoprim 15.6 ug/ml	set3IT010 KB with Acridine orange 3.125 ug/ml	set3IT020 KB with Mitomycin C 0.05 ug/ml	set4IT014 KB	set4IT016 KB with Dimethyl Sulfoxide 1.25 vol%	set4IT018 KB with Rifampicin 0.1 mg/ml	set4IT020 KB with capsaicin 0.25 mg/ml	set4IT022 KB with capsaicin 0.125 mg/ml	set4IT026 KB with Flavone 0.125 mg/ml	set4IT028 KB with Rotenone 0.25 mg/ml	set4IT030 KB with Rotenone 0.125 mg/ml	set4IT032 KB with Nitrofurantoin 0.0625 mg/ml
SyringaeB728a_mexBdelta	Psyr_3807	Psyr_3807		hypothetical protein	-1.121	-1.204	-0.646	-0.637	-0.651	-1.259	-0.722	-1.712	-0.742	-0.949	-1.465	-1.448	-0.765	-0.359	-0.689	-0.618	-0.715	-0.566	-0.214	-0.914	-0.618	-0.520	-0.611
SyringaeB728a_mexBdelta	Psyr_3808	Psyr_3808		hypothetical protein	-0.785	-0.220	-1.159	0.061	-0.576	-0.575	-0.966	-1.798	-1.206	-1.135	-1.265	-0.225	-1.180	-1.087	0.219	-0.344	0.134	-0.176	0.320	0.306	0.012	-0.012	-0.540
SyringaeB728a_mexBdelta	Psyr_3809	Psyr_3809		hypothetical protein	-0.820	-0.530	-0.492	-0.370	-0.292	-0.740	-0.254	-0.632	-0.450	-0.287	-0.647	-0.764	-0.890	-0.817	-0.405	-0.409	-0.317	-0.240	-0.266	-0.360	-0.405	-0.360	-0.534
SyringaeB728a_mexBdelta	Psyr_3812	Psyr_3812		CDS	-0.058	-0.131	-0.108	0.293	-0.096	0.076	-0.165	-0.023	-0.548	-0.161	0.001	-0.132	-0.144	-0.326	0.207	0.199	0.305	-0.264	-0.021	-0.230	-0.192	0.165	-0.101
SyringaeB728a_mexBdelta	Psyr_3813	Psyr_3813		type III effector HopAF1	-0.193	-0.179	-0.088	-0.026	-0.096	-0.256	-0.110	-0.423	-0.184	-0.185	-0.394	-0.093	-0.168	-0.197	0.044	0.019	-0.130	-0.025	0.043	-0.007	0.028	-0.058	-0.107
SyringaeB728a_mexBdelta	Psyr_3814	Psyr_3814		Acetyltransferase, GNAT family	0.126	-0.149	0.159	0.141	-0.385	0.860	0.008	0.140	0.116	0.043	0.219	0.080	-0.308	0.067	0.374	0.257	0.124	0.122	-0.052	-0.034	-0.100	0.346	0.028
SyringaeB728a_mexBdelta	Psyr_3815	Psyr_3815		hypothetical protein	0.031	0.169	-0.121	0.011	-0.023	-0.279	-0.086	-0.083	-0.019	-0.051	-0.020	-0.002	0.253	-0.016	0.035	0.042	-0.062	0.038	-0.004	0.030	-0.047	-0.012	0.049
SyringaeB728a_mexBdelta	Psyr_3816	Psyr_3816		hypothetical protein	-0.122	-0.186	-0.080	-0.066	-0.191	0.098	-0.003	-0.010	-0.099	-0.048	-0.197	-0.123	-0.057	-0.260	-0.133	-0.018	0.010	-0.093	-0.000	0.047	-0.027	-0.050	0.045
SyringaeB728a_mexBdelta	Psyr_3817	Psyr_3817		conserved hypothetical protein	-0.323	-0.167	-0.256	-0.195	-0.078	-0.513	-0.139	-0.450	-0.209	-0.375	-0.174	-0.189	-0.312	-0.488	-0.126	-0.226	-0.173	-0.127	-0.106	-0.016	-0.238	-0.203	-0.120
SyringaeB728a_mexBdelta	Psyr_3818	Psyr_3818		conserved hypothetical protein	-0.102	0.512	-0.062	0.096	0.248	0.237	0.305	0.051	-0.002	0.117	-0.194	-0.010	0.058	0.229	0.253	-0.313	-0.159	-0.241	0.339	0.243	0.533	0.616	-0.018
