orgId	locusId	sysName	geneName	desc	set1IT085 CPG	set1IT086 M63_quarter_strength	set1IT089 CPG	set1IT090 M63_quarter_strength	set2IT016 Plant=Tomato_MoneyMaker; PlantTreatment=exvivo_xylem_sap_from_healthy_plant; Sample=xylem_sap; Collection=25hr_after_growth_in_xylem_sap	set2IT019 Plant=Tomato_MoneyMaker; PlantTreatment=exvivo_xylem_sap_from_healthy_plant; Sample=xylem_sap; Collection=25hr_after_growth_in_xylem_sap	set2IT022 Plant=Tomato_MoneyMaker; PlantTreatment=exvivo_xylem_sap_from_healthy_plant; Sample=xylem_sap; Collection=25hr_after_growth_in_xylem_sap	set3IT043 M63_quarter_strength
RalstoniaPSI07	RPSI07_RS00205	RPSI07_RS00205		class D beta-lactamase	0.017	-0.845	0.803	-1.817	0.042	-0.294	-1.415	-0.130
RalstoniaPSI07	RPSI07_RS00215	RPSI07_RS00215		bifunctional salicylyl-CoA 5-hydroxylase/oxidoreductase	0.331	-0.378	-0.062	-0.534	-2.531	-2.569	0.021	-0.801
RalstoniaPSI07	RPSI07_RS00220	RPSI07_RS00220		NAD(P)-dependent oxidoreductase	-0.542	-0.084	-1.021	-1.521	0.273	0.100	-0.236	0.334
RalstoniaPSI07	RPSI07_RS00225	RPSI07_RS00225		MarR family transcriptional regulator	1.099	2.096	0.070	2.730	-1.304	0.061	1.053	-0.080
RalstoniaPSI07	RPSI07_RS00230	RPSI07_RS00230		enoyl-CoA hydratase	0.103	-0.629	-0.682	-2.199	0.665	0.192	0.817	2.923
RalstoniaPSI07	RPSI07_RS00235	RPSI07_RS00235		acyl-CoA dehydrogenase	0.971	-0.531	1.064	-0.306	-0.095	-0.109	0.686	1.986
RalstoniaPSI07	RPSI07_RS00240	RPSI07_RS00240		2-aminobenzoate-CoA ligase	-0.375	-0.876	0.653	0.950	-0.564	-0.331	-0.666	-1.035
RalstoniaPSI07	RPSI07_RS00245	RPSI07_RS00245		acyl-CoA thioesterase	-0.891	-3.367	-1.310	-2.642	0.313	1.593	-1.995	0.306
RalstoniaPSI07	RPSI07_RS00255	RPSI07_RS00255		hypothetical protein	-0.483	-1.698	-1.175	0.188	0.379	-1.630	-0.577	1.223
RalstoniaPSI07	RPSI07_RS00260	RPSI07_RS00260		hypothetical protein	-0.652	0.153	-0.061	-0.115	0.706	-0.246	-0.384	0.687
RalstoniaPSI07	RPSI07_RS00265	RPSI07_RS00265		MFS transporter	-0.049	0.903	-0.236	-1.104	-0.723	-0.918	0.618	-0.360
RalstoniaPSI07	RPSI07_RS00270	RPSI07_RS00270		putative addiction module antidote protein	-0.548	-0.024	-0.819	-0.630	-1.160	-1.687	0.547	-0.129
RalstoniaPSI07	RPSI07_RS00275	RPSI07_RS00275		type II toxin-antitoxin system RelE/ParE family toxin	1.804	-0.640	1.354	0.494	0.409	-0.580	-1.054	1.025
RalstoniaPSI07	RPSI07_RS00280	RPSI07_RS00280		MFS transporter	-0.866	-1.072	1.559	0.607	0.023	-1.320	-0.467	0.238
RalstoniaPSI07	RPSI07_RS00285	RPSI07_RS00285		GntR family transcriptional regulator	-2.944	-0.423	-0.087	-1.474	-0.886	-2.670	0.986	-0.575
RalstoniaPSI07	RPSI07_RS00290	RPSI07_RS00290		transcriptional regulator	1.086	-4.077	2.478	-2.194	0.603	-2.522	0.003	-1.069
RalstoniaPSI07	RPSI07_RS00295	RPSI07_RS00295		GNAT family N-acetyltransferase	1.512	0.204	0.975	1.549	-0.056	1.190	-0.228	0.957
RalstoniaPSI07	RPSI07_RS00300	RPSI07_RS00300		glyoxalase	3.598	-0.092	1.215	1.700	-0.833	-1.692	1.337	1.464
RalstoniaPSI07	RPSI07_RS00305	RPSI07_RS00305		LysR family transcriptional regulator	-1.276	-1.060	-0.079	0.080	0.818	-0.659	-1.174	1.002
RalstoniaPSI07	RPSI07_RS00310	RPSI07_RS00310		hypothetical protein	1.011	0.818	0.676	1.086	-1.501	-0.883	-1.515	-1.048
RalstoniaPSI07	RPSI07_RS00315	RPSI07_RS00315		TonB-dependent receptor	0.293	0.596	0.878	-0.134	0.133	-0.567	-0.800	0.754
RalstoniaPSI07	RPSI07_RS00320	RPSI07_RS00320		hypothetical protein	-0.414	-0.620	0.004	0.216	-0.493	-2.052	-0.110	-1.136
RalstoniaPSI07	RPSI07_RS00330	RPSI07_RS00330		molybdate ABC transporter substrate-binding protein	0.459	0.576	-0.816	0.546	-0.309	0.723	-2.324	1.594
RalstoniaPSI07	RPSI07_RS00335	RPSI07_RS00335		MFS transporter	-1.073	0.037	-1.161	-0.217	-0.992	-0.583	-0.714	0.483
RalstoniaPSI07	RPSI07_RS00340	RPSI07_RS00340		TetR/AcrR family transcriptional regulator	-1.231	0.447	0.687	0.831	-0.654	1.051	-1.125	-1.300
RalstoniaPSI07	RPSI07_RS00345	RPSI07_RS00345		MoxR family ATPase	0.449	-0.626	0.356	-0.813	-0.317	0.272	-0.519	0.620
RalstoniaPSI07	RPSI07_RS00350	RPSI07_RS00350		DUF58 domain-containing protein	-0.688	0.854	-0.981	-0.448	0.780	-0.765	-0.354	0.862
RalstoniaPSI07	RPSI07_RS00355	RPSI07_RS00355		DUF3488 domain-containing protein	0.396	0.058	-0.252	-0.172	-1.330	-0.286	1.659	0.758
RalstoniaPSI07	RPSI07_RS00360	RPSI07_RS00360		carbonic anhydrase	0.434	1.531	-0.381	-2.449	0.464	-0.612	-0.813	-0.835
RalstoniaPSI07	RPSI07_RS00365	RPSI07_RS00365		SulP family inorganic anion transporter	2.245	1.375	1.245	-1.236	0.724	1.820	-0.244	0.631
RalstoniaPSI07	RPSI07_RS00370	RPSI07_RS00370		membrane protein	-0.275	-1.093	-1.571	-0.544	-1.891	-1.180	0.244	-0.640
RalstoniaPSI07	RPSI07_RS00380	RPSI07_RS00380		hypothetical protein	0.016	-0.754	0.295	0.975	0.501	1.245	-1.018	1.530
RalstoniaPSI07	RPSI07_RS00385	RPSI07_RS00385		2-methylaconitate cis-trans isomerase PrpF	2.373	5.047	1.133	3.950	-1.802	0.157	-0.672	2.375
RalstoniaPSI07	RPSI07_RS00390	RPSI07_RS00390		Fe/S-dependent 2-methylisocitrate dehydratase AcnD	2.283	5.784	0.891	3.620	-0.817	0.498	0.040	4.852
RalstoniaPSI07	RPSI07_RS00395	RPSI07_RS00395		2-methylcitrate synthase	0.379	0.652	-0.743	1.739	0.071	-0.990	0.249	1.653
RalstoniaPSI07	RPSI07_RS00400	RPSI07_RS00400		methylisocitrate lyase	0.330	1.080	-0.934	1.019	0.379	0.329	-2.412	-0.432
RalstoniaPSI07	RPSI07_RS00405	RPSI07_RS00405		propionate catabolism operon regulatory protein PrpR	1.236	1.697	0.405	0.722	0.202	0.161	-0.179	0.991
RalstoniaPSI07	RPSI07_RS00410	RPSI07_RS00410		DUF2242 domain-containing protein	-1.206	-0.920	0.241	0.452	0.224	0.281	0.790	0.491
RalstoniaPSI07	RPSI07_RS00415	RPSI07_RS00415		DNA helicase II	-1.526	-0.715	-0.771	-1.163	0.359	-0.484	0.688	-0.247
RalstoniaPSI07	RPSI07_RS00420	RPSI07_RS00420		type VI secretion system tip protein VgrG	-1.493	0.248	-1.318	-0.727	-0.661	0.224	0.513	0.640
RalstoniaPSI07	RPSI07_RS00425	RPSI07_RS00425		hypothetical protein	0.917	-0.077	-0.189	0.382	0.296	0.793	0.901	0.590
RalstoniaPSI07	RPSI07_RS00430	RPSI07_RS00430		DUF1911 domain-containing protein	-0.565	-0.484	-1.934	-0.621	-1.736	-2.005	-0.650	-0.015
RalstoniaPSI07	RPSI07_RS00435	RPSI07_RS00435		GGDEF domain-containing protein	-1.253	-0.133	-1.830	-2.652	-1.708	-1.016	0.173	1.012
RalstoniaPSI07	RPSI07_RS00440	RPSI07_RS00440		EamA/RhaT family transporter	-2.556	0.053	-1.239	0.640	-0.331	0.114	-1.354	2.210
RalstoniaPSI07	RPSI07_RS00445	RPSI07_RS00445		FUSC family protein	0.146	-0.748	-0.704	-0.012	0.166	1.163	-3.004	0.068
RalstoniaPSI07	RPSI07_RS00450	RPSI07_RS00450		membrane protein	-0.471	0.461	-1.054	0.936	0.728	-0.840	-3.039	-0.916
RalstoniaPSI07	RPSI07_RS00455	RPSI07_RS00455		cytochrome C signal peptide protein	-1.724	2.021	1.471	0.656	0.505	-0.635	0.650	-0.007
RalstoniaPSI07	RPSI07_RS00460	RPSI07_RS00460		hypothetical protein	0.045	1.968	0.742	0.176	0.718	0.637	-0.112	1.612
RalstoniaPSI07	RPSI07_RS00465	RPSI07_RS00465		acyl-CoA thioesterase	-0.127	1.115	-1.009	0.548	0.104	-0.381	0.656	0.203
