orgId	locusId	sysName	geneName	desc	set10IT030 Disodium Glutarate (C)	set10IT031 Disodium Glutarate (C)	set8IT063 Sebacic (C)	set8IT064 Dodecandioic (C)	set8IT065 Protocatechuic Acid (C)	set9IT064 D-Glucose (C)	set9IT065 acetate (C)	set9IT066 propionate (C)	set9IT067 butyrate (C)	set9IT068 Valeric (C)	set9IT069 Hexanoic (C)	set9IT070 Heptanoic (C)	set9IT071 Octanoic (C)	set9IT073 Lauric (C)	set9IT074 succinate (C)	set9IT075 adipate (C)	set9IT076 Pimelic (C)	set9IT077 Suberic (C)	set9IT078 Azelaic (C)	set9IT079 Sebacic (C)	set9IT080 Dodecandioic (C)	set9IT081 Protocatechuic Acid (C)	set9IT082 D-Glucose (C)	set9IT083 acetate (C)	set9IT084 propionate (C)	set9IT085 butyrate (C)	set9IT086 Valeric (C)	set9IT087 Hexanoic (C)	set9IT088 Heptanoic (C)	set9IT089 Octanoic (C)	set9IT091 Lauric (C)	set9IT092 succinate (C)	set9IT093 adipate (C)	set9IT094 Pimelic (C)
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	0.865	0.594	0.690	0.915	0.623	1.157	0.158	0.705	1.748	0.380	0.446	0.961	-0.631	0.277	-0.537	0.191	-0.182	0.423	0.413	0.333	0.270	-0.609	0.221	-0.236	0.594	0.737	0.128	1.900	1.492	0.230	0.414	2.609	2.215	1.699
CL21	ABZR87_RS00010	ABZR87_RS00010		translocation/assembly module TamB domain-containing protein	2.622	2.085	1.788	2.915	1.107	5.025	3.611	4.900	4.986	1.953	2.567	4.279	6.060	4.383	4.796	3.157	2.639	4.155	3.076	4.416	4.903	3.530	3.270	3.090	6.634	3.580	2.163	4.165	3.111	7.564	3.893	5.305	2.636	3.278
CL21	ABZR87_RS00015	ABZR87_RS00015		autotransporter assembly complex family protein	2.088	2.830	2.759	3.480	2.408	3.728	2.698	5.315	4.489	3.001	2.267	3.535	8.407	4.672	3.856	2.591	2.660	3.552	3.432	4.642	3.254	2.601	3.674	3.372	4.976	2.632	2.467	1.989	4.043	8.282	3.651	4.493	2.845	1.838
CL21	ABZR87_RS00020	ABZR87_RS00020		DUF3460 family protein	1.566	1.128	-1.174	2.503	-0.029	0.475	0.138	0.638	-1.502	-0.546	-0.930	-2.488	-1.084	0.384	0.966	0.306	-0.279	0.405	-0.479	-0.759	0.699	-0.194	-0.254	-0.109	-0.818	-1.260	-0.529	-1.042	-1.603	-1.489	0.739	-0.074	-0.471	-0.164
CL21	ABZR87_RS00035	ABZR87_RS00035		ParA family protein	0.872	-0.677	1.114	-0.955	-0.743	-0.012	0.430	0.209	-0.529	0.029	1.406	1.176	1.642	1.062	0.029	0.726	-0.592	-0.409	-0.461	0.538	0.345	-1.491	1.045	1.724	1.006	1.186	0.801	-0.367	-0.140	-0.004	2.027	0.677	-0.991	0.670
CL21	ABZR87_RS00040	ABZR87_RS00040		cobyric acid synthase	1.130	0.170	0.046	0.475	-0.708	1.437	0.970	1.333	0.863	1.203	-0.348	-1.276	-1.852	0.998	1.824	-0.024	1.189	1.659	-1.209	1.666	-0.445	-0.841	-0.639	0.344	0.526	1.469	0.900	0.435	0.431	0.266	0.458	0.259	0.302	0.281
CL21	ABZR87_RS00045	ABZR87_RS00045		bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase	-0.084	-0.700	-0.414	1.326	0.597	0.733	0.518	0.335	0.686	1.487	2.067	1.083	0.118	1.073	0.140	0.992	0.867	0.727	-0.045	1.867	0.795	0.768	0.269	0.715	1.095	-0.110	-0.316	0.344	1.022	1.068	1.213	1.574	0.708	0.067
CL21	ABZR87_RS00050	ABZR87_RS00050		adenosylcobinamide-phosphate synthase CbiB	1.512	1.475	-2.026	1.373	-0.024	2.102	1.754	0.299	-0.343	1.597	2.221	0.465	-0.878	1.174	0.632	0.474	1.607	2.597	0.746	0.411	1.189	1.511	0.871	0.461	1.047	-0.572	-1.169	0.957	2.696	-0.119	0.666	0.755	-0.010	1.636
CL21	ABZR87_RS00055	ABZR87_RS00055		threonine-phosphate decarboxylase CobD	0.946	1.153	-0.840	0.068	0.671	2.048	1.294	1.321	0.476	0.132	2.076	0.017	-0.987	0.288	0.846	0.175	-1.427	-0.094	2.380	1.159	0.559	1.304	0.286	-0.142	0.380	1.059	1.501	0.046	0.856	0.183	0.871	-0.435	-0.004	0.540
CL21	ABZR87_RS00060	ABZR87_RS00060		cobalamin-binding protein	2.438	1.914	0.406	2.160	2.451	2.058	0.539	1.482	1.462	-0.596	-0.570	2.485	0.768	-0.276	1.685	1.450	0.129	0.796	0.416	3.607	2.297	2.077	0.911	1.233	1.561	1.070	0.002	-0.822	1.375	0.733	0.076	-0.044	1.004	0.952
CL21	ABZR87_RS00070	ABZR87_RS00070		adenosylcobinamide-GDP ribazoletransferase	1.098	0.260	1.377	1.335	0.499	1.282	1.055	1.646	1.354	1.441	0.656	1.058	0.585	0.122	-0.124	0.860	1.259	0.425	0.506	1.165	1.327	1.469	0.187	0.598	0.866	1.636	0.875	1.007	2.030	-0.356	0.865	2.124	1.886	1.546
CL21	ABZR87_RS00075	ABZR87_RS00075		nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	-0.328	0.377	0.945	0.248	0.921	-0.142	0.258	1.765	0.152	0.447	0.412	0.448	-0.749	-0.279	0.147	0.010	0.164	1.106	-1.006	-0.038	1.054	-0.988	1.526	0.255	0.018	0.044	-0.424	0.304	0.021	1.592	-0.638	0.770	-0.667	0.303
CL21	ABZR87_RS00080	ABZR87_RS00080		cob(I)yrinic acid a,c-diamide adenosyltransferase	0.539	0.210	-0.430	-0.395	1.650	1.078	0.736	0.993	0.469	0.281	0.097	0.149	0.260	1.127	0.936	0.237	0.373	1.453	-0.192	0.627	-0.361	-0.490	0.456	2.374	-0.001	-0.180	1.126	0.379	1.613	-0.049	1.150	0.578	0.374	1.009
