organism	reaction	marvin_dir	opam2_dir	changed	marvin_dg	opam2_dg
ecoli	rxn03060_c0	blocked	blocked	False	-21.667063497447998	-21.702903002929645
ecoli	rxn01985_c0	blocked	blocked	False	9.741746286954722	9.431712379154888
ecoli	rxn05336_c0	blocked	blocked	False		
ecoli	rxn00907_c0	blocked	blocked	False	4.354078744721477	3.6543398125931787
ecoli	rxn08711_c0	blocked	blocked	False	-49.3950389815476	-46.286442864664764
ecoli	rxn01544_c0	blocked	blocked	False	94.02051778542057	-108.98035321984202
ecoli	rxn00107_c0	blocked	blocked	False	-0.025270907143408294	-0.44425564451728405
ecoli	EX_cpd00138_e0	blocked	blocked	False		
ecoli	EX_cpd01155_e0	blocked	blocked	False		
ecoli	rxn10266_c0	blocked	blocked	False		
ecoli	rxn00914_c0	blocked	blocked	False	-14.468032053754655	-16.252166880742152
ecoli	rxn00903_c0	blocked	blocked	False	13.709648420879887	14.37239601954468
ecoli	rxn42976_c0	blocked	blocked	False	0.0	0.0
ecoli	rxn01485_c0	blocked	blocked	False	-2.9147853768483287	-2.3343691041868055
ecoli	rxn07949_c0	blocked	blocked	False		
ecoli	rxn10267_c0	blocked	blocked	False		
ecoli	rxn00171_c0	blocked	blocked	False	-12.560283091273305	-16.540569078957134
ecoli	rxn09240_c0	blocked	blocked	False	23.28123845406725	20.69123387050854
ecoli	rxn04791_c0	blocked	blocked	False	72.05068836475442	71.77377709574074
ecoli	rxn05619_c0	blocked	blocked	False	-25.459409689877987	-26.175043300205324
ecoli	rxn05164_c0	blocked	blocked	False	-25.459409689877987	-26.175043300205324
ecoli	rxn00527_c0	blocked	blocked	False	0.13718443806179437	0.1457144623650919
ecoli	rxn12844_c0	blocked	blocked	False		
ecoli	rxn00132_c0	blocked	blocked	False	-10.959194268708188	-10.58666750896316
ecoli	rxn00559_c0	blocked	blocked	False	-1.941341067058545	-1.9521786142551036
ecoli	rxn05333_c0	blocked	blocked	False		
ecoli	rxn07492_c0	blocked	blocked	False	-115.44176478794856	-114.3731049915225
ecoli	rxn00333_c0	blocked	blocked	False	-89.8461889731469	-90.45636958696348
ecoli	rxn01516_c0	blocked	blocked	False	-12.392152638997572	-15.676562272030992
ecoli	rxn11040_c0	blocked	blocked	False	15.45763763534245	15.462645828961286
ecoli	rxn02927_c0	blocked	blocked	False	-56.176889179543764	-56.20041152960448
ecoli	rxn02898_c0	blocked	blocked	False	178.82018917476762	181.84158689453187
ecoli	EX_cpd00027_e0	blocked	blocked	False		
ecoli	EX_cpd00151_e0	blocked	blocked	False		
ecoli	rxn08076_c0	blocked	blocked	False		
ecoli	rxn00669_c0	blocked	blocked	False	18.78578273172502	14.143835313714362
ecoli	EX_cpd01217_e0	blocked	blocked	False		
ecoli	rxn09231_c0	blocked	blocked	False		
ecoli	rxn05328_c0	blocked	blocked	False		
ecoli	rxn05691_c0	blocked	blocked	False	0.0	0.0
ecoli	rxn03039_c0	blocked	blocked	False	48.134285808929775	49.0287063996017
ecoli	EX_cpd01030_e0	blocked	blocked	False		
ecoli	rxn08807_c0	blocked	blocked	False		
ecoli	EX_cpd09878_e0	blocked	blocked	False		
ecoli	rxn03504_c0	blocked	blocked	False	3.7491532267859924	4.052197799326777
ecoli	rxn08971_c0	blocked	blocked	False	171.7692595433454	171.68863669951537
ecoli	rxn08655_c0	blocked	blocked	False	271.5277004576182	270.90460570570525
ecoli	rxn10235_c0	blocked	blocked	False		
ecoli	rxn00902_c0	blocked	blocked	False	36.543067170464155	32.58742783151774
ecoli	rxn09112_c0	blocked	blocked	False		
ecoli	rxn39964_c0	blocked	blocked	False	-79.01399170566347	-75.74482481878411
ecoli	rxn16794_c0	blocked	blocked	False	-40.55245853378649	-42.098209560605866
ecoli	EX_cpd00130_e0	blocked	blocked	False		
ecoli	rxn00927_c0	forward	forward	False	-10.719482490727302	-10.75924943558553
ecoli	rxn15121_c0	blocked	blocked	False	-46.05984261825262	-47.20179282280327
ecoli	rxn05044_c0	blocked	blocked	False	-117.96754638923584	-127.07685127759349
ecoli	rxn00740_c0	blocked	blocked	False	-77.19101977707112	-76.90538341596147
ecoli	rxn05235_c0	blocked	blocked	False		
ecoli	rxn00418_c0	blocked	blocked	False	36.32254679527409	78.28829922820034
ecoli	rxn00161_c0	blocked	blocked	False	12.021852855292508	11.985832590833965
ecoli	rxn09001_c0	blocked	blocked	False	-373.9590826379874	-373.94616788304097
ecoli	rxn03167_c0	blocked	blocked	False	-62.03910672895313	-61.06539043655903
ecoli	rxn01602_c0	blocked	blocked	False	21.361619668173375	23.427380334943564
ecoli	rxn15230_c0	blocked	blocked	False	23.972950551239947	23.972847071734023
ecoli	rxn07948_c0	blocked	blocked	False		
ecoli	rxn02989_c0	blocked	blocked	False	144.31397789597997	145.05739572506613
ecoli	EX_cpd01092_e0	blocked	blocked	False		
ecoli	rxn05298_c0	variable	variable	False	0.0	0.0
ecoli	rxn01507_c0	blocked	blocked	False	-10.956315025211893	-10.586803929612074
ecoli	rxn08128_c0	variable	variable	False	1.3951825621916214e-05	1.489353007855243e-05
ecoli	rxn09022_c0	blocked	blocked	False	-82.9755487597573	-79.73364729193564
ecoli	rxn05465_c0	blocked	blocked	False		
ecoli	EX_cpd00154_e0	blocked	blocked	False		
ecoli	rxn01816_c0	blocked	blocked	False	62.68612243458266	63.40739141165504
ecoli	rxn02504_c0	blocked	blocked	False	-6.802903752993771	-4.496091492507006
ecoli	rxn03892_c0	blocked	blocked	False	-85.91649273271685	-87.37082799570328
ecoli	EX_cpd00644_e0	blocked	blocked	False		
ecoli	rxn01219_c0	blocked	blocked	False	-1.5758556431056832	0.296685977439779
ecoli	rxn01962_c0	blocked	blocked	False	-31.109727071205896	-35.37724753703935
ecoli	rxn08199_c0	blocked	blocked	False		
ecoli	rxn10162_c0	blocked	blocked	False	0.0	0.0
ecoli	rxn01129_c0	blocked	blocked	False	-14.543031064966499	-15.735831890105828
ecoli	rxn08809_c0	blocked	blocked	False		
ecoli	rxn00552_c0	blocked	blocked	False	1.7346172630795138	1.426132623496386
ecoli	rxn08428_c0	blocked	blocked	False	0.0	0.0
ecoli	rxn01270_c0	blocked	blocked	False	-46.70253110569877	-46.586063008715996
ecoli	rxn07846_c0	blocked	blocked	False	17.435610527329857	13.601118877168062
ecoli	rxn10205_c0	blocked	blocked	False		
ecoli	rxn08294_c0	blocked	blocked	False		
ecoli	rxn00351_c0	blocked	blocked	False	-43.287877256337595	-42.578595241350456
ecoli	rxn08814_c0	blocked	blocked	False		
ecoli	rxn08300_c0	blocked	blocked	False		
ecoli	rxn10199_c0	blocked	blocked	False		
ecoli	rxn23336_c0	blocked	blocked	False		
ecoli	rxn07475_c0	blocked	blocked	False	-6.711841904932193	-6.9558790084087505
ecoli	rxn09234_c0	blocked	blocked	False		
ecoli	rxn00241_c0	blocked	blocked	False	-25.4136674084898	-25.43167880576425
ecoli	EX_cpd00450_e0	blocked	blocked	False		
ecoli	rxn42230_c0	blocked	blocked	False		
ecoli	rxn03393_c0	blocked	blocked	False	56.05407009020594	56.12596614243087
ecoli	rxn08528_c0	blocked	blocked	False	-226.13221124629328	-225.98787274918342
ecoli	rxn08355_c0	blocked	blocked	False	-425.67872006360096	-425.53753409545345
ecoli	rxn02312_c0	blocked	blocked	False	-5.440220504922536	-4.57403084263467
ecoli	rxn44358_c0	blocked	blocked	False	0.0	0.0
ecoli	EX_cpd00249_e0	blocked	blocked	False		
ecoli	rxn00558_c0	blocked	blocked	False	0.924986399666011	0.9141488524694523
ecoli	rxn05340_c0	blocked	blocked	False		
ecoli	rxn03843_c0	blocked	blocked	False	-100.28515102294278	-101.73946416077507
ecoli	rxn04070_c0	blocked	blocked	False	-131.6108821875619	-131.88149582554814
ecoli	rxn05187_c0	blocked	blocked	False		
ecoli	EX_cpd03198_e0	blocked	blocked	False		
ecoli	rxn03856_c0	blocked	blocked	False	22.84561406190859	22.677550563153275
ecoli	rxn09012_c0	blocked	blocked	False	-23.73123367075175	-25.41947699095749
ecoli	rxn02305_c0	blocked	blocked	False	-5.363289285864667	-5.6682263449435055
ecoli	rxn02789_c0	blocked	blocked	False	-20.467790076138726	-20.41577257762225
ecoli	rxn00206_c0	blocked	blocked	False	-116.976483470605	-116.976483470605
ecoli	EX_cpd00438_e0	blocked	blocked	False		
ecoli	rxn00131_c0	blocked	blocked	False	-10.679589104481039	-10.765616574661493
ecoli	rxn09167_c0	blocked	blocked	False	163.35576001722612	163.34794643744854
ecoli	rxn02596_c0	blocked	blocked	False	-5.493284299151583	-5.493394579192682
ecoli	rxn10232_c0	blocked	blocked	False		
ecoli	rxn00189_c0	blocked	blocked	False	-11.374437060360435	-11.114527709954757
ecoli	rxn02831_c0	blocked	blocked	False	-4.095510805664105	-10.48921945185765
ecoli	EX_cpd00080_e0	blocked	blocked	False		
ecoli	rxn05115_c0	blocked	blocked	False	-39.13234291951325	-34.622145242918364
ecoli	rxn12646_c0	blocked	blocked	False	-12.59283124403926	-13.234703836408713
ecoli	EX_cpd01912_e0	blocked	blocked	False		
ecoli	rxn00367_c0	blocked	blocked	False	-33.553192009574445	-35.062974424766935
ecoli	rxn00342_c0	blocked	blocked	False	-16.308223724486993	-16.356041436689594
ecoli	EX_cpd00635_e0	blocked	blocked	False		
ecoli	rxn01872_c0	blocked	blocked	False	3.810577830393129	7.768416398439115
ecoli	rxn00830_c0	blocked	blocked	False	-4.932270665274409	-4.932272018138683
ecoli	rxn05195_c0	blocked	blocked	False	-25.459409689877987	-26.175043300205324
ecoli	rxn08792_c0	blocked	blocked	False	254.24385406674588	254.23029084381375
ecoli	rxn09205_c0	blocked	blocked	False		
ecoli	rxn08025_c0	blocked	blocked	False	60.604688337608195	62.285738224643865
ecoli	EX_cpd00058_e0	blocked	blocked	False		
ecoli	rxn08766_c0	blocked	blocked	False		
ecoli	rxn00459_c0	blocked	blocked	False	-4.447199327452466	-4.266180253008628
ecoli	rxn03919_c0	blocked	blocked	False	-18.34975124073378	-17.794357186881257
ecoli	rxn05146_c0	blocked	blocked	False	-25.459409689877987	-26.175043300205324
ecoli	rxn00117_c0	blocked	blocked	False	-2.1739349201415052	-0.1902381301706555
ecoli	rxn01211_c0	blocked	blocked	False	-5.3699303020325715	-8.341486171673864
ecoli	rxn09206_c0	blocked	blocked	False		
ecoli	rxn01352_c0	blocked	blocked	False	-30.867102457174227	-20.782319361517757
ecoli	rxn02376_c0	blocked	blocked	False	-16.327290442567303	-17.265971657342746
ecoli	rxn03511_c0	blocked	blocked	False	3.4768603649947067	3.4768603649947067
ecoli	rxn00608_c0	blocked	blocked	False	-46.53187870242988	-46.53201367597211
ecoli	EX_cpd00412_e0	blocked	blocked	False		
ecoli	rxn02798_c0	blocked	blocked	False	-33.02984726054399	-33.07929155611964
ecoli	rxn05527_c0	blocked	blocked	False	0.0	0.0
ecoli	rxn08628_c0	variable	variable	False	0.0	0.0
ecoli	rxn01739_c0	blocked	blocked	False	-3.408039203398147	-4.56337117185214
ecoli	rxn08657_c0	blocked	blocked	False	202.8824354290007	202.16256709526877
ecoli	EX_cpd01405_e0	blocked	blocked	False		
ecoli	rxn00066_c0	blocked	blocked	False	-328.6187323522631	-328.55816922794565
ecoli	rxn08669_c0	blocked	blocked	False	4.1706318289138835	4.387945173859748
ecoli	rxn00708_c0	blocked	blocked	False	-10.91702795601634	-10.439401273605768
ecoli	rxn01225_c0	blocked	blocked	False	26.08356631507509	-136.33480588950437
ecoli	rxn00599_c0	blocked	blocked	False	-2.95765666202405	2.4192236197315253
ecoli	rxn00138_c0	blocked	blocked	False	8.722827384636105	6.324547674094049
ecoli	rxn01358_c0	reverse	reverse	False	2.717447086631651	2.352727278871342
ecoli	EX_cpd00164_e0	blocked	blocked	False		
ecoli	rxn01800_c0	blocked	blocked	False	-14.87965133872882	-14.485264945364804
ecoli	rxn05205_c0	blocked	blocked	False	0.0	0.0
ecoli	rxn08647_c0	blocked	blocked	False	-11.998259010590942	-13.214038390378334
ecoli	rxn25839_c0	blocked	blocked	False		
ecoli	rxn21862_c0	blocked	blocked	False		
ecoli	rxn05124_c0	blocked	blocked	False	-88.69565827389924	-88.25624620817534
ecoli	rxn05155_c0	blocked	blocked	False	-25.459409689877987	-26.175043300205324
ecoli	rxn09201_c0	blocked	blocked	False		
ecoli	rxn08043_c0	blocked	blocked	False	-26.47625942424284	-26.485125361946956
ecoli	rxn08518_c0	blocked	blocked	False	4.109727506980228	4.108988560151289
ecoli	rxn26447_c0	blocked	blocked	False	-99.79480084349626	-99.79358613628801
ecoli	rxn01297_c0	blocked	blocked	False	42.09923341619168	-120.618908742955
ecoli	rxn05239_c0	blocked	blocked	False		
ecoli	rxn01368_c0	blocked	blocked	False	-14.880793652873422	-14.026285600614415
ecoli	rxn43657_c0	blocked	blocked	False	0.0	0.0
ecoli	EX_cpd00573_e0	blocked	blocked	False		
ecoli	rxn08843_c0	blocked	blocked	False		
ecoli	rxn05154_c0	blocked	blocked	False	-25.459409689877987	-26.175043300205324
ecoli	rxn08995_c0	blocked	blocked	False	0.0	0.0
ecoli	rxn02375_c0	blocked	blocked	False	-14.715956814974561	-16.200324061267906
ecoli	rxn05617_c0	blocked	blocked	False	-39.76530210301104	-39.76852612790714
ecoli	rxn07845_c0	blocked	blocked	False		
ecoli	rxn00340_c0	blocked	blocked	False	-17.400731341224798	-19.811445809831298
ecoli	rxn00222_c0	blocked	blocked	False	-11.957091104937277	-11.9571945844432
ecoli	rxn00392_c0	blocked	blocked	False		
ecoli	EX_cpd00149_e0	blocked	blocked	False		
ecoli	rxn08468_c0	blocked	blocked	False	-507.2167501741387	-507.522453425719
ecoli	rxn03903_c0	blocked	blocked	False	-28.475601123146976	-28.673610683672837
ecoli	rxn00114_c0	blocked	blocked	False	27.902001003142573	26.739918631125335
ecoli	rxn01304_c0	blocked	blocked	False	-10.289788321429157	-6.071576043933462
ecoli	rxn05671_c0	blocked	blocked	False	0.0	0.0
ecoli	rxn00366_c0	blocked	blocked	False	-23.88090524822428	-26.47171700215233
ecoli	rxn05636_c0	blocked	blocked	False	0.0	0.0
ecoli	rxn00301_c0	blocked	blocked	False	-33.52742884258919	-35.3689791743717
ecoli	bio1	blocked	blocked	False		
ecoli	rxn05687_c0	blocked	blocked	False	0.0	0.0
ecoli	rxn00913_c0	blocked	blocked	False	-10.991377636123389	-9.922876419463137
ecoli	rxn01492_c0	blocked	blocked	False	-20.802858595225075	-22.142459410069932
ecoli	EX_cpd00036_e0	blocked	blocked	False		
ecoli	rxn01513_c0	blocked	blocked	False	-37.29642261878007	10.945031519395116
ecoli	rxn09211_c0	blocked	blocked	False		
ecoli	rxn08934_c0	blocked	blocked	False	-14.936512180050073	-14.936625144912256
ecoli	rxn01204_c0	blocked	blocked	False	6.554084441327447	6.297096429185544
ecoli	rxn00247_c0	blocked	blocked	False	12.388854202669037	11.386116165411309
ecoli	rxn01484_c0	blocked	blocked	False	-1.6016804827933555	-1.298635910252571
ecoli	rxn03068_c0	blocked	blocked	False	23.115723915257462	22.828519096744884
ecoli	rxn05571_c0	blocked	blocked	False	0.0	0.0
ecoli	rxn10208_c0	blocked	blocked	False		
ecoli	EX_cpd15466_e0	blocked	blocked	False		
ecoli	rxn01643_c0	blocked	blocked	False	-16.09854950608471	-16.155248615105165
ecoli	rxn39451_c0	blocked	blocked	False	44.048248625658715	43.98746452148137
ecoli	EX_cpd03725_e0	blocked	blocked	False		
ecoli	rxn16611_c0	blocked	blocked	False	49.43677997069061	49.43653542237483
ecoli	rxn05160_c0	blocked	blocked	False	-25.459409689877987	-26.175043300205324
ecoli	rxn05305_c0	blocked	blocked	False	0.0	0.0
ecoli	rxn00147_c0	blocked	blocked	False	2.9357285027549125	-0.5597305501891725
ecoli	rxn00304_c0	blocked	blocked	False	26.992811544547195	26.655349325808842
ecoli	rxn08471_c0	blocked	blocked	False	-580.9051321844214	-581.8202016386826
ecoli	rxn08298_c0	blocked	blocked	False		
ecoli	rxn08783_c0	blocked	blocked	False	251.1387356953947	251.12545927246407
ecoli	rxn00022_c0	blocked	blocked	False	-14.936497545405729	-14.936601024911653
ecoli	rxn03886_c0	blocked	blocked	False	10.972096915570944	10.804033416815628
ecoli	rxn00412_c0	blocked	blocked	False	15.929868860550812	-36.12021191910145
ecoli	rxn05614_c0	blocked	blocked	False		
ecoli	rxn08306_c0	blocked	blocked	False		
ecoli	EX_cpd00355_e0	blocked	blocked	False		
ecoli	rxn00463_c0	blocked	blocked	False	4.2461736123315745	-46.61169874654945
ecoli	rxn09114_c0	blocked	blocked	False		
ecoli	rxn05326_c0	blocked	blocked	False		
ecoli	rxn05462_c0	blocked	blocked	False		
ecoli	rxn08966_c0	blocked	blocked	False	0.0	0.0
ecoli	rxn00704_c0	blocked	blocked	False	-6.6469412031544834	-6.639858454306477
ecoli	rxn00223_c0	blocked	blocked	False	0.9306839940184091	0.9279422033671381
ecoli	EX_cpd00208_e0	blocked	blocked	False		
ecoli	rxn01138_c0	reverse	reverse	False	-2.8955845913716303	-3.3619885269598626
ecoli	rxn01332_c0	blocked	blocked	False	-75.27461737965797	-75.0129140212311
