organism	reaction	marvin_class	opam2_class	marvin_dg	opam2_dg
ecoli	rxn10052_c0	blocked	variable	10.359630434206181	1.9168837628647069
ecoli	rxn00097_c0	blocked	variable	-1.4480689294739477	0.2966720813515167
ecoli	rxn01545_c0	forward	blocked	3.803197799711242	-159.7876622888594
ecoli	rxn00104_c0	blocked	variable	-11.807699363680129	-1.6202116815131333
ecoli	rxn01649_c0	reverse	blocked	11.627095699066786	-152.39040138023375
