rxn_id	old_deltag	old_deltagerr	new_deltag	new_deltagerr
rxn00152	-37.93	1.28	-158.7	7.4
rxn00153	-12.69	0.13	-52.09	3.68
rxn00154	-8.47	0.78	-34.19	5.36
rxn00155	-8.47	0.79	-37.44	5.36
rxn00156	-40.2	1.27	-168.14	7.38
rxn00157	4.94	0.36	22.21	4.05
rxn00158	-6.46	1.44	-74.54	81.04
rxn00159	3.13	0.76	15.23	5.27
rxn00160	5.29	1.26	25.42	7.32
rxn00161	3.13	0.76	11.99	5.27
rxn00162	-3.96	0.76	-14.53	5.27
rxn00163	-55.73	4.71	89.69	131.32
rxn00164	5.33	1.04	14.53	5.27
rxn00165	-6.93	0.23	-29.23	3.79
rxn00166	-6.8	0.72	-30.59	45.71
rxn00168	-4.29	0.8	-17.65	5.42
rxn00170	-7.3	0.13	-29.87	3.67
rxn00171	-4.18	0.29	-16.54	3.91
rxn00172	1.14	0.09	3.69	3.65
rxn00173	2.26	0.15	9.44	3.7
rxn00174	-3.95	0.77	-22.59	45.21
rxn00175	-1.13	0.1	-6.3	3.65
rxn00176	-10.42	6.55	-61.91	66.8
rxn00177	2.81	0.38	8.82	73.95
rxn00178	6.02	0.21	25.73	3.77
rxn00179	6.51	0.55	17.77	42.17
rxn00180	5.82	0.55	30.49	66.2
rxn00181	5.82	0.55	37.05	65.18
rxn00182	8.71	0.07	37.36	3.64
rxn00183	-10.34	0.49	-32.77	5.73
rxn00184	8.72	0.09	34.12	3.64
rxn00185	-23.01	1.02	-96.59	6.31
rxn00186	-0.72	0.79	-61.66	85.59
rxn00187	-3.34	0.2	-15.06	3.76
rxn00188	13.21	1.19	16.64	56.31
rxn00189	-2.82	0.21	-11.11	3.77
rxn00190	-6.51	0.71	-4.79	99.2
rxn00191	0.07	0.13	1.15	3.68
rxn00192	-5.12	0.81	-10.76	52.45
rxn00193	0.13	0.52	0.24	4.48
rxn00194	-5.69	0.85	-24.98	7.3
rxn00195	-1.77	0.58	-6.96	4.65
rxn00196	-8.47	0.49	-37.89	5.73
rxn00197	-6.93	0.95	-30.91	5.78
rxn00198	1.41	0.78	6.55	5.33
rxn00199	-3.33	0.96	-18.02	68.24
rxn00200	-0.14	0.58	-12.97	3.77
rxn00201	10.04	0.79	40.75	5.37
rxn00202	6.93	0.67	28.29	65.25
rxn00203	-4.14	0.82	-18.68	7.09
rxn00204	-39.15	1.89	-161.97	10.23
rxn00205	-74.09	0.81	-223.75	5.44
rxn00206	-22.87	1.22	-116.98	183.96
rxn00207	52.41	1.12	176.76	8.14
rxn00208	-23.36	1.11	-97.17	7.3
rxn00209	-27.09	1.03	-103.3	6.8
rxn00210	-23.14	1.15	-96.82	6.84
rxn00211	-4.28	0.56	7.3	36.05
rxn00212	-7.08	0.97	-38.32	3.79
rxn00213	0.03	0.34	-8.3	3.66
rxn00214	0.0	4.41	2.89	3.76
rxn00215	-15.71	0.62	-27.98	63.11
rxn00216	-4.01	0.11	-15.6	3.65
rxn00217	-1.02	0.28	-1.71	3.77
rxn00218	-2.59	0.51	23.78	62.72
rxn00219	-31.6	1.1	-23.69	95.08
rxn00220	-2.15	0.11	-10.58	3.65
rxn00221	-4.86	0.32	-17.22	3.72
rxn00222	-3.44	0.61	-11.96	3.78
rxn00223	0.19	0.34	0.93	3.63
rxn00225	3.41	0.13	13.14	3.68
rxn00226	-9.59	4.37	55.61	66.8
rxn00227	-9.57	0.15	-39.31	3.7
rxn00228	-20.13	1.71	-148.61	73.74
rxn00229	-118.86	1.08	-499.75	6.55
rxn00230	6.1	0.16	22.83	3.7
rxn00231	-5.66	0.58	-47.71	46.7
rxn00232	-17.71	4.36	-91.78	66.8
rxn00233	-10.35	1.06	-97.05	112.6
rxn00234	0.62	0.28	2.53	3.89
rxn00235	-6.8	0.57	-71.01	48.54
rxn00236	-5.52	0.3	-26.42	3.64
rxn00237	-0.6	0.32	-0.74	3.62
rxn00239	-0.64	0.29	0.24	3.63
rxn00241	-5.56	0.33	-25.43	3.64
rxn00242	-5.6	1.51	-30.41	53.0
rxn00243	-6.56	0.82	-28.98	3.87
rxn00244	-12.31	0.82	-50.57	5.46
rxn00245	-8.31	0.46	-49.64	24.07
rxn00247	2.57	0.76	11.39	5.27
rxn00248	7.09	0.07	29.75	3.64
rxn00249	7.09	0.11	26.51	3.64
rxn00250	-0.94	0.18	-5.34	3.71
rxn00251	8.73	0.76	37.56	5.26
rxn00252	5.26	0.76	21.08	5.27
rxn00253	-6.28	0.52	-46.22	56.41
rxn00254	-1.53	0.62	-22.99	46.5
rxn00255	5.06	0.67	8.38	45.48
rxn00256	8.6	0.11	35.65	3.66
rxn00257	2.44	0.11	9.48	3.66
rxn00258	0.02	0.36	-8.06	45.06
rxn00259	3.17	5.06	5.16	69.71
rxn00260	0.69	0.13	2.76	3.68
rxn00261	159.78	1.77	834.81	158.02
rxn00262	-22.32	1.03	-93.83	6.33
rxn00263	-23.57	1.12	-107.72	36.95
rxn00264	-24.63	1.02	-104.2	6.31
rxn00265	1.3	0.12	5.79	3.67
rxn00266	1.36	0.71	0.0	3.62
rxn00268	10.75	0.39	49.53	4.05
rxn00269	-20.98	1.09	-84.42	6.54
rxn00270	-10.46	4.93	42.2	165.95
rxn00271	8.39	1.11	29.13	101.01
rxn00272	-1.96	0.4	-11.01	4.09
rxn00273	8.44	0.51	17.25	86.37
rxn00274	8.44	0.51	18.66	61.21
rxn00275	2.03	0.39	12.16	4.05
rxn00276	1.34	0.4	9.4	4.07
rxn00277	10000000.0	10000000.0	337.21	5.38
rxn00278	8.78	0.13	38.51	3.68
rxn00279	-3.34	0.78	-12.92	5.33
rxn00280	8.18	0.71	33.72	5.12
rxn00281	7.76	0.86	16.87	11.49
rxn00282	-0.63	0.18	-1.61	3.73
rxn00283	-0.01	0.25	0.02	3.83
rxn00284	14.88	0.5	67.32	4.39
rxn00285	-0.49	0.32	-0.5	3.67
rxn00286	-1.04	0.91	-3.35	4.82
rxn00287	-5.67	0.33	-25.68	3.68
rxn00288	11.27	0.87	7.89	5.69
rxn00289	2.27	0.73	14.78	86.28
rxn00290	2.95	0.16	11.64	3.71
rxn00291	-0.67	0.87	-10.0	68.56
rxn00292	-7.01	0.87	-17.43	6.63
rxn00293	-0.81	0.71	-3.93	5.12
rxn00295	-0.24	0.65	-9.95	77.07
rxn00297	-0.24	0.65	-24.08	55.64
rxn00298	-5.07	0.73	4.37	36.08
rxn00299	-18.54	1.97	-151.03	138.55
rxn00300	-16.79	1.43	-65.78	85.8
rxn00301	-7.62	0.46	-35.37	3.68
rxn00302	-19.32	3.63	14.73	5.12
rxn00303	-3.17	1.65	-11.38	53.0
rxn00304	7.13	0.34	26.66	3.66
rxn00305	3.17	0.82	12.13	5.27
rxn00306	0.11	0.11	0.24	3.67
rxn00307	1.22	0.73	6.52	3.82
rxn00308	-4.58	2.16	-40.06	6.37
rxn00309	8.65	0.57	45.77	4.06
rxn00310	-24.99	1.15	-91.76	6.8
rxn00311	-90.63	6.19	-244.92	89.72
rxn00312	-111.77	1.18	-462.86	9.04
rxn00313	-4.39	0.91	-24.43	8.61
rxn00314	9.66	0.84	26.93	5.12
rxn00315	10000000.0	10000000.0	7.25	4.1
rxn00316	-5.7	0.53	-16.76	53.15
rxn00317	10000000.0	10000000.0	8.4	4.05
rxn00318	-1.6	0.54	-13.1	53.15
rxn00319	-9.82	2.16	-26.0	6.27
rxn00320	0.0	0.71	-0.86	4.43
rxn00321	-1.1	0.5	-3.71	4.43
rxn00322	-5.96	0.86	-25.55	8.24
rxn00323	4.61	1.01	-25.57	86.53
rxn00324	10.54	0.22	40.25	3.77
rxn00325	-37.75	1.3	-158.78	7.48
rxn00326	-2.55	0.32	-19.61	3.97
rxn00327	-5.9	1.18	-25.72	6.98
rxn00328	4.36	0.37	18.35	4.08
rxn00330	8.1	0.51	33.88	4.29
rxn00331	3.48	0.71	11.55	4.68
rxn00332	7.02	0.95	28.4	53.55
rxn00333	-21.19	1.04	-90.46	6.39
rxn00334	4.21	0.74	-5.23	67.72
rxn00335	0.6	0.66	-16.69	56.44
rxn00336	2.25	0.33	9.3	3.98
rxn00337	4.58	0.71	18.24	5.1
rxn00338	-17.2	1.16	-126.19	100.25
rxn00339	-2.15	0.86	-9.82	5.64
rxn00340	-4.43	0.87	-19.81	5.66
rxn00341	-7.39	1.2	-29.72	7.06
rxn00342	-4.01	0.86	-16.36	5.63
rxn00343	1.81	5.07	6.28	77.5
rxn00344	-4.42	0.59	2.31	55.29
rxn00345	-2.88	0.6	-32.18	55.29
rxn00346	-4.89	1.46	-21.5	8.14
rxn00347	3.14	0.12	13.76	3.67
rxn00348	1.25	0.48	13.89	36.58
rxn00350	-0.44	0.64	20.71	101.42
rxn00351	-6.23	0.63	-42.58	74.7
rxn00352	-7.12	0.66	-80.68	69.45
rxn00353	-11.56	0.24	39.41	3.8
rxn00354	-4.54	0.62	3.32	36.03
rxn00355	0.03	0.34	-12.57	4.15
rxn00356	-2.65	0.54	-2.2	4.25
rxn00357	-14.03	6.7	-12.5	53.71
rxn00358	0.59	0.46	8.89	65.51
rxn00359	-19.97	1.38	-82.29	3.94
rxn00360	-2.75	1.42	-27.12	5.13
