organism	reaction	flux_unconstrained	flux_tmfa_marvin	flux_diff	abs_diff
cace	EX_cpd00067_e0	1.000000000000001	-0.0	-1.000000000000001	1.000000000000001
cace	rxn08691_c0	0.0	1.0	1.0	1.0
cace	rxn05559_c0	-0.9999999999999994	0.0	0.9999999999999994	0.9999999999999994
cace	rxn00157_c0	-1.0000000000000002	0.0	1.0000000000000002	1.0000000000000002
kpneumoniae	rxn09188_c0	0.0	-1000.0	-1000.0	1000.0
kpneumoniae	rxn00929_c0	0.0	1000.0	1000.0	1000.0
kpneumoniae	rxn08527_c0	0.0	1000.0	1000.0	1000.0
kpneumoniae	rxn00499_c0	1.0000000000000002	-999.0	-1000.0	1000.0
kpneumoniae	rxn00288_c0	0.0	1000.0	1000.0	1000.0
kpneumoniae	rxn08793_c0	0.0	1000.0	1000.0	1000.0
dradiodurans	rxn02342_c0	0.0	1000.0	1000.0	1000.0
dradiodurans	rxn00011_c0	0.0	-1000.0	-1000.0	1000.0
dradiodurans	rxn01241_c0	0.0	1000.0	1000.0	1000.0
dradiodurans	rxn00154_c0	0.5000000000000001	-999.5	-1000.0	1000.0
dradiodurans	rxn01871_c0	0.0	-1000.0	-1000.0	1000.0
