class,n_species,n_P,n_N,n_Metal,n_Phz_operon,frac_P,frac_N,frac_M,n_P_Metal,PM_enrichment,phi_PM
c__Gracilibacteria,57,4,0,54,0,0.07,0.0,0.947,4,1.056,0.0648
c__Methanomicrobia,57,47,57,57,0,0.825,1.0,1.0,47,1.0,0.0
c__Leptospirae,56,38,8,56,0,0.679,0.143,1.0,38,1.0,0.0
c__Methanosarcinia,56,52,56,56,0,0.929,1.0,1.0,52,1.0,0.0
c__Lentisphaeria,56,52,10,48,0,0.929,0.179,0.857,44,0.987,-0.1132
c__Chlorobia,53,51,53,53,0,0.962,1.0,1.0,51,1.0,0.0
c__Elusimicrobia,53,37,7,47,0,0.698,0.132,0.887,33,1.006,0.0245
c__Deinococci,52,52,1,52,0,1.0,0.019,1.0,52,1.0,0.0
c__Thermotogae,51,44,5,47,0,0.863,0.098,0.922,41,1.011,0.0956
c__Desulfuromonadia,50,49,47,50,0,0.98,0.94,1.0,49,1.0,0.0
c__Thermoprotei_A,49,25,28,49,0,0.51,0.571,1.0,25,1.0,0.0
c__Dormibacteria,48,36,14,45,0,0.75,0.292,0.938,33,0.978,-0.1491
c__Thermodesulfovibrionia,47,47,33,47,0,1.0,0.702,1.0,47,1.0,0.0
c__Chlamydiia,47,1,4,36,0,0.021,0.085,0.766,1,1.306,0.0815
c__Syntrophia,45,42,14,45,0,0.933,0.311,1.0,42,1.0,0.0
c__Desulfobulbia,45,43,32,45,0,0.956,0.711,1.0,43,1.0,0.0
c__Myxococcia,42,42,10,41,0,1.0,0.238,0.976,41,1.0,0.0
c__Bathyarchaeia,38,21,33,38,0,0.553,0.868,1.0,21,1.0,0.0
c__Vicinamibacteria,36,24,7,36,0,0.667,0.194,1.0,24,1.0,0.0
c__Fibrobacteria,34,16,7,30,0,0.471,0.206,0.882,15,1.062,0.1614
c__Limnocylindria,34,33,3,33,0,0.971,0.088,0.971,32,0.999,-0.0303
c__Chloroflexia,32,32,17,32,0,1.0,0.531,1.0,32,1.0,0.0
c__Dethiobacteria,30,20,15,30,0,0.667,0.5,1.0,20,1.0,0.0
