species_id,nutrient_group,nutrient_core,nutrient_noncore,metal_core,metal_noncore,odds_ratio,fisher_p
s__Streptomyces_sp000158895--RS_GCF_003950035.1,Phz_genes,2,2,3,5,1.667,1.0
s__Lysobacter_soli--RS_GCF_003382285.1,Phz_genes,2,0,2,1,inf,1.0
s__Bradyrhizobium_sp900114915--RS_GCF_900114915.1,Phz_genes,3,0,4,2,inf,0.5
s__Bacillus_A_cereus_K--RS_GCF_002564555.1,Phz_genes,1,1,2,0,0.0,1.0
s__Streptomyces_uncialis--RS_GCF_001905345.1,Phz_genes,3,0,5,0,,1.0
s__Arthrobacter_B_sp001307035--RS_GCF_001307035.1,Phz_genes,2,0,2,0,,1.0
s__Cupriavidus_taiwanensis_C--RS_GCF_900250075.1,Phz_genes,2,2,5,0,0.0,0.16666666666666666
s__Photobacterium_sp003026105--RS_GCF_003026105.1,Phz_genes,2,0,2,0,,1.0
s__AL-N1_sp013122435--GB_GCA_013122435.1,Phz_genes,2,0,2,1,inf,1.0
s__Flavobacterium_pectinovorum--RS_GCF_900142715.1,Phz_genes,2,1,3,0,0.0,1.0
s__Bacillus_velezensis--RS_GCF_001461825.1,Phz_genes,1,1,1,8,8.0,0.3454545454545455
s__Novosphingobium_acidiphilum--RS_GCF_000429005.1,Phz_genes,1,1,0,4,inf,0.3333333333333333
s__JAMLJD01_sp023953775--GB_GCA_023953775.1,Phz_genes,1,1,1,1,1.0,1.0
s__Bosea_sp013823325--GB_GCA_013823325.1,Phz_genes,3,1,3,0,0.0,1.0
s__CAISIP01_sp018063505--GB_GCA_018063505.1,Phz_genes,2,0,4,3,inf,0.5
s__JAGODF01_sp017998375--GB_GCA_017998375.1,Phz_genes,1,1,3,3,1.0,1.0
s__Austwickia_sp020161845--GB_GCA_020161845.1,Phz_genes,1,1,2,0,0.0,1.0
s__Listeria_innocua--RS_GCF_024721565.1,Phz_genes,1,1,4,2,0.5,1.0
s__Pseudomonas_E_sp002113025--RS_GCF_002113025.1,Phz_genes,1,1,3,0,0.0,0.4000000000000001
s__Comamonas_testosteroni_C--RS_GCF_000761245.1,Phz_genes,2,0,2,3,inf,0.4285714285714286
s__Nonomuraea_spiralis--RS_GCF_014648435.1,Phz_genes,3,0,5,0,,1.0
s__Clostridium_B_ragsdalei--RS_GCF_001675165.1,Phz_genes,2,0,2,0,,1.0
s__Streptomyces_kanamyceticus--RS_GCF_008704495.1,Phz_genes,4,0,6,0,,1.0
s__Rhizobium_indicum--RS_GCF_005862305.2,Phz_genes,2,1,5,2,0.8,1.0
s__Streptomyces_sp000177195--RS_GCF_000177195.2,Phz_genes,1,1,3,2,0.667,1.0
s__Rhodococcus_sp000686025--RS_GCF_000686025.1,Phz_genes,1,1,2,1,0.5,1.0
s__Rhodospira_marina--RS_GCF_014197855.1,Phz_genes,3,0,2,0,,1.0
s__Staphylococcus_gallinarum--RS_GCF_000875895.1,Phz_genes,1,3,3,1,0.111,0.48571428571428565
s__Cupriavidus_cauae--RS_GCF_008632125.1,Phz_genes,2,1,4,3,1.5,1.0
s__Streptomyces_sp002982015--RS_GCF_002982015.1,Phz_genes,3,1,4,0,0.0,1.0
s__Paraconexibacter_algicola--RS_GCF_003044185.1,Phz_genes,2,0,3,3,inf,0.4642857142857143
s__Pseudolabrys_sp003133345--GB_GCA_003133345.1,Phz_genes,0,2,1,3,0.0,1.0
s__Acidiphilium_multivorum--RS_GCF_000202835.1,Phz_genes,2,0,0,5,inf,0.04761904761904761
s__Priestia_megaterium--RS_GCF_000832985.1,Phz_genes,2,9,5,18,0.8,1.0
s__F23-B02_sp900556535--GB_GCA_900556535.1,Phz_genes,0,2,3,0,0.0,0.10000000000000002
s__Marinobacter_salarius--GB_GCA_000831005.1,Phz_genes,1,1,1,5,5.0,0.46428571428571425
s__Paraburkholderia_caledonica--RS_GCF_000685095.1,Phz_genes,1,1,2,0,0.0,1.0
s__Bacillus_A_anthracis--RS_GCF_000742895.1,Phz_genes,2,3,3,14,3.111,0.5481127060074428
s__Sulfurospirillum_cavolei--RS_GCF_001548055.1,Phz_genes,0,3,2,1,0.0,0.4000000000000001
s__Pelomonas_sp003963075--GB_GCA_003963075.1,Phz_genes,0,2,2,5,0.0,1.0
s__Bin61_sp022828085--GB_GCA_022828085.1,Phz_genes,1,1,2,3,1.5,1.0
s__Mycobacterium_syngnathidarum--RS_GCF_001942625.1,Phz_genes,1,1,3,3,1.0,1.0
s__Pseudomonas_E_alvandae--RS_GCF_019141525.1,Phz_genes,3,1,3,1,1.0,1.0
s__Acinetobacter_guillouiae--RS_GCF_000368145.1,Phz_genes,1,1,3,2,0.667,1.0
s__Pseudomonas_E_peradeniyensis--RS_GCF_014268935.2,Phz_genes,2,2,4,0,0.0,0.42857142857142855
s__Planococcus_sp021513255--RS_GCF_021513255.1,Phz_genes,0,3,2,0,0.0,0.10000000000000002
s__Pseudomonas_E_trivialis--RS_GCF_001439805.1,Phz_genes,2,0,2,0,,1.0
s__Cupriavidus_lacunae--RS_GCF_003353055.1,Phz_genes,1,2,5,0,0.0,0.10714285714285714
s__ATCC-39006_sp002847015--RS_GCF_002847015.1,Phz_genes,2,0,2,0,,1.0
s__Pseudomonas_E_khavaziana--RS_GCF_019145205.1,Phz_genes,7,0,3,0,,1.0
s__Shewanella_psychropiezotolerans--RS_GCF_007197555.1,Phz_genes,2,0,2,0,,1.0
s__Jiangella_alba--RS_GCF_900106035.1,Phz_genes,3,2,3,0,0.0,0.4642857142857143
s__Rhizobium_sp001692325--RS_GCF_001692325.1,Phz_genes,3,0,1,4,inf,0.14285714285714288
s__Microbispora_triticiradicis--GB_GCA_003260025.2,Phz_genes,4,0,3,3,inf,0.19999999999999998
s__Streptomyces_luteogriseus--RS_GCF_014205055.1,Phz_genes,2,0,4,0,,1.0
s__UBA11361_sp005881295--GB_GCA_005881295.1,Phz_genes,1,1,1,9,9.0,0.3181818181818182
s__Kocuria_palustris--RS_GCF_016907795.1,Phz_genes,3,0,2,6,inf,0.0606060606060606
s__Dermacoccus_abyssi--RS_GCF_003515945.1,Phz_genes,0,2,2,3,0.0,1.0
s__Allorhizobium_vitis_F--GB_GCA_014204625.1,Phz_genes,2,0,3,0,,1.0
s__Shinella_yambaruensis--RS_GCF_022899355.1,Phz_genes,2,1,3,2,1.333,1.0
s__Elstera_cyanobacteriorum--RS_GCF_002251735.1,Phz_genes,2,0,2,0,,1.0
s__Burkholderia_ubonensis--RS_GCF_902833085.1,Phz_genes,0,11,1,13,0.0,1.0
s__Paenibacillus_A_vini--RS_GCF_018403325.1,Phz_genes,2,0,4,0,,1.0
s__Stenotrophomonas_maltophilia_AL--RS_GCF_003205835.1,Phz_genes,2,0,2,6,inf,0.13333333333333336
s__Clostridioides_sp020641055--RS_GCF_020641055.1,Phz_genes,2,1,3,0,0.0,1.0
s__Streptomyces_sp000717915--RS_GCF_000717915.1,Phz_genes,3,1,5,1,0.6,1.0
s__Streptomyces_bicolor--RS_GCF_000719285.1,Phz_genes,2,0,6,0,,1.0
s__Palsa-343_sp003152415--GB_GCA_003152415.1,Phz_genes,0,2,1,6,0.0,1.0
s__QPIN01_sp003666385--GB_GCA_003666385.1,Phz_genes,1,1,3,0,0.0,0.4000000000000001
s__Variovorax_guangxiensis--RS_GCF_003952165.1,Phz_genes,2,1,4,0,0.0,0.42857142857142855
s__Serratia_ureilytica--RS_GCF_013375155.1,Phz_genes,2,3,4,4,0.667,1.0
s__Ensifer_adhaerens--RS_GCF_000697965.2,Phz_genes,2,5,5,7,0.56,0.6561681352703026
s__Enterococcus_B_lactis--RS_GCF_015751045.1,Phz_genes,0,2,2,18,0.0,1.0
s__DUSC01_sp008933895--GB_GCA_905339215.1,Phz_genes,2,0,2,1,inf,1.0
s__Clostridium_J_argentinense--RS_GCF_000816675.1,Phz_genes,2,0,2,0,,1.0
s__T78_sp002409625--GB_GCA_002409625.1,Phz_genes,0,2,0,3,,1.0
s__Dinoroseobacter_sp013215265--GB_GCA_017643385.1,Phz_genes,0,3,0,3,,1.0
s__Janthinobacterium_tructae--RS_GCF_006517255.1,Phz_genes,1,1,4,2,0.5,1.0
s__Companilactobacillus_sp022484265--GB_GCA_022484265.1,Phz_genes,1,1,1,1,1.0,1.0
