nutrient_gene,metal_gene,n_nutrient,n_metal,n_both,expected,enrichment,jaccard,phi,odds_ratio,fisher_p
pstC,feoB_pfam,14687,9549,3386,5066.3,0.668,0.1624,-0.2559,0.332,0.0
pstC,HMA_pfam,14687,6962,2655,3693.8,0.719,0.1398,-0.1733,0.445,2.6551679791885625e-183
pstS,copA,9211,19838,7920,6601.0,1.2,0.3748,0.2244,3.373,0.0
pstS,corA,9211,15036,6795,5003.1,1.358,0.3894,0.2758,3.491,0.0
pstS,feoB_pfam,9211,9549,2038,3177.4,0.641,0.1219,-0.1838,0.415,6.741473929893795e-214
pstS,HMA_pfam,9211,6962,1689,2316.6,0.729,0.1166,-0.1109,0.562,9.844482070505758e-79
phnC,copA,5627,19838,4940,4032.5,1.225,0.2407,0.1808,3.454,3.1029860678874086e-225
phnC,corA,5627,15036,3670,3056.4,1.201,0.216,0.1106,1.764,9.088002861812192e-77
phnC,feoB_pfam,5627,9549,1427,1941.1,0.735,0.1038,-0.0971,0.583,8.246510979645384e-61
phnC,HMA_pfam,5627,6962,1227,1415.2,0.867,0.108,-0.0389,0.794,5.991426709486638e-11
phnD,copA,7538,19838,6435,5402.0,1.191,0.3073,0.186,2.934,1.947304636034164e-229
phnD,corA,7538,15036,4974,4094.4,1.215,0.2826,0.1433,1.944,1.6638023476318334e-127
phnD,feoB_pfam,7538,9549,1974,2600.3,0.759,0.1306,-0.1069,0.589,9.598020389746065e-73
phnD,HMA_pfam,7538,6962,1754,1895.8,0.925,0.1376,-0.0265,0.87,9.875961506707759e-06
phnE,copA,6770,19838,5715,4851.6,1.178,0.2735,0.161,2.604,1.0659865026559236e-171
phnE,corA,6770,15036,4338,3677.3,1.18,0.2483,0.1115,1.703,1.0662691715102134e-77
phnE,feoB_pfam,6770,9549,1739,2335.3,0.745,0.1193,-0.1054,0.58,3.9796912431132675e-71
phnE,HMA_pfam,6770,6962,1575,1702.6,0.925,0.1296,-0.0247,0.874,3.691966766624327e-05
nifH,copA,2536,19838,2303,1817.4,1.267,0.1147,0.1349,4.29,8.672366479490473e-135
nifH,corA,2536,15036,1565,1377.5,1.136,0.0978,0.0471,1.397,3.3828151269047016e-15
nifH,feoB_pfam,2536,9549,1098,874.8,1.255,0.0999,0.0588,1.508,6.236502201544602e-22
nifH,HMA_pfam,2536,6962,903,637.8,1.416,0.1051,0.0765,1.742,7.907575769775851e-35
nifD,copA,1465,19838,1365,1049.9,1.3,0.0685,0.1128,5.722,1.6527465921847516e-99
nifD,corA,1465,15036,1096,795.7,1.377,0.0711,0.0973,2.616,7.46634290299741e-62
nifD,feoB_pfam,1465,9549,446,505.4,0.883,0.0422,-0.0201,0.823,0.0007736959770997414
nifD,HMA_pfam,1465,6962,386,368.4,1.048,0.048,0.0065,1.068,0.2789300805875252
nifH_pfam,copA,4040,19838,3008,2895.2,1.039,0.1441,0.0256,1.18,1.7961990530571295e-05
nifH_pfam,corA,4040,15036,1766,2194.4,0.805,0.102,-0.088,0.607,2.568955730017622e-48
nifH_pfam,feoB_pfam,4040,9549,2641,1393.6,1.895,0.2412,0.2685,4.573,0.0
nifH_pfam,HMA_pfam,4040,6962,1988,1016.1,1.957,0.2205,0.2292,3.636,3.3009458258899976e-284
phzF,copA,10856,19838,9114,7779.8,1.171,0.4223,0.2191,2.977,3.388143955213523e-306
phzF,corA,10856,15036,7434,5896.6,1.261,0.4028,0.2284,2.636,3.374e-321
phzF,feoB_pfam,10856,9549,2701,3744.8,0.721,0.1526,-0.1625,0.483,1.2330501980013164e-164
phzF,HMA_pfam,10856,6962,2305,2730.3,0.844,0.1486,-0.0725,0.704,6.235638921675615e-34
phzA,copA,16,19838,16,11.5,1.395,0.0008,0.0151,inf,0.009366940262687654
phzA,corA,16,15036,15,8.7,1.726,0.001,0.019,12.627,0.0015080515872372365
phzA,feoB_pfam,16,9549,2,5.5,0.362,0.0002,-0.0111,0.271,0.0695452443527864
phzA,HMA_pfam,16,6962,3,4.0,0.746,0.0004,-0.0035,0.687,0.7747576398974851
phzB,copA,48,19838,46,34.4,1.337,0.0023,0.0224,9.113,3.521029495429112e-05
phzB,corA,48,15036,43,26.1,1.649,0.0029,0.0295,7.251,2.3529886547875605e-07
phzB,feoB_pfam,48,9549,3,16.6,0.181,0.0003,-0.0248,0.126,5.636934418856261e-06
phzB,HMA_pfam,48,6962,9,12.1,0.746,0.0013,-0.0061,0.686,0.4046609471172429
phzD,copA,30,19838,29,21.5,1.349,0.0015,0.0183,11.482,0.0008712626822588602
phzD,corA,30,15036,29,16.3,1.78,0.0019,0.028,24.436,3.2953659197311676e-07
phzD,feoB_pfam,30,9549,3,10.3,0.29,0.0003,-0.017,0.211,0.003417279171975107
phzD,HMA_pfam,30,6962,7,7.5,0.928,0.001,-0.0014,0.906,1.0
phzG,copA,119,19838,116,85.3,1.36,0.0058,0.0376,15.373,1.6081899961597826e-13
phzG,corA,119,15036,116,64.6,1.795,0.0077,0.0569,32.766,5.2523373478555075e-27
phzG,feoB_pfam,119,9549,4,41.0,0.097,0.0004,-0.043,0.066,1.2309617615288015e-16
phzG,HMA_pfam,119,6962,17,29.9,0.568,0.0024,-0.0165,0.495,0.005616015168106139
phzS,copA,1243,19838,1111,890.8,1.247,0.0556,0.0852,3.466,4.854672841598443e-54
phzS,corA,1243,15036,902,675.2,1.336,0.0587,0.0794,2.303,1.7025647294362011e-41
phzS,feoB_pfam,1243,9549,237,428.8,0.553,0.0225,-0.0704,0.433,1.8411350153743665e-34
phzS,HMA_pfam,1243,6962,202,312.6,0.646,0.0252,-0.0445,0.565,1.4162660889256352e-14
phzM,copA,14,19838,13,10.0,1.296,0.0007,0.0106,5.143,0.13274548028658556
phzM,corA,14,15036,13,7.6,1.71,0.0009,0.0174,10.942,0.00499776273083526
phzM,feoB_pfam,14,9549,3,4.8,0.621,0.0003,-0.0062,0.518,0.40508121641819633
phzM,HMA_pfam,14,6962,6,3.5,1.704,0.0009,0.0092,2.233,0.13157907976453698
