sdt_sample_name	site_defense_score	site_mobilome_score	site_metabolism_score	site_stress_score	mapped_abundance_fraction	unmapped_abundance_fraction	mapping_mode
DP16D-67-11-27-12	0.0018835548129911641	0.006710459048810093	0.03207760589778172	0.004297006930900628	0.10265355301501905	0.897346446984981	relaxed_all_clades
FW021-46-11-27-12	0.00392477064220223	0.009610574456768259	0.0530620245454614	0.0067676725494852435	0.17168258589699786	0.8283174141030021	relaxed_all_clades
FW021-7-26-12	0.00442819230029736	0.010362249069506476	0.056318754398401775	0.007395220684901917	0.18272082123827335	0.8172791787617266	relaxed_all_clades
FW104-67-11-14-12	0.005673882383130438	0.019573272095837233	0.1070751612201217	0.012623577239483836	0.3299765807962529	0.6700234192037471	relaxed_all_clades
FW104-7-26-12	0.004033864041725099	0.01104085252208647	0.06154670111972605	0.007537358281905784	0.19077109576766985	0.8092289042323302	relaxed_all_clades
FW106-11-13-12	0.0024448895404969133	0.008755349297301552	0.040583811030290635	0.005600119418899233	0.13157419643695342	0.8684258035630465	relaxed_all_clades
FW106-7-25-12	0.021299258658041723	0.04628551986501097	0.2360996354448378	0.03379238926152634	0.7974944508695434	0.2025055491304566	relaxed_all_clades
FW109-1-7-25-12	0.01363016563105853	0.03559604139546055	0.17282124828014397	0.024613103513259536	0.5699697428139183	0.4300302571860817	relaxed_all_clades
FW109-2-7-25-12	0.002483499959143615	0.008384833711629382	0.0396290131303372	0.005434166835386498	0.12855952524822065	0.8714404747517793	relaxed_all_clades
FW109-35-61-11-14-12	0.016640032134732998	0.04318387456133592	0.2247376211145088	0.029911953348034457	0.7318623141317228	0.26813768586827724	relaxed_all_clades
FW109-40-92-11-14-12	0.008767423706531526	0.024981255473023583	0.13141336289280148	0.016874339589777555	0.41691562789739367	0.5830843721026063	relaxed_all_clades
FW126-7-25-12	0.003072425982513643	0.011360694660124867	0.05459907011818293	0.007216560321319255	0.1746049200414716	0.8253950799585283	relaxed_all_clades
FW215-84-11-27-12	0.0011692977546504384	0.0040666569193748055	0.0202083576421348	0.0026179773370126223	0.06636457701502123	0.9336354229849788	relaxed_all_clades
FW233-17-2-99-11-28-12	0.0017976810128048856	0.00722560710811191	0.03249961710187534	0.004511644060458397	0.10427389857317033	0.8957261014268296	relaxed_all_clades
FW300-59-10-19-12	0.004499135367384584	0.018034545393797605	0.09195885053722419	0.011266840380591095	0.29690997566909977	0.7030900243309002	relaxed_all_clades
FW301-7-25-12	0.004167995116179835	0.01599174597952648	0.08289798979015109	0.010079870547853158	0.26044358410109847	0.7395564158989015	relaxed_all_clades
FW301-81-10-19-12	0.004539319220904465	0.017166423066371513	0.0918974807741463	0.010852871143637989	0.2869997528746493	0.7130002471253507	relaxed_all_clades
FW301-81-2-20-13	0.0035409128046267006	0.01289376732344134	0.0672793327185068	0.00821734006403402	0.2190930586049654	0.7809069413950346	relaxed_all_clades
FW303-11-10-23-12	0.004970062976680383	0.018215935863335572	0.10526683964578402	0.011592999420007976	0.32475679607237024	0.6752432039276297	relaxed_all_clades
FW303-11-2-20-13	0.005415744906673653	0.018815303598135772	0.1076076476391168	0.012115524252404712	0.3297808824407427	0.6702191175592573	relaxed_all_clades
FW410-28-46-11-13-12	0.006088150401933521	0.017054150193011333	0.10059811068881969	0.011571150297472427	0.314146049481245	0.685853950518755	relaxed_all_clades
FW510-26-11-26-12	0.014343201648132985	0.0401784941106532	0.23297873435299069	0.02726084787939309	0.7054299136895007	0.2945700863104993	relaxed_all_clades
FW511-61-11-26-12	0.00730895463114766	0.02023820186876175	0.11358844306284145	0.013773578249954704	0.3530236352564029	0.6469763647435971	relaxed_all_clades
FW511-7-26-12	0.004275718189809969	0.01461747891919293	0.07459882532066506	0.00944659855450145	0.23459852211678983	0.7654014778832101	relaxed_all_clades
FW602-2-26-2-11-28-12	0.002709268243669876	0.008280467170645093	0.05141489899700821	0.005494867707157484	0.15449380410527483	0.8455061958947252	relaxed_all_clades
FW603-55-12-3-12	0.0027809966823267207	0.009456582965382525	0.0520850175824558	0.006118789823854623	0.16057523235368	0.83942476764632	relaxed_all_clades
GW056-87-1-8-13	0.005483935837862363	0.019609271257790575	0.1130917030028215	0.01254660354782647	0.34574418915171373	0.6542558108482863	relaxed_all_clades
GW057-10-1-8-13	0.0034776049498232843	0.012574030132229292	0.06571213044414467	0.008025817541026289	0.20876162506118454	0.7912383749388154	relaxed_all_clades
GW066-71-2-20-13	0.003975492271208698	0.014191584459651543	0.07779131768218421	0.00908353836543012	0.24033254156769596	0.759667458432304	relaxed_all_clades
GW084-56-11-28-12	0.002467915767847312	0.009748965975417894	0.04930791297350289	0.0061084408716326035	0.15358052646476084	0.8464194735352392	relaxed_all_clades
GW085-58-12-3-12	0.005018108429068964	0.01873888650073404	0.1046580600672839	0.011878497464901503	0.3201428101938992	0.6798571898061008	relaxed_all_clades
GW086-25-12-3-12	0.011291970111820758	0.05376023350336843	0.1514469661356964	0.0325261018075946	0.515664332178551	0.484335667821449	relaxed_all_clades
GW089-62-1-7-13	0.006253327039516208	0.03144057049069543	0.17794600765206253	0.018846948765105818	0.5763863989482491	0.42361360105175094	relaxed_all_clades
GW098-57-1-22-13	0.0042891306990019765	0.014786983922004907	0.0883843566440001	0.009538057310503441	0.2585270407763951	0.7414729592236049	relaxed_all_clades
GW101-11-13-12	0.0013272784414128202	0.0048964385728906615	0.0228981372947247	0.0031118585071517406	0.0743457256878807	0.9256542743121193	relaxed_all_clades
GW101-7-26-12	0.003741643966758204	0.0126373320294994	0.06550511506403542	0.008189487998128802	0.20852628711522747	0.7914737128847725	relaxed_all_clades
GW105-12-11-12	0.004075369634273078	0.014036108329411141	0.07646489558118463	0.00905573898184211	0.2330108647120107	0.7669891352879893	relaxed_all_clades
GW107-91-12-11-12	0.0035051756918222225	0.012946284139627187	0.06935702085075407	0.008225729915724705	0.21911396538587133	0.7808860346141286	relaxed_all_clades
GW115-2-11-26-12	0.0024774286167023297	0.009451191831462787	0.04449925766349504	0.0059643102240825585	0.14490688683168776	0.8550931131683123	relaxed_all_clades
GW122-78-11-14-12	0.0033572793054738384	0.011564274673245507	0.05998191214043706	0.007460776989359673	0.191469581508036	0.8085304184919639	relaxed_all_clades
GW123-93-11-14-12	0.01024322871405873	0.03733128089371166	0.1921424748695029	0.023787254803885195	0.6257371113282373	0.3742628886717627	relaxed_all_clades
GW125-85-2-20-13	0.01223625892961849	0.03860226886217543	0.21885522946100164	0.025419263895896962	0.6990682134185568	0.30093178658144315	relaxed_all_clades
GW127-16-11-26-12	0.004804869942336472	0.016467764686700824	0.09540252358661672	0.010636317314518648	0.2897979725357682	0.7102020274642318	relaxed_all_clades
GW148-12-17-12	0.0090333463762343	0.035738905117707505	0.16229053771367852	0.0223861257469709	0.5428340389097656	0.45716596109023444	relaxed_all_clades
GW151-12-12-12	0.010705347277716175	0.041051509648575214	0.18127607839625504	0.025878428463145694	0.638688583329601	0.361311416670399	relaxed_all_clades
GW162-37-2-19-13	0.004196749116324998	0.016339745453316862	0.08982089347265984	0.01026824728482093	0.2689504373177843	0.7310495626822158	relaxed_all_clades
GW190-22-12-11-12	0.008580785287636747	0.034845070471054375	0.1523007769985138	0.02171292787934556	0.49719042300711996	0.50280957699288	relaxed_all_clades
GW198-41-2-11-13	0.007675855285627937	0.025608390304097325	0.1502323551177027	0.016642122794862633	0.46329633429717376	0.5367036657028262	relaxed_all_clades
GW199-42-1-28-13	0.006122958815890075	0.03162550092342204	0.1792635868323309	0.018874229869656055	0.5824642763315705	0.4175357236684295	relaxed_all_clades
GW220-50-12-12-12	0.00478164963739121	0.017646645749861717	0.0880997095382655	0.011214147693626463	0.28009196185286106	0.719908038147139	relaxed_all_clades
GW223-39-1-8-13	0.007224661626200921	0.027296872607692323	0.13819812954043884	0.017260767116946622	0.45192553203299324	0.5480744679670068	relaxed_all_clades
GW228-12-2-4-13	0.008307301437423854	0.03229911852148715	0.20501151858550487	0.0203032099794555	0.6131958804687183	0.3868041195312817	relaxed_all_clades
GW246-1-11-26-12	0.013518105884364718	0.049978390985763364	0.19285056785827132	0.03174824843506405	0.6466303134934838	0.35336968650651623	relaxed_all_clades
GW247-7-11-14-12	0.012416779191510305	0.04862384060776007	0.26382835409690863	0.030520309899635188	0.8535279275354426	0.1464720724645574	relaxed_all_clades
GW271-66-2-18-13	0.0025934609164998	0.009016048050057662	0.05116048369976759	0.005804754483278731	0.16167144739902317	0.8383285526009768	relaxed_all_clades
GW283-43-1-29-13	0.005679575847189153	0.024095999032420976	0.09953836135743341	0.014887787439805063	0.34191330093957806	0.6580866990604219	relaxed_all_clades
GW314-97-2-19-13	0.0027505728050284824	0.010093426602933152	0.05059356791554504	0.006421999703980817	0.16039667386826106	0.8396033261317389	relaxed_all_clades
GW345-51-11-27-12	0.006162108242854832	0.027674736882004895	0.14285882173828848	0.016918422562429862	0.45138676299516317	0.5486132370048369	relaxed_all_clades
GW346-47-11-27-12	0.003664638601018794	0.013555101057921012	0.06925902417923598	0.008609869829469903	0.2197148610767306	0.7802851389232695	relaxed_all_clades
GW350-74-2-12-13	0.005424724292187086	0.01825817581329073	0.11138047408920693	0.011841450052738909	0.34220189008607715	0.6577981099139228	relaxed_all_clades
GW363-94-1-22-13	0.007911301538474998	0.029669917571557246	0.16809242388957446	0.018790609555016123	0.5378746862233598	0.46212531377664023	relaxed_all_clades
GW383-12-17-12	0.0057326583465839645	0.02257735280527755	0.09705502802057395	0.014155005575930758	0.32348839598960705	0.6765116040103929	relaxed_all_clades
GW384-12-17-12	0.00545634357466149	0.025880857546855766	0.11195160589458708	0.01566860056075863	0.3723484781805059	0.627651521819494	relaxed_all_clades
GW385-80-2-18-13	0.011037608012979021	0.04002009735346573	0.18947045076118293	0.025528852683222383	0.6168723909060877	0.3831276090939123	relaxed_all_clades
GW526-15-11-27-12	0.0051839947183962886	0.01968636266924094	0.0973025128087511	0.012435178693818615	0.3172253806443181	0.6827746193556818	relaxed_all_clades
GW531-83-11-28-12	0.005152659320087727	0.01742628319032839	0.10102029002163929	0.011289471255208058	0.2990621898591612	0.7009378101408388	relaxed_all_clades
GW533-48-11-28-12	0.004543614565595757	0.016682411059255428	0.08737790793995236	0.010613012812425592	0.2702511354528453	0.7297488645471547	relaxed_all_clades
GW537-24-11-26-12	0.002690441240921732	0.009731750255576767	0.046497345772621	0.0062110957482492506	0.15052604567616115	0.8494739543238389	relaxed_all_clades
GW60-1A-60-2-4-13	0.002968120635992154	0.01174820476082728	0.05604297304771004	0.007358162698409717	0.18475343201165734	0.8152465679883427	relaxed_all_clades
GW621-21-12-17-12	0.005386302688297826	0.017293889099960956	0.09820529784559355	0.011340095894129392	0.31401224370809444	0.6859877562919056	relaxed_all_clades
GW631-98-12-11-12	0.0015957292516302227	0.00587467157651648	0.03259863575869229	0.0037352004140733513	0.09832261607817112	0.9016773839218288	relaxed_all_clades
GW636-32-1-28-13	0.006310399020462115	0.027874259888975534	0.14139850651124505	0.017092329454718825	0.4363147188135705	0.5636852811864295	relaxed_all_clades
GW639-90-1-23-13	0.0020047933442953734	0.007241932268609946	0.04180110289320555	0.00462336280645266	0.12956444293651134	0.8704355570634886	relaxed_all_clades
