genus	genus_norm	gtdb_species_clade_id	species_name	mapping_tier
Nitrospira	nitrospira	s__Nitrospira_A_sp017986555--GB_GCA_017986555.1	s__Nitrospira_A_sp017986555	genus_exact
Nitrospira	nitrospira	s__Nitrospira_A_defluvii_A--GB_GCA_000196815.1	s__Nitrospira_A_defluvii_A	genus_exact
Nitrospira	nitrospira	s__Nitrospira_A_sp009594855--GB_GCA_016788885.1	s__Nitrospira_A_sp009594855	genus_exact
Nitrospira	nitrospira	s__Nitrospira_D_sp900299245--GB_GCA_900299245.1	s__Nitrospira_D_sp900299245	genus_exact
Nitrospira	nitrospira	s__Nitrospira_F_sp902500745--GB_GCA_902500745.1	s__Nitrospira_F_sp902500745	genus_exact
Nitrospira	nitrospira	s__Nitrospira_F_sp019636875--GB_GCA_019636875.1	s__Nitrospira_F_sp019636875	genus_exact
Nitrospira	nitrospira	s__Nitrospira_F_sp002420115--GB_GCA_002420115.1	s__Nitrospira_F_sp002420115	genus_exact
Nitrospira	nitrospira	s__Nitrospira_D_sp002435325--GB_GCA_002435325.1	s__Nitrospira_D_sp002435325	genus_exact
Nitrospira	nitrospira	s__Nitrospira_D_sp022226955--GB_GCA_022226955.1	s__Nitrospira_D_sp022226955	genus_exact
Nitrospira	nitrospira	s__Nitrospira_A_sp900170025--RS_GCF_900170025.1	s__Nitrospira_A_sp900170025	genus_exact
Nitrospira	nitrospira	s__Nitrospira_F_sp005116965--GB_GCA_005116965.1	s__Nitrospira_F_sp005116965	genus_exact
Nitrospira	nitrospira	s__Nitrospira_A_sp003456605--GB_GCA_011525625.1	s__Nitrospira_A_sp003456605	genus_exact
Nitrospira	nitrospira	s__Nitrospira_F_sp015904055--GB_GCA_015904055.1	s__Nitrospira_F_sp015904055	genus_exact
Nitrospira	nitrospira	s__Nitrospira_F_sp900696515--GB_GCA_900696515.1	s__Nitrospira_F_sp900696515	genus_exact
Nitrospira	nitrospira	s__Nitrospira_F_sp015904075--GB_GCA_015904075.1	s__Nitrospira_F_sp015904075	genus_exact
Nitrospira	nitrospira	s__Nitrospira_A_defluvii_C--RS_GCF_905220995.1	s__Nitrospira_A_defluvii_C	genus_exact
Nitrospira	nitrospira	s__Nitrospira_A_sp900696505--GB_GCA_900696505.1	s__Nitrospira_A_sp900696505	genus_exact
Nitrospira	nitrospira	s__Nitrospira_F_sp024331085--GB_GCA_024331085.1	s__Nitrospira_F_sp024331085	genus_exact
Nitrospira	nitrospira	s__Nitrospira_F_sp018242765--GB_GCA_018242765.1	s__Nitrospira_F_sp018242765	genus_exact
Nitrospira	nitrospira	s__Nitrospira_D_sp002869855--GB_GCA_002869855.2	s__Nitrospira_D_sp002869855	genus_exact
Nitrospira	nitrospira	s__Nitrospira_F_sp024330965--GB_GCA_024330965.1	s__Nitrospira_F_sp024330965	genus_exact
Nitrospira	nitrospira	s__Nitrospira_A_sp014055465--GB_GCA_014055465.1	s__Nitrospira_A_sp014055465	genus_exact
Nitrospira	nitrospira	s__Nitrospira_D_sp002083555--GB_GCA_002083555.1	s__Nitrospira_D_sp002083555	genus_exact
Nitrospira	nitrospira	s__Nitrospira_F_sp002254365--GB_GCA_002254365.1	s__Nitrospira_F_sp002254365	genus_exact
SM23-30	sm23_30			unmapped
uncultured	uncultured			unmapped
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_guangdongense--RS_GCF_004114975.1	s__Bradyrhizobium_guangdongense	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_canariense_D--RS_GCF_021052305.1	s__Bradyrhizobium_canariense_D	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp004212635--RS_GCF_004212635.1	s__Bradyrhizobium_sp004212635	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_japonicum_D--RS_GCF_015291725.1	s__Bradyrhizobium_japonicum_D	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_diversitatis--RS_GCF_016031635.1	s__Bradyrhizobium_diversitatis	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_elkanii--RS_GCF_023278185.1	s__Bradyrhizobium_elkanii	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_ottawaense--RS_GCF_002278135.2	s__Bradyrhizobium_ottawaense	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_neotropicale--RS_GCF_001641695.1	s__Bradyrhizobium_neotropicale	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp000472925--RS_GCF_000472925.1	s__Bradyrhizobium_sp000472925	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_manausense--RS_GCF_001440035.1	s__Bradyrhizobium_manausense	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp018130065--RS_GCF_018130065.1	s__Bradyrhizobium_sp018130065	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_jicamae_A--RS_GCF_018130215.1	s__Bradyrhizobium_jicamae_A	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_ottawaense_A--RS_GCF_900099825.1	s__Bradyrhizobium_ottawaense_A	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_vignae--RS_GCF_004114425.1	s__Bradyrhizobium_vignae	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_quebecense--RS_GCF_013373795.3	s__Bradyrhizobium_quebecense	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp005885285--GB_GCA_005885285.1	s__Bradyrhizobium_sp005885285	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_viridifuturi--RS_GCF_001238275.1	s__Bradyrhizobium_viridifuturi	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_cajani--RS_GCF_009759665.1	s__Bradyrhizobium_cajani	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_nanningense--RS_GCF_004114535.1	s__Bradyrhizobium_nanningense	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp018736105--RS_GCF_018736105.1	s__Bradyrhizobium_sp018736105	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp024199795--RS_GCF_024199795.1	s__Bradyrhizobium_sp024199795	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_hipponense--RS_GCF_008123965.1	s__Bradyrhizobium_hipponense	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_betae--RS_GCF_008932115.1	s__Bradyrhizobium_betae	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_diazoefficiens_B--RS_GCF_018131015.1	s__Bradyrhizobium_diazoefficiens_B	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp000296215--RS_GCF_000296215.2	s__Bradyrhizobium_sp000296215	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp003020075--GB_GCA_016839165.1	s__Bradyrhizobium_sp003020075	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp005884855--GB_GCA_005884855.1	s__Bradyrhizobium_sp005884855	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_guangzhouense--RS_GCF_004114955.1	s__Bradyrhizobium_guangzhouense	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp018130145--RS_GCF_018130145.1	s__Bradyrhizobium_sp018130145	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp900176205--RS_GCF_900176205.1	s__Bradyrhizobium_sp900176205	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp019244115--GB_GCA_019244115.1	s__Bradyrhizobium_sp019244115	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_zhanjiangense--RS_GCF_004114935.1	s__Bradyrhizobium_zhanjiangense	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_elkanii_A--RS_GCF_000472865.1	s__Bradyrhizobium_elkanii_A	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_centrosematis--RS_GCF_015291745.1	s__Bradyrhizobium_centrosematis	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp023100905--RS_GCF_023100905.1	s__Bradyrhizobium_sp023100905	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_cosmicum--RS_GCF_007290395.1	s__Bradyrhizobium_cosmicum	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp002831585--RS_GCF_002831585.1	s__Bradyrhizobium_sp002831585	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_altum--RS_GCF_020889705.1	s__Bradyrhizobium_altum	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_symbiodeficiens--RS_GCF_002266465.2	s__Bradyrhizobium_symbiodeficiens	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp000938255--RS_GCF_000938255.1	s__Bradyrhizobium_sp000938255	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp023101665--RS_GCF_023101665.1	s__Bradyrhizobium_sp023101665	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_japonicum_G--RS_GCF_018129995.1	s__Bradyrhizobium_japonicum_G	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp024199945--RS_GCF_024199945.1	s__Bradyrhizobium_sp024199945	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_ivorense--RS_GCF_900696085.1	s__Bradyrhizobium_ivorense	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_canariense--RS_GCF_019402665.1	s__Bradyrhizobium_canariense	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_manausense_C--RS_GCF_024758505.1	s__Bradyrhizobium_manausense_C	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp015291665--RS_GCF_015291665.1	s__Bradyrhizobium_sp015291665	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp023074185--RS_GCF_023074185.1	s__Bradyrhizobium_sp023074185	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp011516635--RS_GCF_011516635.5	s__Bradyrhizobium_sp011516635	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp000244915--RS_GCF_000244915.1	s__Bradyrhizobium_sp000244915	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp000938305--RS_GCF_000938305.1	s__Bradyrhizobium_sp000938305	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_daqingense--RS_GCF_021044685.1	s__Bradyrhizobium_daqingense	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_yuanmingense--RS_GCF_900094575.1	s__Bradyrhizobium_yuanmingense	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp001464035--GB_GCA_001464035.1	s__Bradyrhizobium_sp001464035	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp900114915--RS_GCF_900114915.1	s__Bradyrhizobium_sp900114915	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp023387735--GB_GCA_023387735.1	s__Bradyrhizobium_sp023387735	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sacchari--RS_GCF_002068095.1	s__Bradyrhizobium_sacchari	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp005937885--RS_GCF_005937885.2	s__Bradyrhizobium_sp005937885	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_frederickii--RS_GCF_004570865.1	s__Bradyrhizobium_frederickii	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp011602485--RS_GCF_011602485.1	s__Bradyrhizobium_sp011602485	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_huanghuaihaiense--RS_GCF_007830635.1	s__Bradyrhizobium_huanghuaihaiense	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_arachidis--RS_GCF_015291705.1	s__Bradyrhizobium_arachidis	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_stylosanthis--RS_GCF_001641335.1	s__Bradyrhizobium_stylosanthis	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_septentrionale--RS_GCF_011516645.4	s__Bradyrhizobium_septentrionale	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_pachyrhizi--RS_GCF_001189245.1	s__Bradyrhizobium_pachyrhizi	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_aeschynomenes--RS_GCF_013178945.1	s__Bradyrhizobium_aeschynomenes	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_shewense--RS_GCF_900094605.1	s__Bradyrhizobium_shewense	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_manausense_A--RS_GCF_018130615.1	s__Bradyrhizobium_manausense_A	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp013240495--RS_GCF_024585265.1	s__Bradyrhizobium_sp013240495	genus_exact
