sdt_sample_name	sdt_location_name	date	depth_meter	latitude_degree	longitude_degree	region
GW101-7-26-12	GW-101	2012-07-26	4.35864	35.97732	-84.274117	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 27
GW220-50-12-12-12	GW-220	2012-12-12	12.10056	35.993381	-84.236976	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 50
GW223-39-1-8-13	GW-223	2013-01-08	25.908	35.991954	-84.239517	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 39
GW122-78-11-14-12	GW-122	2012-11-14	28.0416	35.976124	-84.273278	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 78
GW537-24-11-26-12	GW-537	2012-11-26	4.7244	35.973362	-84.280229	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 24
GW631-98-12-11-12	GW-631	2012-12-11	3.048	35.97923	-84.2704	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 98
GW753-79-1-7-13	GW-753	2013-01-07	19.91868	35.993391	-84.241126	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 79
GW641-30-1-23-13	GW-641	2013-01-23	5.73024	35.965931	-84.291542	Tennessee (TN), Oak Ridge Reservation (ORR), Area NT3-NT8; Waste Management, Cluster 30
GW385-80-2-18-13	GW-385	2013-02-18	37.70376	35.992899	-84.239425	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 80
GW639-90-1-23-13	GW-639	2013-01-23	29.1084	35.965809	-84.291404	Tennessee (TN), Oak Ridge Reservation (ORR), Area NT3-NT8; Waste Management, Cluster 90
GW705-9-2-21-13	GW-705	2013-02-21	72.2376	35.96372889	-84.29107919	Tennessee (TN), Oak Ridge Reservation (ORR), Area none, Cluster 9
GW706-96-12-17-12	GW-706	2012-12-17	47.57928	35.963775	-84.291005	Tennessee (TN), Oak Ridge Reservation (ORR), Area NT3-NT8, Cluster 96
FW300-59-10-19-12	FW-300	2012-10-19	4.572	35.941092	-84.336176	Tennessee (TN), Oak Ridge Reservation (ORR), Area Background, Cluster 59
DP16D-67-11-27-12	DP16D	2012-11-27	6.015228	35.9755	-84.274678	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 67
GW363-94-1-22-13	GW-363	2013-01-22	15.24	35.969048	-84.287521	Tennessee (TN), Oak Ridge Reservation (ORR), Area NT3-NT8; Waste Management, Cluster 94
FW233-17-2-99-11-28-12	FW-233-17	2012-11-28	4.988052	35.975743	-84.274723	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 99
GW765-77-1-11-13	GW-765	2013-01-11	16.33728	35.989297	-84.256997	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 77
GW928-54-2-11-13	GW-928	2013-02-11	11.64336	35.987421	-84.264657	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 54
FW215-84-11-27-12	FW-215	2012-11-27	4.94538	35.975715	-84.274722	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 84
GW089-62-1-7-13	GW-089	2013-01-07	7.3152	35.965917	-84.299049	Tennessee (TN), Oak Ridge Reservation (ORR), Area NT3-NT8, Cluster 62
FW301-81-10-19-12	FW-301	2012-10-19	4.35864	35.941069	-84.336181	Tennessee (TN), Oak Ridge Reservation (ORR), Area Background, Cluster 81
GW190-22-12-11-12	GW-190	2012-12-11	5.44068	35.980705	-84.271177	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 22
GW764-23-1-11-13	GW-764	2013-01-11	8.03148	35.989269	-84.257055	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 36
FW106-7-25-12	FW-106	2012-07-25	12.2301	35.977298	-84.273484	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 0
GW246-1-11-26-12	GW-246	2012-11-26	18.45564	35.977144	-84.272935	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 1
GW803-31-1-23-13	GW-803	2013-01-23	5.54736	35.991689	-84.243755	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 31
FW603-55-12-3-12	FW-603	2012-12-03	9.328404	35.973802	-84.278791	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 55
GW750-28-12-12-12	GW-750	2012-12-12	20.52828	35.994376	-84.235312	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 28
FW021-46-11-27-12	FW-021	2012-11-27	5.978652	35.977747	-84.272033	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 46
GW683-53-2-18-13	GW-683	2013-02-18	52.24272	35.957053	-84.299249	Tennessee (TN), Oak Ridge Reservation (ORR), Area NT3-NT8, Cluster 53
GW763-23-1-22-13	GW-763	2013-01-22	18.24228	35.992222	-84.240111	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 23
GW283-43-1-29-13	GW-283	2013-01-29	3.81	35.991366	-84.244414	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 43
GW775-88-1-29-13	GW-775	2013-01-29	16.16964	35.989595	-84.245848	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 88
GW736-14-12-3-12	GW-736	2012-12-03	29.68752	35.970896	-84.280642	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 14
GW056-87-1-8-13	GW-056	2013-01-08	3.99288	35.957762	-84.300532	Tennessee (TN), Oak Ridge Reservation (ORR), Area NT3-NT8, Cluster 87
GW350-74-2-12-13	GW-350	2013-02-12	11.70432	35.978922	-84.268309	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East Secure, Cluster 74
