mapping_mode	index_variant	n_samples	spearman_rho	spearman_rho_ci_low	spearman_rho_ci_high	spearman_p	spearman_p_fdr_q
relaxed_all_clades	composite_all_metals	108	0.05868511055855649	-0.12822986817462287	0.25024463880179715	0.546310957806959	0.546310957806959
relaxed_all_clades	uranium_only	108	-0.0979260148427601	-0.2941956860123876	0.10852497510869527	0.3133292268789959	0.546310957806959
relaxed_all_clades	top3_var_metals	108	0.07938685491630702	-0.10703777254265105	0.2847370908448981	0.414098476770144	0.546310957806959
relaxed_all_clades	pca1_metals	108	0.08226394962226223	-0.08589117904573058	0.27336611037850544	0.3973296497887694	0.546310957806959
strict_single_clade	composite_all_metals	108	0.06824049463164614	-0.11076189507350893	0.2529744321456143	0.4828397224625436	0.546310957806959
strict_single_clade	uranium_only	108	-0.12164775596139737	-0.31744617642011685	0.07892435301634926	0.20978617409240108	0.546310957806959
strict_single_clade	top3_var_metals	108	0.07796736117065364	-0.11299931679010172	0.2797428256002437	0.4225216102594379	0.546310957806959
strict_single_clade	pca1_metals	108	0.09089523374012784	-0.07881202746964307	0.26610972141282796	0.34950091157998997	0.546310957806959
