sdt_sample_name	sdt_community_name	genus	phylum	read_count
GW753-79-1-7-13	GW753-79-1-7-13 10 micron filter	Kapabacteriales	Bacteroidota	21.0
GW383-12-17-12	GW383-12-17-12 10 micron filter	Zixibacteria	Zixibacteria	385.0
GW101-7-26-12	GW101-7-26-12 10 micron filter	uncultured	Bacteroidota	16.0
FW300-59-10-19-12	FW300-59-10-19-12 10 micron filter	Bryobacter	Acidobacteriota	27.0
GW066-71-2-20-13	GW066-71-2-20-13 10 micron filter	uncultured	Verrucomicrobiota	467.0
GW246-1-11-26-12	GW246-1-11-26-12 0.2 micron filter	Nevskia	Proteobacteria	101.0
GW526-15-11-27-12	GW526-15-11-27-12 0.2 micron filter	Obscuribacteraceae	Cyanobacteria	3.0
GW122-78-11-14-12	GW122-78-11-14-12 0.2 micron filter	Subgroup_22	Acidobacteriota	29.0
GW683-53-2-18-13	GW683-53-2-18-13 10 micron filter	Silvanigrella	Bdellovibrionota	7.0
GW60-1A-60-2-4-13	GW60-1A-60-2-4-13 10 micron filter	PB19	Desulfobacterota	3.0
GW929-2-11-13	GW929-2-11-13 10 micron filter	Subgroup_5	Acidobacteriota	270.0
GW101-7-26-12	GW101-7-26-12 0.2 micron filter	UBA12409	Dependentiae	78.0
GW537-24-11-26-12	GW537-24-11-26-12 10 micron filter	uncultured	Nitrospirota	745.0
GW765-77-1-11-13	GW765-77-1-11-13 10 micron filter	SAR202_clade	Chloroflexi	72.0
GW350-74-2-12-13	GW350-74-2-12-13 0.2 micron filter	Phenylobacterium	Proteobacteria	514.0
GW066-71-2-20-13	GW066-71-2-20-13 0.2 micron filter	WOR-1	WOR-1	31.0
GW921-86-1-28-13	GW921-86-1-28-13 0.2 micron filter	Pseudohongiella	Proteobacteria	22.0
GW190-22-12-11-12	GW190-22-12-11-12 0.2 micron filter	Candidatus_Omnitrophus	Verrucomicrobiota	493.0
GW228-12-2-4-13	GW228-12-2-4-13 10 micron filter	unclassified	unclassified	11908.0
FW300-59-10-19-12	FW300-59-10-19-12 10 micron filter	Sphingobium	Proteobacteria	476.0
PTMW02-4-12-11-12	PTMW02-4-12-11-12 10 micron filter	Pajaroellobacter	Myxococcota	218.0
GW621-21-12-17-12	GW621-21-12-17-12 10 micron filter	Babeliales	Dependentiae	552.0
GW115-2-11-26-12	GW115-2-11-26-12 10 micron filter	Sumerlaea	Sumerlaeota	66.0
GW737-12-12-12	GW737-12-12-12 10 micron filter	DTB120	DTB120	169.0
GW761-29-1-28-13	GW761-29-1-28-13 10 micron filter	JG30-KF-CM66	Chloroflexi	41.0
FW233-17-2-99-11-28-12	FW233-17-2-99-11-28-12 0.2 micron filter	DTB120	DTB120	122.0
FW603-55-12-3-12	FW603-55-12-3-12 0.2 micron filter	Spirochaeta	Spirochaetota	2825.0
GW929-2-11-13	GW929-2-11-13 0.2 micron filter	Legionella	Proteobacteria	1730.0
GW085-58-12-3-12	GW085-58-12-3-12 10 micron filter	Omnitrophales	Verrucomicrobiota	151.0
GW346-47-11-27-12	GW346-47-11-27-12 0.2 micron filter	Phaselicystis	Myxococcota	96.0
GW60-1A-60-2-4-13	GW60-1A-60-2-4-13 0.2 micron filter	Margulisbacteria	Margulisbacteria	73.0
GW750-28-12-12-12	GW750-28-12-12-12 0.2 micron filter	UTCFX1	Chloroflexi	8.0
FW301-7-25-12	FW301-7-25-12 10 micron filter	Nitrospira	Nitrospirota	789.0
FW300-59-10-19-12	FW300-59-10-19-12 10 micron filter	Subgroup_5	Acidobacteriota	41.0
PTMW02-4-12-11-12	PTMW02-4-12-11-12 10 micron filter	Saccharimonadales	Patescibacteria	27.0
GW803-31-1-23-13	GW803-31-1-23-13 10 micron filter	uncultured	Acidobacteriota	57.0
GW537-24-11-26-12	GW537-24-11-26-12 10 micron filter	Pajaroellobacter	Myxococcota	58.0
FW301-81-10-19-12	FW301-81-10-19-12 10 micron filter	Vicinamibacteraceae	Acidobacteriota	25.0
GW198-41-2-11-13	GW198-41-2-11-13 0.2 micron filter	4-29-1	Nitrospirota	251.0
GW763-23-1-22-13	GW763-23-1-22-13 0.2 micron filter	uncultured	Euryarchaeota	5.0
TPB16-7-26-12	TPB16-7-26-12 10 micron filter	SB-5	Bacteroidota	14.0
GW085-58-12-3-12	GW085-58-12-3-12 0.2 micron filter	Candidatus_Omnitrophus	Verrucomicrobiota	736.0
GW929-2-11-13	GW929-2-11-13 10 micron filter	OLB14	Chloroflexi	294.0
GW148-12-17-12	GW148-12-17-12 0.2 micron filter	Deep_Sea_Euryarchaeotic_Group(DSEG)	Aenigmarchaeota	6.0
GW283-43-1-29-13	GW283-43-1-29-13 0.2 micron filter	HglApr721	Proteobacteria	3.0
GW101-11-13-12	GW101-11-13-12 0.2 micron filter	PRD18C08	Verrucomicrobiota	86.0
FW603-55-12-3-12	FW603-55-12-3-12 10 micron filter	SM1A02	Planctomycetota	194.0
GW098-57-1-22-13	GW098-57-1-22-13 10 micron filter	Gracilibacteria	Patescibacteria	64.0
FW511-61-11-26-12	FW511-61-11-26-12 0.2 micron filter	Caulobacter	Proteobacteria	64.0
GW754-40-1-7-13	GW754-40-1-7-13 0.2 micron filter	Lacunisphaera	Verrucomicrobiota	29.0
GW736-14-12-3-12	GW736-14-12-3-12 0.2 micron filter	uncultured	Chloroflexi	27.0
FW603-55-12-3-12	FW603-55-12-3-12 0.2 micron filter	UASB-TL25	Myxococcota	64.0
FW109-2-7-25-12	FW109-2-7-25-12 0.2 micron filter	Woesearchaeales	Nanoarchaeota	154.0
GW706-96-12-17-12	GW706-96-12-17-12 10 micron filter	uncultured	Desulfobacterota	60.0
GW057-10-1-8-13	GW057-10-1-8-13 10 micron filter	uncultured	Verrucomicrobiota	707.0
FW301-81-2-20-13	FW301-81-2-20-13 10 micron filter	0319-6G20	Bdellovibrionota	1049.0
GW162-37-2-19-13	GW162-37-2-19-13 10 micron filter	OPB41	Actinobacteriota	161.0
GW086-25-12-3-12	GW086-25-12-3-12 0.2 micron filter	DSSD61	Proteobacteria	33.0
FW301-81-2-20-13	FW301-81-2-20-13 10 micron filter	Lineage_IV	Elusimicrobiota	155.0
PTMW02-4-12-11-12	PTMW02-4-12-11-12 10 micron filter	Brevundimonas	Proteobacteria	658.0
GW151-12-12-12	GW151-12-12-12 0.2 micron filter	HOC36	Proteobacteria	25.0
GW101-7-26-12	GW101-7-26-12 10 micron filter	LCP-89	LCP-89	78.0
PTMW02-4-12-11-12	PTMW02-4-12-11-12 10 micron filter	Bacteroides	Bacteroidota	11.0
FW106-11-13-12	FW106-11-13-12 0.2 micron filter	Candidatus_Omnitrophus	Verrucomicrobiota	13790.0
FW603-55-12-3-12	FW603-55-12-3-12 0.2 micron filter	Latescibacterota	Latescibacterota	121.0
GW526-15-11-27-12	GW526-15-11-27-12 10 micron filter	Candidatus_Omnitrophus	Verrucomicrobiota	3418.0
GW115-2-11-26-12	GW115-2-11-26-12 10 micron filter	Sulfuritalea	Proteobacteria	212.0
GW383-12-17-12	GW383-12-17-12 10 micron filter	Hyphomicrobium	Proteobacteria	122.0
GW127-16-11-26-12	GW127-16-11-26-12 0.2 micron filter	unclassified	unclassified	9406.0
FW106-11-13-12	FW106-11-13-12 0.2 micron filter	Vicinamibacteraceae	Acidobacteriota	224.0
GW085-58-12-3-12	GW085-58-12-3-12 10 micron filter	Rhodanobacter	Proteobacteria	133.0
GW066-71-2-20-13	GW066-71-2-20-13 10 micron filter	NS11-12_marine_group	Bacteroidota	24.0
GW056-87-1-8-13	GW056-87-1-8-13 10 micron filter	Pla3_lineage	Planctomycetota	223.0
FW410-28-46-11-13-12	FW410-28-46-11-13-12 10 micron filter	SM1A07	Bacteroidota	2.0
FW511-7-26-12	FW511-7-26-12 10 micron filter	uncultured	Verrucomicrobiota	26.0
GW715-65-2-12-13	GW715-65-2-12-13 10 micron filter	BIrii41	Myxococcota	81.0
FW106-11-13-12	FW106-11-13-12 0.2 micron filter	SAR202_clade	Chloroflexi	244.0
GW537-24-11-26-12	GW537-24-11-26-12 0.2 micron filter	Pla4_lineage	Planctomycetota	124.0
GW105-12-11-12	GW105-12-11-12 10 micron filter	WPS-2	WPS-2	266.0
FW109-40-92-11-14-12	FW109-40-92-11-14-12 0.2 micron filter	Rokubacteriales	Methylomirabilota	80.0
GW271-66-2-18-13	GW271-66-2-18-13 10 micron filter	Lenti-02	Verrucomicrobiota	9.0
GW089-62-1-7-13	GW089-62-1-7-13 10 micron filter	Candidatus_Captivus	Proteobacteria	6.0
FW109-2-7-25-12	FW109-2-7-25-12 10 micron filter	Candidatus_Moranbacteria	Patescibacteria	390.0
GW706-96-12-17-12	GW706-96-12-17-12 10 micron filter	Haliangium	Myxococcota	147.0
GW122-78-11-14-12	GW122-78-11-14-12 10 micron filter	Haliangium	Myxococcota	116.0
GW283-43-1-29-13	GW283-43-1-29-13 10 micron filter	KCM-B-112	Proteobacteria	7.0
GW057-10-1-8-13	GW057-10-1-8-13 10 micron filter	Ferritrophicum	Proteobacteria	26.0
TPB16-81-11-28-12	TPB16-81-11-28-12 0.2 micron filter	Ellin6067	Proteobacteria	34.0
GW921-86-1-28-13	GW921-86-1-28-13 0.2 micron filter	JG30-KF-CM66	Chloroflexi	70.0
GW706-96-12-17-12	GW706-96-12-17-12 0.2 micron filter	4-29-1	Nitrospirota	9.0
GW621-21-12-17-12	GW621-21-12-17-12 10 micron filter	Pseudomonas	Proteobacteria	778.0
DP16D-67-11-27-12	DP16D-67-11-27-12 0.2 micron filter	uncultured	Thermoplasmatota	2.0
GW804-13-2-11-13	GW804-13-2-11-13 10 micron filter	vadinHA49	Planctomycetota	6.0
GW685-6-1-8-13	GW685-6-1-8-13 0.2 micron filter	Candidatus_Jorgensenbacteria	Patescibacteria	15.0
GW220-50-12-12-12	GW220-50-12-12-12 0.2 micron filter	Candidatus_Berkiella	Proteobacteria	5.0
FW510-26-11-26-12	FW510-26-11-26-12 10 micron filter	uncultured	Proteobacteria	58.0
GW123-93-11-14-12	GW123-93-11-14-12 10 micron filter	uncultured	Proteobacteria	220.0
GW127-16-11-26-12	GW127-16-11-26-12 10 micron filter	S0134_terrestrial_group	Gemmatimonadota	18.0
FW511-61-11-26-12	FW511-61-11-26-12 10 micron filter	MBNT15	MBNT15	464.0
FW511-7-26-12	FW511-7-26-12 0.2 micron filter	Ferritrophicum	Proteobacteria	48.0
FW301-81-2-20-13	FW301-81-2-20-13 10 micron filter	Candidatus_Doudnabacteria	Patescibacteria	3.0
FW603-55-12-3-12	FW603-55-12-3-12 0.2 micron filter	Sulfurirhabdus	Proteobacteria	9.0
GW537-24-11-26-12	GW537-24-11-26-12 0.2 micron filter	SB-5	Bacteroidota	6.0
FW301-7-25-12	FW301-7-25-12 0.2 micron filter	BIyi10	Proteobacteria	9.0
GW385-80-2-18-13	GW385-80-2-18-13 0.2 micron filter	Latescibacterota	Latescibacterota	16.0
GW084-56-11-28-12	GW084-56-11-28-12 0.2 micron filter	Rhodopseudomonas	Proteobacteria	82.0
GW098-57-1-22-13	GW098-57-1-22-13 10 micron filter	mle1-8	Planctomycetota	56.0
GW056-87-1-8-13	GW056-87-1-8-13 10 micron filter	Candidatus_Ryanbacteria	Patescibacteria	14.0
GW537-24-11-26-12	GW537-24-11-26-12 0.2 micron filter	M2PT2-76_termite_group	Spirochaetota	2.0
FW233-17-2-99-11-28-12	FW233-17-2-99-11-28-12 10 micron filter	Actinomycetospora	Actinobacteriota	3.0
GW190-22-12-11-12	GW190-22-12-11-12 10 micron filter	Acinetobacter	Proteobacteria	31.0
GW636-32-1-28-13	GW636-32-1-28-13 10 micron filter	Rhodococcus	Actinobacteriota	102.0
FW233-17-2-99-11-28-12	FW233-17-2-99-11-28-12 10 micron filter	Aminicenantales	Acidobacteriota	15.0
GW085-58-12-3-12	GW085-58-12-3-12 10 micron filter	AncK6	AncK6	7.0
FW106-7-25-12	FW106-7-25-12 0.2 micron filter	Reyranella	Proteobacteria	7.0
GW737-12-12-12	GW737-12-12-12 10 micron filter	661239	Chloroflexi	211.0
GW346-47-11-27-12	GW346-47-11-27-12 10 micron filter	RBG-13-54-9	Chloroflexi	493.0
GW765-77-1-11-13	GW765-77-1-11-13 10 micron filter	Candidatus_Magasanikbacteria	Patescibacteria	31.0
GW537-24-11-26-12	GW537-24-11-26-12 0.2 micron filter	Lacunisphaera	Verrucomicrobiota	59.0
GW706-96-12-17-12	GW706-96-12-17-12 10 micron filter	PRD18C08	Verrucomicrobiota	147.0
GW089-62-1-7-13	GW089-62-1-7-13 10 micron filter	Arthrobacter	Actinobacteriota	36.0
GW101-11-13-12	GW101-11-13-12 0.2 micron filter	0319-6G20	Bdellovibrionota	52.0
GW223-39-1-8-13	GW223-39-1-8-13 10 micron filter	Candidatus_Moranbacteria	Patescibacteria	32.0
FW602-2-26-2-11-28-12	FW602-2-26-2-11-28-12 10 micron filter	FCPU426	FCPU426	33.0
GW736-14-12-3-12	GW736-14-12-3-12 10 micron filter	Polaromonas	Proteobacteria	44.0
GW057-10-1-8-13	GW057-10-1-8-13 10 micron filter	37-13	Bacteroidota	197.0
GW800-12-12-12	GW800-12-12-12 0.2 micron filter	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	15.0
FW303-11-10-23-12	FW303-11-10-23-12 0.2 micron filter	Sandaracinus	Myxococcota	9.0
TPB16-81-11-28-12	TPB16-81-11-28-12 10 micron filter	Colidextribacter	Firmicutes	5.0
FW126-7-25-12	FW126-7-25-12 10 micron filter	Sideroxydans	Proteobacteria	158.0
GW705-9-2-21-13	GW705-9-2-21-13 10 micron filter	D8A-2	Firmicutes	6.0
GW928-54-2-11-13	GW928-54-2-11-13 10 micron filter	Lacunisphaera	Verrucomicrobiota	208.0
GW098-57-1-22-13	GW098-57-1-22-13 10 micron filter	Desulfobacca	Desulfobacterota	723.0
GW764-23-1-11-13	GW764-23-1-11-13 10 micron filter	GAL15	GAL15	11.0
FW511-61-11-26-12	FW511-61-11-26-12 0.2 micron filter	Thermoanaerobaculum	Acidobacteriota	127.0
GW761-29-1-28-13	GW761-29-1-28-13 0.2 micron filter	Hirschia	Proteobacteria	19.0
GW085-58-12-3-12	GW085-58-12-3-12 10 micron filter	SBR1031	Chloroflexi	58.0
FW104-67-11-14-12	FW104-67-11-14-12 10 micron filter	WCHB1-41	Verrucomicrobiota	250.0
FW301-7-25-12	FW301-7-25-12 10 micron filter	Blfdi19	Myxococcota	179.0
FW300-59-10-19-12	FW300-59-10-19-12 10 micron filter	Latescibacterota	Latescibacterota	36.0
GW107-91-12-11-12	GW107-91-12-11-12 0.2 micron filter	Pedobacter	Bacteroidota	80.0
FW511-61-11-26-12	FW511-61-11-26-12 0.2 micron filter	Ignavibacterium	Bacteroidota	6471.0
GW101-7-26-12	GW101-7-26-12 10 micron filter	Schekmanbacteria	Schekmanbacteria	219.0
GW804-13-2-11-13	GW804-13-2-11-13 0.2 micron filter	Candidatus_Spechtbacteria	Patescibacteria	6.0
GW101-11-13-12	GW101-11-13-12 10 micron filter	SBR1031	Chloroflexi	227.0
GW533-48-11-28-12	GW533-48-11-28-12 0.2 micron filter	WPS-2	WPS-2	15.0
GW084-56-11-28-12	GW084-56-11-28-12 0.2 micron filter	MND1	Proteobacteria	1223.0
TPB16-81-11-28-12	TPB16-81-11-28-12 10 micron filter	Nitrospira	Nitrospirota	66.0
GW127-16-11-26-12	GW127-16-11-26-12 0.2 micron filter	Blfdi19	Myxococcota	37.0
FW301-81-2-20-13	FW301-81-2-20-13 0.2 micron filter	AB1	Proteobacteria	15.0
FW303-11-10-23-12	FW303-11-10-23-12 0.2 micron filter	Lacunisphaera	Verrucomicrobiota	61.0
GW123-93-11-14-12	GW123-93-11-14-12 10 micron filter	Sediminibacterium	Bacteroidota	4.0
GW247-7-11-14-12	GW247-7-11-14-12 10 micron filter	uncultured	Proteobacteria	285.0
GW223-39-1-8-13	GW223-39-1-8-13 0.2 micron filter	HglApr721	Proteobacteria	6.0
FW511-7-26-12	FW511-7-26-12 0.2 micron filter	Candidatus_Solibacter	Acidobacteriota	610.0
GW220-50-12-12-12	GW220-50-12-12-12 10 micron filter	Obscuribacteraceae	Cyanobacteria	40.0
GW057-10-1-8-13	GW057-10-1-8-13 10 micron filter	Hyphomicrobium	Proteobacteria	102.0
GW921-86-1-28-13	GW921-86-1-28-13 0.2 micron filter	uncultured	Bdellovibrionota	316.0
GW621-21-12-17-12	GW621-21-12-17-12 10 micron filter	Saccharimonadales	Patescibacteria	340.0
GW101-11-13-12	GW101-11-13-12 0.2 micron filter	GW2011_GWC1_47_15	Nanoarchaeota	94.0
FW109-35-61-11-14-12	FW109-35-61-11-14-12 10 micron filter	Planctopirus	Planctomycetota	29.0
GW537-24-11-26-12	GW537-24-11-26-12 10 micron filter	WOR-1	WOR-1	231.0
GW115-2-11-26-12	GW115-2-11-26-12 0.2 micron filter	Spirochaeta	Spirochaetota	18.0
GW704-5-12-17-12	GW704-5-12-17-12 0.2 micron filter	Candidatus_Azambacteria	Patescibacteria	22.0
GW715-65-2-12-13	GW715-65-2-12-13 0.2 micron filter	TRA3-20	Proteobacteria	331.0
GW228-12-2-4-13	GW228-12-2-4-13 10 micron filter	Vicingus	Bacteroidota	8.0
GW084-56-11-28-12	GW084-56-11-28-12 0.2 micron filter	uncultured	Armatimonadota	3.0
GW346-47-11-27-12	GW346-47-11-27-12 10 micron filter	KD4-96	Chloroflexi	932.0
GW346-47-11-27-12	GW346-47-11-27-12 0.2 micron filter	Rhodoferax	Proteobacteria	11.0
GW271-66-2-18-13	GW271-66-2-18-13 0.2 micron filter	Phenylobacterium	Proteobacteria	326.0
FW126-7-25-12	FW126-7-25-12 10 micron filter	B29	Verrucomicrobiota	8.0
FW603-55-12-3-12	FW603-55-12-3-12 0.2 micron filter	Pseudolabrys	Proteobacteria	13.0
GW101-7-26-12	GW101-7-26-12 10 micron filter	SAR202_clade	Chloroflexi	209.0
FW410-28-46-11-13-12	FW410-28-46-11-13-12 10 micron filter	JG36-GS-52	Proteobacteria	10.0
GW127-16-11-26-12	GW127-16-11-26-12 10 micron filter	Sva0485	Sva0485	711.0
GW706-96-12-17-12	GW706-96-12-17-12 10 micron filter	vadinHA49	Planctomycetota	160.0
GW921-86-1-28-13	GW921-86-1-28-13 0.2 micron filter	Subgroup_5	Acidobacteriota	48.0
GW754-40-1-7-13	GW754-40-1-7-13 10 micron filter	Candidatus_Endoecteinascidia	Proteobacteria	64.0
FW602-2-26-2-11-28-12	FW602-2-26-2-11-28-12 0.2 micron filter	Omnitrophales	Verrucomicrobiota	5372.0
FW301-81-2-20-13	FW301-81-2-20-13 10 micron filter	uncultured	Acidobacteriota	352.0
FW104-7-26-12	FW104-7-26-12 0.2 micron filter	NS11-12_marine_group	Bacteroidota	17.0
GW089-62-1-7-13	GW089-62-1-7-13 0.2 micron filter	uncultured	Acidobacteriota	15.0
GW246-1-11-26-12	GW246-1-11-26-12 0.2 micron filter	Pseudolabrys	Proteobacteria	1350.0
FW511-61-11-26-12	FW511-61-11-26-12 10 micron filter	Fimbriimonadaceae	Armatimonadota	155.0
GW122-78-11-14-12	GW122-78-11-14-12 10 micron filter	LH041	Spirochaetota	2.0
TPB16-81-11-28-12	TPB16-81-11-28-12 0.2 micron filter	Ferrovibrio	Proteobacteria	11.0
FW511-7-26-12	FW511-7-26-12 0.2 micron filter	Dechloromonas	Proteobacteria	12.0
GW350-74-2-12-13	GW350-74-2-12-13 10 micron filter	Bosea	Proteobacteria	331.0
GW115-2-11-26-12	GW115-2-11-26-12 0.2 micron filter	JG30-KF-CM66	Chloroflexi	65.0
FW233-17-2-99-11-28-12	FW233-17-2-99-11-28-12 10 micron filter	Sva0485	Sva0485	60.0
GW127-16-11-26-12	GW127-16-11-26-12 10 micron filter	DS-100	Acidobacteriota	4.0
GW384-12-17-12	GW384-12-17-12 0.2 micron filter	Phenylobacterium	Proteobacteria	42.0
GW162-37-2-19-13	GW162-37-2-19-13 10 micron filter	uncultured	Chloroflexi	527.0
FW603-55-12-3-12	FW603-55-12-3-12 0.2 micron filter	Entotheonellaceae	Entotheonellaeota	22.0
GW925-68-1-28-13	GW925-68-1-28-13 0.2 micron filter	Lineage_IV	Elusimicrobiota	22.0
GW223-39-1-8-13	GW223-39-1-8-13 10 micron filter	Ellin517	Verrucomicrobiota	33.0
GW066-71-2-20-13	GW066-71-2-20-13 10 micron filter	Streptomyces	Actinobacteriota	3.0
FW106-11-13-12	FW106-11-13-12 10 micron filter	SWB02	Proteobacteria	9.0
GW526-15-11-27-12	GW526-15-11-27-12 10 micron filter	WOR-1	WOR-1	293.0
GW107-91-12-11-12	GW107-91-12-11-12 0.2 micron filter	MND1	Proteobacteria	55.0
GW314-97-2-19-13	GW314-97-2-19-13 0.2 micron filter	Nitrospira	Nitrospirota	1612.0
GW773-35-2-4-13	GW773-35-2-4-13 0.2 micron filter	WPS-2	WPS-2	24.0
FW104-7-26-12	FW104-7-26-12 10 micron filter	DTB120	DTB120	123.0
GW271-66-2-18-13	GW271-66-2-18-13 10 micron filter	Anaerolinea	Chloroflexi	4.0
GW107-91-12-11-12	GW107-91-12-11-12 10 micron filter	WX65	Methylomirabilota	23.0
FW603-55-12-3-12	FW603-55-12-3-12 0.2 micron filter	cvE6	Verrucomicrobiota	25.0
GW085-58-12-3-12	GW085-58-12-3-12 0.2 micron filter	11-24	Acidobacteriota	73.0
TPB16-7-26-12	TPB16-7-26-12 0.2 micron filter	Lineage_IV	Elusimicrobiota	70.0
FW303-11-10-23-12	FW303-11-10-23-12 0.2 micron filter	Sphingopyxis	Proteobacteria	22.0
GW057-10-1-8-13	GW057-10-1-8-13 0.2 micron filter	Subgroup_10	Acidobacteriota	5.0
GW763-23-1-22-13	GW763-23-1-22-13 10 micron filter	053A03-B-DI-P58	Bdellovibrionota	16.0
GW921-86-1-28-13	GW921-86-1-28-13 10 micron filter	Pedomicrobium	Proteobacteria	107.0
FW301-7-25-12	FW301-7-25-12 10 micron filter	Bryobacter	Acidobacteriota	548.0
FW106-11-13-12	FW106-11-13-12 0.2 micron filter	LD1-PA32	Verrucomicrobiota	78.0
FW104-7-26-12	FW104-7-26-12 10 micron filter	Thiobacillus	Proteobacteria	391.0
GW706-96-12-17-12	GW706-96-12-17-12 10 micron filter	JGI_0000069-P22	Patescibacteria	113.0
GW929-2-11-13	GW929-2-11-13 0.2 micron filter	Kapabacteriales	Bacteroidota	27.0
GW220-50-12-12-12	GW220-50-12-12-12 10 micron filter	FGL7S	Proteobacteria	14.0
GW115-2-11-26-12	GW115-2-11-26-12 0.2 micron filter	Pseudomonas	Proteobacteria	41.0
FW109-40-92-11-14-12	FW109-40-92-11-14-12 10 micron filter	A21b	Proteobacteria	995.0
FW301-7-25-12	FW301-7-25-12 0.2 micron filter	Saccharimonadales	Patescibacteria	40.0
GW084-56-11-28-12	GW084-56-11-28-12 0.2 micron filter	BSV26	Bacteroidota	259.0
GW057-10-1-8-13	GW057-10-1-8-13 10 micron filter	Inquilinus	Proteobacteria	37.0
GW314-97-2-19-13	GW314-97-2-19-13 10 micron filter	Anaerolineae	Chloroflexi	34.0
GW057-10-1-8-13	GW057-10-1-8-13 0.2 micron filter	Pla4_lineage	Planctomycetota	77.0
GW773-35-2-4-13	GW773-35-2-4-13 0.2 micron filter	Reyranella	Proteobacteria	1001.0
GW704-5-12-17-12	GW704-5-12-17-12 10 micron filter	Candidatus_Udaeobacter	Verrucomicrobiota	81.0
GW715-65-2-12-13	GW715-65-2-12-13 10 micron filter	0319-6G20	Bdellovibrionota	101.0
GW086-25-12-3-12	GW086-25-12-3-12 0.2 micron filter	Zoogloea	Proteobacteria	316.0
GW283-43-1-29-13	GW283-43-1-29-13 10 micron filter	Subgroup_2	Acidobacteriota	107.0
GW750-28-12-12-12	GW750-28-12-12-12 10 micron filter	0319-6G20	Bdellovibrionota	163.0
FW233-17-2-99-11-28-12	FW233-17-2-99-11-28-12 0.2 micron filter	Aquicella	Proteobacteria	65.0
GW704-5-12-17-12	GW704-5-12-17-12 10 micron filter	Candidatus_Solibacter	Acidobacteriota	17.0
GW363-94-1-22-13	GW363-94-1-22-13 10 micron filter	MVP-15	Spirochaetota	16.0
TPB16-81-11-28-12	TPB16-81-11-28-12 10 micron filter	SB-5	Bacteroidota	91.0
GW148-12-17-12	GW148-12-17-12 0.2 micron filter	Magnetovibrio	Proteobacteria	10.0
GW773-35-2-4-13	GW773-35-2-4-13 0.2 micron filter	Immundisolibacter	Proteobacteria	163.0
GW706-96-12-17-12	GW706-96-12-17-12 10 micron filter	BD7-11	Planctomycetota	138.0
GW694-33-12-3-12	GW694-33-12-3-12 0.2 micron filter	SR-FBR-L83	Bacteroidota	12.0
FW301-81-2-20-13	FW301-81-2-20-13 10 micron filter	Massilia	Proteobacteria	111.0
GW098-57-1-22-13	GW098-57-1-22-13 10 micron filter	uncultured	Actinobacteriota	289.0
FW301-81-2-20-13	FW301-81-2-20-13 0.2 micron filter	Polaromonas	Proteobacteria	136.0
GW636-32-1-28-13	GW636-32-1-28-13 0.2 micron filter	Legionella	Proteobacteria	28.0
GW066-71-2-20-13	GW066-71-2-20-13 0.2 micron filter	SCGC_AAA011-D5	Nanoarchaeota	592.0
GW531-83-11-28-12	GW531-83-11-28-12 10 micron filter	uncultured	Gemmatimonadota	114.0
GW122-78-11-14-12	GW122-78-11-14-12 10 micron filter	CCM11a	Planctomycetota	514.0
GW929-2-11-13	GW929-2-11-13 10 micron filter	MBNT15	MBNT15	30.0
GW101-11-13-12	GW101-11-13-12 10 micron filter	Lacunisphaera	Verrucomicrobiota	197.0
GW764-23-1-11-13	GW764-23-1-11-13 0.2 micron filter	uncultured	Gemmatimonadota	1542.0
GW683-53-2-18-13	GW683-53-2-18-13 10 micron filter	TRA3-20	Proteobacteria	34.0
GW715-65-2-12-13	GW715-65-2-12-13 0.2 micron filter	uncultured	Gemmatimonadota	21.0
GW101-7-26-12	GW101-7-26-12 0.2 micron filter	Magnetospirillaceae	Proteobacteria	13.0
FW106-11-13-12	FW106-11-13-12 0.2 micron filter	Modestobacter	Actinobacteriota	9.0
GW101-11-13-12	GW101-11-13-12 10 micron filter	Candidatus_Latescibacter	Latescibacterota	103.0
GW800-12-12-12	GW800-12-12-12 10 micron filter	FFCH5858	Proteobacteria	5.0
GW122-78-11-14-12	GW122-78-11-14-12 10 micron filter	Magnetococcus	Proteobacteria	14.0
GW526-15-11-27-12	GW526-15-11-27-12 0.2 micron filter	uncultured	Proteobacteria	662.0
GW60-1A-60-2-4-13	GW60-1A-60-2-4-13 0.2 micron filter	Coxiella	Proteobacteria	80.0
GW199-42-1-28-13	GW199-42-1-28-13 0.2 micron filter	Undibacterium	Proteobacteria	38.0
DP16D-67-11-27-12	DP16D-67-11-27-12 10 micron filter	WOR-1	WOR-1	10.0
FW603-55-12-3-12	FW603-55-12-3-12 10 micron filter	Pseudoxanthomonas	Proteobacteria	6.0
GW755-69-1-8-13	GW755-69-1-8-13 0.2 micron filter	CCM11a	Planctomycetota	375.0
GW283-43-1-29-13	GW283-43-1-29-13 0.2 micron filter	Vicinamibacteraceae	Acidobacteriota	45.0
GW363-94-1-22-13	GW363-94-1-22-13 0.2 micron filter	uncultured	Desulfobacterota	150.0
GW60-1A-60-2-4-13	GW60-1A-60-2-4-13 10 micron filter	Victivallales	Verrucomicrobiota	3.0
FW104-67-11-14-12	FW104-67-11-14-12 10 micron filter	Pseudohongiella	Proteobacteria	29.0
FW410-28-46-11-13-12	FW410-28-46-11-13-12 10 micron filter	Chujaibacter	Proteobacteria	3792.0
FW301-81-2-20-13	FW301-81-2-20-13 10 micron filter	mle1-27	Myxococcota	74.0
GW764-23-1-11-13	GW764-23-1-11-13 0.2 micron filter	unclassified	unclassified	8440.0
