sdt_sample_name	sdt_community_name	genus	phylum	read_count
GW765-77-1-11-13	GW765-77-1-11-13 10 micron filter	Subgroup_5	Acidobacteriota	5.0
GW101-11-13-12	GW101-11-13-12 0.2 micron filter	GWA2-50-13	Planctomycetota	183.0
GW086-25-12-3-12	GW086-25-12-3-12 0.2 micron filter	Lineage_IV	Elusimicrobiota	938.0
GW764-23-1-11-13	GW764-23-1-11-13 10 micron filter	Sphingosinicella	Proteobacteria	10.0
FW109-2-7-25-12	FW109-2-7-25-12 10 micron filter	Candidatus_Omnitrophus	Verrucomicrobiota	12847.0
FW106-11-13-12	FW106-11-13-12 10 micron filter	Legionella	Proteobacteria	310.0
GW101-11-13-12	GW101-11-13-12 10 micron filter	Subgroup_15	Acidobacteriota	482.0
FW301-81-10-19-12	FW301-81-10-19-12 0.2 micron filter	0319-6G20	Bdellovibrionota	808.0
GW533-48-11-28-12	GW533-48-11-28-12 0.2 micron filter	Nitrosarchaeum	Crenarchaeota	467.0
GW314-97-2-19-13	GW314-97-2-19-13 0.2 micron filter	Sphingobium	Proteobacteria	337.0
GW122-78-11-14-12	GW122-78-11-14-12 0.2 micron filter	OM190	Planctomycetota	41.0
GW754-40-1-7-13	GW754-40-1-7-13 0.2 micron filter	DTB120	DTB120	30.0
GW066-71-2-20-13	GW066-71-2-20-13 0.2 micron filter	Babeliaceae	Dependentiae	121.0
GW057-10-1-8-13	GW057-10-1-8-13 10 micron filter	Aquicella	Proteobacteria	496.0
GW057-10-1-8-13	GW057-10-1-8-13 0.2 micron filter	4-29-1	Nitrospirota	540.0
GW764-23-1-11-13	GW764-23-1-11-13 10 micron filter	SJA-28	Bacteroidota	35.0
FW303-11-10-23-12	FW303-11-10-23-12 0.2 micron filter	Candidatus_Omnitrophus	Verrucomicrobiota	471.0
GW148-12-17-12	GW148-12-17-12 0.2 micron filter	uncultured	Desulfobacterota	135.0
FW301-7-25-12	FW301-7-25-12 10 micron filter	Unknown_Family	Proteobacteria	17.0
GW736-14-12-3-12	GW736-14-12-3-12 0.2 micron filter	BSV26	Bacteroidota	718.0
GW383-12-17-12	GW383-12-17-12 10 micron filter	CCM11a	Planctomycetota	252.0
GW107-91-12-11-12	GW107-91-12-11-12 10 micron filter	B1-7BS	Proteobacteria	72.0
FW602-2-26-2-11-28-12	FW602-2-26-2-11-28-12 0.2 micron filter	WPS-2	WPS-2	41.0
GW775-88-1-29-13	GW775-88-1-29-13 10 micron filter	uncultured	Proteobacteria	3450.0
GW685-6-1-8-13	GW685-6-1-8-13 10 micron filter	Pseudomonas	Proteobacteria	20.0
GW057-10-1-8-13	GW057-10-1-8-13 0.2 micron filter	Ignavibacterium	Bacteroidota	6.0
GW350-74-2-12-13	GW350-74-2-12-13 10 micron filter	uncultured	Myxococcota	44.0
GW057-10-1-8-13	GW057-10-1-8-13 10 micron filter	EC3	Proteobacteria	32.0
FW301-81-2-20-13	FW301-81-2-20-13 10 micron filter	uncultured	Bdellovibrionota	60.0
FW301-7-25-12	FW301-7-25-12 10 micron filter	uncultured	Nitrospirota	1414.0
